weight_set,w1,w2,Q,rho_1,rho_2,tau_1,tau_2,weighted_utilization,weighted_offered_wait,fcfs_weighted_utilization,fcfs_weighted_offered_wait,delta_weighted_utilization,delta_weighted_offered_wait,served_rate_1,served_rate_2,overall_served_rate,fcfs_served_rate_1,fcfs_served_rate_2,fcfs_overall_served_rate,min_served_rate,served_rate_flag
"w1=2, w2=1",2.0,1.0,20,0.6374143835616438,0.3039554794520548,3.014408218082071,7.622842818110007,1.5787842465753426,4.549945549100348,1.3700513698630137,5.419503432342053,0.2087328767123288,-0.8695578832417039,0.813939264832598,0.3884136494822938,0.6012302171138446,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.3884136494822938,True
"w1=2, w2=1",2.0,1.0,24,0.7500684931506849,0.20892123287671233,1.3413450917895893,9.371245424098928,1.709058219178082,4.0012234792946755,1.3700513698630137,5.419503432342053,0.3390068493150685,-1.4182799530473769,0.9556596751241028,0.26743859568932266,0.6122736608107371,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.26743859568932266,True
"w1=2, w2=1",2.0,1.0,28,0.7740068493150685,0.10580479452054795,0.06988147678539305,10.581308854161334,1.6538184931506847,2.3785568074035517,1.3700513698630137,5.419503432342053,0.28376712328767123,-3.0409466249385013,1.0,0.13608925592634805,0.5670781912812594,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.13608925592634805,True
"w1=2, w2=1",2.0,1.0,32,0.781095890410959,0.0,0.008749072997816461,,1.562191780821918,0.008749072997816461,1.3700513698630137,5.419503432342053,0.19214041095890416,-5.410754359344236,1.0,0.0,0.5003965996037021,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.0,True
"w1=3, w2=1",3.0,1.0,0,0.45885273972602736,0.45234589041095885,5.420387187309788,5.417746496996356,1.828904109589041,5.419724067567737,1.828904109589041,5.419724067567737,0.0,0.0,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5822518148626945,False
"w1=3, w2=1",3.0,1.0,4,0.45960616438356167,0.45159246575342465,5.404223823863045,5.434055205853594,1.8304109589041098,5.411624640951435,1.828904109589041,5.419724067567737,0.0015068493150685925,-0.008099426616301742,0.5865749661567066,0.5821905707467911,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5817682949677919,False
"w1=3, w2=1",3.0,1.0,8,0.4617123287671233,0.449486301369863,5.371112650554835,5.467539326510287,1.8346232876712327,5.39503982694181,1.828904109589041,5.419724067567737,0.005719178082191867,-0.024684240625926713,0.5892694559686573,0.5794794343768854,0.5843850685526365,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5794794343768854,False
"w1=3, w2=1",3.0,1.0,12,0.46749999999999997,0.4435273972602739,5.297898984060231,5.541814214498086,1.8460273972602743,5.358425796272684,1.828904109589041,5.419724067567737,0.017123287671233056,-0.061298271295052054,0.59664858104329,0.5717944904677434,0.5842749594771636,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.5717944904677434,False
"w1=3, w2=1",3.0,1.0,16,0.5252054794520549,0.3884760273972603,4.7640364791065135,6.2414345946406025,1.9640924657534247,5.1312078616899655,1.828904109589041,5.419724067567737,0.13518835616438363,-0.2885162058777704,0.668160395296686,0.4981708641338566,0.583494873393837,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.4981708641338566,True
"w1=3, w2=1",3.0,1.0,20,0.6374143835616438,0.3039554794520548,3.014408218082071,7.622842818110007,2.2161986301369865,4.166017174227322,1.828904109589041,5.419724067567737,0.3872945205479454,-1.2537068933404136,0.813939264832598,0.3884136494822938,0.6012302171138446,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.3884136494822938,True
"w1=3, w2=1",3.0,1.0,24,0.7500684931506849,0.20892123287671233,1.3413450917895893,9.371245424098928,2.459126712328767,3.3347606385652275,1.828904109589041,5.419724067567737,0.6302226027397262,-2.084963429002508,0.9556596751241028,0.26743859568932266,0.6122736608107371,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.26743859568932266,True
"w1=3, w2=1",3.0,1.0,28,0.7740068493150685,0.10580479452054795,0.06988147678539305,10.581308854161334,2.4278253424657534,1.7306140587971028,1.828904109589041,5.419724067567737,0.5989212328767124,-3.6891100087706334,1.0,0.13608925592634805,0.5670781912812594,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.13608925592634805,True
"w1=3, w2=1",3.0,1.0,32,0.781095890410959,0.0,0.008749072997816461,,2.3432876712328765,0.008749072997816461,1.828904109589041,5.419724067567737,0.5143835616438357,-5.410974994569919,1.0,0.0,0.5003965996037021,0.5856168523932497,0.5831648769911885,0.5843850685526365,0.0,True
