class1_balk_threshold,mean,std,n,se,ci95,metric
5,8.802441499074629,0.07634237009280266,100,0.007634237009280266,0.014963104538189321,mean_offered_booking_delay
6,8.92818574925065,0.07730345073916221,100,0.007730345073916222,0.015151476344875793,mean_offered_booking_delay
7,9.070447497358055,0.08709541071096345,100,0.008709541071096345,0.017070700499348838,mean_offered_booking_delay
8,9.18298195676869,0.07855179706567979,100,0.007855179706567978,0.015396152224873236,mean_offered_booking_delay
9,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
10,9.563692538265112,0.07207615024379439,100,0.007207615024379439,0.014126925447783701,mean_offered_booking_delay
11,9.937095708628409,0.04985669191240779,100,0.004985669191240779,0.009771911614831926,mean_offered_booking_delay
12,10.291538187325628,0.030105263246955758,100,0.003010526324695576,0.0059006315964033286,mean_offered_booking_delay
13,9.94670981630602,0.023106780331625516,100,0.0023106780331625517,0.004528928944998602,mean_offered_booking_delay
3,0.38256495294730164,0.0027807311439974635,100,0.00027807311439974634,0.0005450233042235028,overall_balking_rate
4,0.379078657468312,0.0023847284789275175,100,0.00023847284789275174,0.00046740678186979343,overall_balking_rate
5,0.37533607419845183,0.002801864858266074,100,0.0002801864858266074,0.0005491655122201504,overall_balking_rate
6,0.370422517093739,0.002610378539674824,100,0.0002610378539674824,0.0005116341937762655,overall_balking_rate
7,0.36545941814744237,0.0024603657460557393,100,0.00024603657460557394,0.0004822316862269249,overall_balking_rate
8,0.36096965708404605,0.0026918877421432054,100,0.00026918877421432054,0.0005276099974600683,overall_balking_rate
9,0.3557390597167697,0.0026226615795566966,100,0.00026226615795566963,0.0005140416695931124,overall_balking_rate
10,0.3428327115291736,0.003030828677197648,100,0.0003030828677197648,0.000594042420730739,overall_balking_rate
11,0.3245626325122072,0.0031820119963472094,100,0.0003182011996347209,0.000623674351284053,overall_balking_rate
12,0.29417347324520493,0.003325389720671074,100,0.00033253897206710737,0.0006517763852515304,overall_balking_rate
13,0.1640753578688388,0.002214334266373073,100,0.0002214334266373073,0.0004340095162091223,overall_balking_rate
3,9818.99,38.2365035276529,100,3.82365035276529,7.494354691419969,total_served
4,9816.12,42.01689895720305,100,4.201689895720305,8.235312195611797,total_served
5,9811.93,39.470038502565295,100,3.9470038502565297,7.736127546502798,total_served
6,9816.26,39.272839973650385,100,3.9272839973650386,7.697476634835476,total_served
7,9814.84,42.122889000848154,100,4.212288900084816,8.256086244166239,total_served
8,9808.84,36.928464836105924,100,3.6928464836105923,7.237979107876761,total_served
9,9814.18,40.01852601286583,100,4.001852601286583,7.843631098521702,total_served
10,9816.17,44.566612270767685,100,4.4566612270767685,8.735056005070467,total_served
11,9798.14,39.89937342866451,100,3.989937342866451,7.820277192018244,total_served
12,9803.02,44.48560770551857,100,4.448560770551857,8.719179110281639,total_served
13,9798.15,44.9107701195073,100,4.49107701195073,8.80251094342343,total_served
3,10950.95,39.67478271948554,100,3.967478271948554,7.776257413019166,total_value
4,10949.04,41.397535670568146,100,4.139753567056815,8.113916991431356,total_value
5,10942.15,38.80913539231415,100,3.8809135392314147,7.606590536893573,total_value
6,10946.67,41.3052336058318,100,4.13052336058318,8.095825786743033,total_value
7,10947.83,42.03751451100112,100,4.203751451100112,8.23935284415622,total_value
8,10943.69,34.7186949319496,100,3.47186949319496,6.804864206662121,total_value
9,10947.75,41.77461773456082,100,4.177461773456082,8.18782507597392,total_value
10,10952.64,42.79915981427768,100,4.279915981427768,8.388635323598425,total_value
11,10940.21,39.90804961711871,100,3.990804961711871,7.821977724955267,total_value
12,10948.78,47.447915090809126,100,4.744791509080913,9.299791357798588,total_value
13,10944.96,42.291418046738656,100,4.229141804673866,8.289117937160777,total_value
3,36489.47,179.735184270211,100,17.973518427021098,35.22809611696135,total_arrivals
4,36488.18,209.4617623791747,100,20.94617623791747,41.054505426318244,total_arrivals
5,36511.21,197.02290770774826,100,19.702290770774827,38.61648991071866,total_arrivals
6,36485.33,172.9276753706319,100,17.29276753706319,33.893824372643856,total_arrivals
7,36501.65,194.55680664037652,100,19.45568066403765,38.1331341015138,total_arrivals
8,36499.11,176.11365103480108,100,17.611365103480107,34.51827560282101,total_arrivals
9,36521.64,200.34165363652625,100,20.034165363652626,39.26696411275915,total_arrivals
10,36477.44,199.01049766738063,100,19.901049766738062,39.0060575428066,total_arrivals
11,36501.29,209.50525149513717,100,20.950525149513716,41.06302929304688,total_arrivals
12,36452.06,180.57130548245038,100,18.057130548245038,35.39197587456027,total_arrivals
13,36491.68,175.05836717846944,100,17.505836717846943,34.31143996698001,total_arrivals
3,22529.59,97.50732632407,100,9.750732632406999,19.111435959517717,total_booked
4,22656.03,112.2985248650605,100,11.22985248650605,22.01051087355186,total_booked
5,22806.97,115.58131118372695,100,11.558131118372696,22.653936992010482,total_booked
6,22970.26,130.7409822681643,100,13.074098226816428,25.6252325245602,total_booked
7,23161.55,128.488444239279,100,12.8488444239279,25.183735070898685,total_booked
8,23323.61,121.9834311484453,100,12.19834311484453,23.90875250509528,total_booked
9,23529.24,132.4694834307292,100,13.246948343072921,25.964018752422923,total_booked
10,23969.44,117.85030052288049,100,11.785030052288048,23.098658902484576,total_booked
11,24629.9,98.39987476381934,100,9.839987476381934,19.28637545370859,total_booked
12,25372.6,105.38146196201936,100,10.538146196201936,20.654766544555795,total_booked
13,25675.93,116.16691709029143,100,11.616691709029144,22.768715749697122,total_booked
3,36489.47,179.735184270211,100,17.973518427021098,35.22809611696135,total_offered
4,36488.18,209.4617623791747,100,20.94617623791747,41.054505426318244,total_offered
5,36511.21,197.02290770774826,100,19.702290770774827,38.61648991071866,total_offered
6,36485.33,172.9276753706319,100,17.29276753706319,33.893824372643856,total_offered
7,36501.52,194.5466358880395,100,19.45466358880395,38.13114063405574,total_offered
8,36498.69,176.76690666787545,100,17.676690666787543,34.646313706903584,total_offered
9,36521.56,200.39402196773187,100,20.03940219677319,39.27722830567545,total_offered
10,36474.36,198.2078553927529,100,19.82078553927529,38.84873965697957,total_offered
11,36465.75,196.61526678087134,100,19.661526678087135,38.53659228905079,total_offered
12,35947.73,143.2853235310367,100,14.328532353103672,28.083923412083195,total_offered
13,30715.74,145.4008475375799,100,14.54008475375799,28.49856611736566,total_offered
3,13959.88,151.99496801878107,100,15.199496801878107,29.79101373168109,total_balked
4,13832.15,145.1932446184335,100,14.51932446184335,28.457875945212965,total_balked
5,13704.24,152.58831653647147,100,15.258831653647146,29.907310041148406,total_balked
6,13515.07,124.13753003679611,100,12.413753003679611,24.33095588721204,total_balked
7,13339.97,130.4880856823737,100,13.048808568237371,25.575664793745247,total_balked
8,13175.08,134.2226914835602,100,13.422269148356019,26.307647530777796,total_balked
9,12992.32,137.39009418367155,100,13.739009418367155,26.928458459999625,total_balked
10,12504.92,157.54791991869365,100,15.754791991869364,30.879392304063952,total_balked
11,11835.85,166.84096189382436,100,16.684096189382437,32.70082853118958,total_balked
12,10575.13,147.15185964839102,100,14.715185964839103,28.841764491084643,total_balked
13,5039.81,79.68469366221102,100,7.968469366221102,15.61819995779336,total_balked
