horizon_days,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
7,18,0.9313698630136963,0.7848232848232848,6795,8476.0,5.566692268305172,5.569497830130192,0.031370117792932424,8658,7812,8065,253,593,517,500,0,0.8575918287173443,0.6809643958508551,0.1766274328664892
7,19,0.9365753424657508,0.7728197017623136,6841,8510.0,5.638240574506284,5.638446215139442,0.029133466135458166,8852,7798,8032,234,820,495,462,0,0.8359808612440192,0.6818307140887786,0.15415014715524056
7,20,0.9350684931506825,0.7802511415525114,6835,8465.0,5.644966615305599,5.645369794903667,0.03194530764449969,8760,7788,8045,257,715,481,472,0,0.8546092379653089,0.675117112152108,0.17949212581320084
7,21,0.934383561643833,0.7949703108627314,6828,8502.0,5.609223300970874,5.611476835175755,0.027698422556204198,8589,7828,8051,223,538,518,482,0,0.869345718901454,0.6937036018696728,0.17564211703178112
7,22,0.930684931506847,0.768056968463886,6795,8480.0,5.677501919631431,5.680125,0.02325,8847,7814,8000,186,847,514,505,0,0.839446898405992,0.6659340659340659,0.17351283247192606
7,23,0.9299999999999979,0.7835562730627307,6795,8479.0,5.596947935368043,5.598825587206397,0.02573713143428286,8672,7798,8004,206,668,498,505,0,0.8495821727019499,0.6925397696105321,0.15704240309141781
7,24,0.9363013698630122,0.7879732225300092,6827,8517.0,5.687112603305785,5.687202007528231,0.02835633626097867,8664,7744,7970,226,694,454,463,0,0.8628841607565012,0.6819955406911928,0.18088862006530837
7,25,0.9316438356164364,0.7817597059499196,6806,8467.0,5.631753312945974,5.6308474996897875,0.02618190842536295,8706,7848,8059,211,647,547,495,0,0.8502632092025736,0.6835336874475818,0.16672952175499178
7,26,0.9327397260273951,0.7957754697164197,6819,8486.0,5.452194054819199,5.453333333333333,0.03165109034267913,8569,7771,8025,254,544,462,490,0,0.8604243722016741,0.699009324009324,0.16141504819235009
7,27,0.9367123287671203,0.7700348432055749,6851,8541.0,5.635517593064763,5.6365998515219005,0.029448156396931453,8897,7844,8082,238,815,532,461,0,0.8352578906851424,0.6784652796541475,0.15679261103099496
7,28,0.934383561643833,0.7632552404438965,6809,8510.0,5.621909032671365,5.621621621621622,0.02789886660854403,8921,7805,8029,224,892,525,471,0,0.8294396961063628,0.6679431072210066,0.16149658888535623
7,29,0.935890410958902,0.78,6825,8506.0,5.606285130301482,5.608086320228203,0.029145479350117822,8750,7828,8063,235,687,528,475,0,0.8495662460567823,0.6840674279499728,0.16549881810680955
7,30,0.9350684931506825,0.7853029255931813,6818,8509.0,5.602722136620442,5.603693536311455,0.028200648864487147,8682,7788,8014,226,668,491,479,0,0.8545308418726141,0.6923076923076923,0.1622231495649218
14,1,0.9379452054794495,0.7852844328375156,6916,8522.0,10.744563300811096,10.736365719523373,0.025320806599450046,8807,8507,8728,221,79,1132,459,0,0.8699586858154633,0.6697099892588615,0.20024869655660182
14,2,0.9335616438356137,0.7802522440631746,6867,8490.0,10.888875626641203,10.88988164307264,0.027848688790902763,8801,8378,8618,240,183,1022,489,0,0.8641094834232845,0.6598394685856629,0.20427001483762164
14,3,0.9347945205479422,0.7901922858118102,6945,8491.0,9.905140686216312,9.907306937550501,0.027704028627496248,8789,8423,8663,240,126,990,488,0,0.8784735812133072,0.6675727099755369,0.21090087123777035
14,4,0.9383561643835595,0.7916098226466576,6963,8535.0,10.785266643017618,10.782758620689656,0.02793103448275862,8796,8457,8700,243,96,1026,468,0,0.8796616685890042,0.6641624930439621,0.21549917554504205
14,5,0.9324657534246551,0.7966277861184894,6898,8490.0,9.674925194494314,9.669025522041764,0.03074245939675174,8659,8355,8620,265,39,971,486,0,0.8767427763184482,0.6897574123989219,0.18698536391952636
