class1_cancel_prob,class_id,mean,std,n,se,ci95,metric
0.3,2,7.471977378349147,0.030176372821576793,100,0.0030176372821576793,0.005914569073029051,mean_offered_booking_delay
0.0,1,0.34359014146950445,0.0033021873780934405,100,0.00033021873780934407,0.0006472287261063144,percent_serviced
0.0,2,0.13505270342300865,0.002353084882214157,100,0.00023530848822141568,0.00046120463691397474,percent_serviced
0.05,1,0.30399966167086284,0.003088784181430719,100,0.00030887841814307193,0.000605401699560421,percent_serviced
0.05,2,0.21076745604262123,0.002901742995020056,100,0.0002901742995020056,0.0005687416270239309,percent_serviced
0.1,1,0.2688976243790122,0.0030578761420701796,100,0.00030578761420701795,0.0005993437238457552,percent_serviced
0.1,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.15,1,0.2407954706922331,0.003113210919032249,100,0.0003113210919032249,0.0006101893401303208,percent_serviced
0.15,2,0.3109470597213019,0.0033239401577096327,100,0.0003323940157709633,0.000651492270911088,percent_serviced
0.2,1,0.2167032162962955,0.0028154817501983465,100,0.0002815481750198346,0.0005518344230388758,percent_serviced
0.2,2,0.3447632094644362,0.0032142881470069973,100,0.0003214288147006997,0.0006300004768133715,percent_serviced
0.25,1,0.1938741191515664,0.002534224202554175,100,0.0002534224202554175,0.0004967079437006183,percent_serviced
0.25,2,0.3712416459538781,0.0033902746549227428,100,0.0003390274654922743,0.0006644938323648575,percent_serviced
0.3,1,0.1747279888765863,0.0026628842600314425,100,0.00026628842600314427,0.0005219253149661628,percent_serviced
0.3,2,0.39452581158791955,0.0033533297190094717,100,0.0003353329719009472,0.0006572526249258565,percent_serviced
0.0,1,0.5371952054794521,0.004815466880907467,100,0.00048154668809074667,0.0009438315086578635,slot_utilization
0.0,2,0.21080650684931507,0.003993424077962678,100,0.0003993424077962678,0.0007827111192806849,slot_utilization
0.05,1,0.47504537671232877,0.005245843618849398,100,0.0005245843618849398,0.001028185349294482,slot_utilization
0.05,2,0.328986301369863,0.004855432152960453,100,0.0004855432152960453,0.0009516647019802488,slot_utilization
0.1,1,0.42071575342465756,0.00427048218565983,100,0.00042704821856598304,0.0008370145083893267,slot_utilization
0.1,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.15,1,0.3761823630136986,0.004582423978390012,100,0.0004582423978390012,0.0008981550997644423,slot_utilization
0.15,2,0.48583732876712327,0.005285282500130237,100,0.0005285282500130237,0.0010359153700255266,slot_utilization
0.2,1,0.338138698630137,0.004461614346925933,100,0.0004461614346925933,0.0008744764119974829,slot_utilization
0.2,2,0.5380907534246575,0.0044609850058885455,100,0.00044609850058885457,0.0008743530611541549,slot_utilization
0.25,1,0.3031892123287671,0.004552591235415197,100,0.0004552591235415197,0.0008923078821413786,slot_utilization
0.25,2,0.5808501712328767,0.005024806782801536,100,0.0005024806782801536,0.000984862129429101,slot_utilization
0.3,1,0.27297517123287673,0.004223207402376732,100,0.00042232074023767325,0.0008277486508658395,slot_utilization
0.3,2,0.6160513698630137,0.004784804418079055,100,0.0004784804418079055,0.0009378216659434948,slot_utilization
0.0,1,0.43915540152025057,0.004124443197919388,100,0.0004124443197919388,0.0008083908667922001,balking_rate
0.0,2,0.4388998395055801,0.004859254676261701,100,0.00048592546762617005,0.0009524139165472933,balking_rate
0.05,1,0.39383953037871905,0.003556320136052367,100,0.00035563201360523666,0.0006970387466662638,balking_rate
0.05,2,0.39414456015569443,0.004343727490693064,100,0.0004343727490693064,0.0008513705881758406,balking_rate
0.1,1,0.3558386361080537,0.0035465395892451653,100,0.00035465395892451653,0.0006951217594920524,balking_rate
0.1,2,0.3556394154774364,0.003810446989646798,100,0.0003810446989646798,0.0007468476099707724,balking_rate
0.15,1,0.31633179950607726,0.00433665529418031,100,0.000433665529418031,0.0008499844376593408,balking_rate
0.15,2,0.31593956769610754,0.003916732425058698,100,0.0003916732425058698,0.0007676795553115048,balking_rate
0.2,1,0.2721222803051526,0.005045257116808304,100,0.0005045257116808304,0.0009888703948944275,balking_rate
0.2,2,0.27162043071947517,0.004812699772465366,100,0.0004812699772465366,0.0009432891554032117,balking_rate
0.25,1,0.2332650994280606,0.005103676367752271,100,0.0005103676367752271,0.001000320568079445,balking_rate
0.25,2,0.2334061068122566,0.0044043885046156145,100,0.00044043885046156145,0.0008632601469046604,balking_rate
0.3,1,0.19708529036939054,0.005634794799631866,100,0.0005634794799631866,0.0011044197807278456,balking_rate
0.3,2,0.19749671443889225,0.00470109177332161,100,0.000470109177332161,0.0009214139875710356,balking_rate
0.0,1,18261.89,117.37025030460563,100,11.737025030460563,23.004569059702703,arrivals
0.0,2,18231.63,147.06726661324376,100,14.706726661324376,28.825184256195776,arrivals
0.05,1,18252.09,135.54499756035372,100,13.554499756035373,26.56681952182933,arrivals
0.05,2,18231.59,145.52254120925795,100,14.552254120925795,28.522418077014557,arrivals
0.1,1,18275.24,140.97360738733312,100,14.097360738733311,27.63082704791729,arrivals
0.1,2,18246.4,130.17734600974725,100,13.017734600974725,25.51475981791046,arrivals
0.15,1,18247.68,129.79275477436855,100,12.979275477436854,25.439379935776234,arrivals
0.15,2,18249.72,122.8191641019721,100,12.28191641019721,24.072556163986533,arrivals
0.2,1,18225.65,134.96474474184842,100,13.496474474184842,26.45308996940229,arrivals
