lambda_total,noshow_scale,lambda_over_s,metric,mean,se,ci95
24,1.5,1.2,overall_percent_serviced,0.7901825308251358,0.0013556509521423594,0.0026570758661990245
24,1.5,1.2,class_1_served_rate,0.8792887989262067,0.001021111677348019,0.002001378887602117
24,1.5,1.2,class_2_served_rate,0.665832900525443,0.002583373088803878,0.0050634112540556
24,1.5,1.2,access_gap,0.2134558984007638,0.002516408229421823,0.0049321601296667735
24,2.0,1.2,average_utilization,0.9344109589041073,0.000480290334943456,0.0009413690564891738
24,2.0,1.2,overall_percent_serviced,0.7899865642081878,0.0013910860693139503,0.0027265286958553427
24,2.0,1.2,class_1_served_rate,0.8792887989262067,0.001021111677348019,0.002001378887602117
24,2.0,1.2,class_2_served_rate,0.665362883491709,0.002672426325375798,0.005237955597736564
24,2.0,1.2,access_gap,0.21392591543449785,0.0025939860432231633,0.0050842126447174
28,0.0,1.4,average_utilization,0.9569086757990841,0.00045795820577650934,0.0008975980833219584
28,0.0,1.4,overall_percent_serviced,0.6830889247824399,0.0010149642328311885,0.0019893298963491297
28,0.0,1.4,class_1_served_rate,0.855624605475828,0.0006103380509250217,0.0011962625798130424
28,0.0,1.4,class_2_served_rate,0.44219007195968935,0.0025746948459231325,0.0050464018980093395
28,0.0,1.4,access_gap,0.4134345335161384,0.0028875313544675777,0.0056595614547564526
28,0.5,1.4,average_utilization,0.9422009132420063,0.00048438354264466197,0.0009493917435835374
28,0.5,1.4,overall_percent_serviced,0.6722951700491734,0.0010446323172567519,0.0020474793418232334
28,0.5,1.4,class_1_served_rate,0.855624605475828,0.0006103380509250217,0.0011962625798130424
28,0.5,1.4,class_2_served_rate,0.416320594817486,0.0026772523034638224,0.005247414514789092
28,0.5,1.4,access_gap,0.4393040106583417,0.002989480794789836,0.0058593823577880785
28,1.0,1.4,average_utilization,0.9279908675799063,0.000620156505968499,0.001215506751698258
28,1.0,1.4,overall_percent_serviced,0.66187046823358,0.0011807951340671258,0.002314358462771566
28,1.0,1.4,class_1_served_rate,0.855624605475828,0.0006103380509250217,0.0011962625798130424
28,1.0,1.4,class_2_served_rate,0.3913446227330732,0.0029772663644382974,0.005835442074299062
28,1.0,1.4,access_gap,0.4642799827427545,0.0032757122160413303,0.006420395943441007
28,1.5,1.4,average_utilization,0.9134885844748839,0.0007589861677100779,0.0014876128887117525
28,1.5,1.4,overall_percent_serviced,0.6512519029602615,0.001277279794267085,0.0025034683967634862
28,1.5,1.4,class_1_served_rate,0.855624605475828,0.0006103380509250217,0.0011962625798130424
28,1.5,1.4,class_2_served_rate,0.3659003509128773,0.003194393875757101,0.006261011996483918
28,1.5,1.4,access_gap,0.4897242545629505,0.0034808690493160566,0.00682250333665947
28,2.0,1.4,average_utilization,0.9001095890410944,0.000807232477237772,0.001582175655386033
28,2.0,1.4,overall_percent_serviced,0.6414107937823569,0.0013367397087311898,0.002620009829113132
28,2.0,1.4,class_1_served_rate,0.855624605475828,0.0006103380509250217,0.0011962625798130424
28,2.0,1.4,class_2_served_rate,0.34231132927525604,0.0034019564165792063,0.006667834576495244
28,2.0,1.4,access_gap,0.5133132762005717,0.0036969396925278083,0.007246001797354503
32,0.0,1.6,average_utilization,0.9783013698630117,0.0006256368581109609,0.0012262482418974835
32,0.0,1.6,overall_percent_serviced,0.6132983852412052,0.0010724142891706614,0.0021019320067744967
32,0.0,1.6,class_1_served_rate,0.8451513563398357,0.0007837907674391168,0.001536229904180669
32,0.0,1.6,class_2_served_rate,0.28823951668477454,0.002789559898812259,0.005467537401672028
32,0.0,1.6,access_gap,0.5569118396550612,0.002653883686511105,0.005201612025561765
32,0.5,1.6,average_utilization,0.9488264840182621,0.0004269539006913582,0.0008368296453550621
32,0.5,1.6,overall_percent_serviced,0.5947447125026251,0.0012495431210489836,0.002449104517256008
32,0.5,1.6,class_1_served_rate,0.8451513563398357,0.0007837907674391168,0.001536229904180669
32,0.5,1.6,class_2_served_rate,0.24366295805094138,0.003285057521896189,0.0064387127429165305
32,0.5,1.6,access_gap,0.6014883982888943,0.003138193010479436,0.006150858300539695
32,1.0,1.6,average_utilization,0.9195981735159798,0.0006256138739094534,0.0012262031928625288
32,1.0,1.6,overall_percent_serviced,0.5764756341576966,0.0013168834061258706,0.0025810914760067065
32,1.0,1.6,class_1_served_rate,0.8451513563398357,0.0007837907674391168,0.001536229904180669
32,1.0,1.6,class_2_served_rate,0.19976734810104577,0.0035601059995515995,0.006977807759121136
32,1.0,1.6,access_gap,0.6453840082387898,0.0033991592474534346,0.0066623521250087315
32,1.5,1.6,average_utilization,0.8900776255707754,0.0007536517409700284,0.0014771574123012558
32,1.5,1.6,overall_percent_serviced,0.5580213596101561,0.0013844188600941729,0.0027134609657845786
32,1.5,1.6,class_1_served_rate,0.8451513563398357,0.0007837907674391168,0.001536229904180669
