policy,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,measured_total_slots,measured_booked_slots,measured_served_slots,measured_no_show_slots,measured_booked_slot_utilization,measured_served_slot_utilization,measured_no_show_slot_share,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,served_rate,booked_arrival_rate,offered_rate
Strict C1 reservation,5117,0.8903253424657535,0.5678918093576181,10414,11667.0,5.5491329479768785,5.5491329479768785,0.0,18338,18338,18338,0,0,6677,1247,0,11680,11680,10399,1281,1.0,0.8903253424657535,0.10967465753424657,0.0,0.0,0.36410731813720143,0.0680008725051805,0.0,0.5678918093576181,1.0,1.0
Strict C1 reservation,5118,0.8946917808219178,0.5649371750433275,10431,11675.0,5.525400779896014,5.525400779896014,0.0,18464,18464,18464,0,0,6790,1243,0,11680,11680,10450,1230,1.0,0.8946917808219178,0.1053082191780822,0.0,0.0,0.3677426343154246,0.06732019064124783,0.0,0.5649371750433275,1.0,1.0
Strict C1 reservation,5119,0.9061643835616439,0.5734440284334473,10568,11825.0,5.520863855879321,5.520863855879321,0.0,18429,18429,18429,0,0,6737,1124,0,11680,11680,10584,1096,1.0,0.9061643835616439,0.09383561643835617,0.0,0.0,0.3655651418959249,0.060990829670627814,0.0,0.5734440284334473,1.0,1.0
Strict C1 reservation,5120,0.9043664383561644,0.5769293879560248,10548,11794.0,5.476891101022808,5.476891101022808,0.0,18283,18283,18283,0,0,6606,1129,0,11680,11680,10563,1117,1.0,0.9043664383561644,0.09563356164383562,0.0,0.0,0.36131925832740797,0.0617513537165673,0.0,0.5769293879560248,1.0,1.0
Strict C1 reservation,5121,0.9234589041095891,0.5927840721592784,10778,12017.0,5.3466065339346605,5.3466065339346605,0.0,18182,18182,18182,0,0,6502,902,0,11680,11680,10786,894,1.0,0.9234589041095891,0.07654109589041096,0.0,0.0,0.35760642393576064,0.04960950390496095,0.0,0.5927840721592784,1.0,1.0
Strict C1 reservation,5122,0.9188356164383562,0.5912191901408451,10746,12001.0,5.410926496478873,5.410926496478873,0.0,18176,18176,18176,0,0,6484,946,0,11680,11680,10732,948,1.0,0.9188356164383562,0.08116438356164384,0.0,0.0,0.35673415492957744,0.05204665492957746,0.0,0.5912191901408451,1.0,1.0
Strict C1 reservation,5123,0.9200342465753425,0.5919426048565122,10726,11992.0,5.383388520971303,5.383388520971303,0.0,18120,18120,18120,0,0,6437,957,0,11680,11680,10746,934,1.0,0.9200342465753425,0.07996575342465753,0.0,0.0,0.355242825607064,0.05281456953642384,0.0,0.5919426048565122,1.0,1.0
Strict C1 reservation,5124,0.9110445205479452,0.5794351760985715,10628,11876.0,5.43092356340639,5.43092356340639,0.0,18342,18342,18342,0,0,6666,1048,0,11680,11680,10641,1039,1.0,0.9110445205479452,0.0889554794520548,0.0,0.0,0.36342819757932615,0.05713662632210228,0.0,0.5794351760985715,1.0,1.0
Strict C1 reservation,5125,0.8957191780821918,0.5718507168654919,10450,11701.0,5.509521724854985,5.509521724854985,0.0,18274,18274,18274,0,0,6590,1234,0,11680,11680,10462,1218,1.0,0.8957191780821918,0.10428082191780821,0.0,0.0,0.3606216482434059,0.06752763489110211,0.0,0.5718507168654919,1.0,1.0
Strict C1 reservation,5126,0.9048801369863013,0.5764416507242416,10546,11805.0,5.505930582126264,5.505930582126264,0.0,18295,18295,18295,0,0,6601,1148,0,11680,11680,10569,1111,1.0,0.9048801369863013,0.09511986301369862,0.0,0.0,0.3608089641978683,0.06274938507789013,0.0,0.5764416507242416,1.0,1.0
