policy,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,measured_total_slots,measured_booked_slots,measured_served_slots,measured_no_show_slots,measured_booked_slot_utilization,measured_served_slot_utilization,measured_no_show_slot_share,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,served_rate,booked_arrival_rate,offered_rate
Class-1-first backfill reservation,5116,0.9491438356164383,0.6059794490599038,11087,12319.0,4.421175726927939,5.191681241801486,0.13533012680367293,18296,15820,18296,2476,0,4142,591,0,11680,11680,11086,594,1.0,0.9491438356164383,0.05085616438356164,0.13533012680367293,0.0,0.22638828159160473,0.032302142544818536,0.0,0.6059794490599038,0.864669873196327,1.0
Class-1-first backfill reservation,5117,0.9509417808219178,0.6078796169630643,11109,12344.0,4.464186633039092,5.206949384404925,0.13214774281805747,18275,15860,18275,2415,0,4180,571,0,11680,11680,11107,573,1.0,0.9509417808219178,0.049058219178082195,0.13214774281805747,0.0,0.22872777017783857,0.031244870041039673,0.0,0.6078796169630643,0.8678522571819426,1.0
Class-1-first backfill reservation,5118,0.9470034246575343,0.6076560272019305,11080,12303.0,4.460581174984207,5.2041790062520565,0.13184161456619503,18234,15830,18234,2404,0,4143,607,0,11680,11680,11061,619,1.0,0.9470034246575343,0.052996575342465754,0.13184161456619503,0.0,0.2272128989799276,0.033289459251946915,0.0,0.6076560272019305,0.868158385433805,1.0
Class-1-first backfill reservation,5119,0.9491438356164383,0.6077732704747286,11087,12319.0,4.450021770230764,5.126521214779081,0.11868216204363556,18242,16077,18242,2165,0,4388,601,1,11680,11680,11086,594,1.0,0.9491438356164383,0.05085616438356164,0.11868216204363556,0.0,0.2405438000219274,0.032945948909110845,5.48185505975222e-05,0.6077732704747286,0.8813178379563644,1.0
Class-1-first backfill reservation,5120,0.9514554794520548,0.6149759256184626,11112,12341.0,4.413371176285083,5.1067020864464,0.12253030051469367,18069,15855,18069,2214,0,4172,571,0,11680,11680,11113,567,1.0,0.9514554794520548,0.048544520547945204,0.12253030051469367,0.0,0.23089268913608943,0.031601084730754334,0.0,0.6149759256184626,0.8774696994853063,1.0
Class-1-first backfill reservation,5121,0.950513698630137,0.6018438177874187,11098,12339.0,4.545986674139112,5.266323210412147,0.12912147505422994,18440,16059,18440,2381,0,4385,576,0,11680,11680,11102,578,1.0,0.950513698630137,0.04948630136986301,0.12912147505422994,0.0,0.23779826464208242,0.031236442516268982,0.0,0.6018438177874187,0.8708785249457701,1.0
Class-1-first backfill reservation,5122,0.949486301369863,0.6044117647058823,11097,12329.0,4.512426991425376,5.2,0.12342047930283224,18360,16094,18360,2266,0,4409,588,0,11680,11680,11090,590,1.0,0.949486301369863,0.05051369863013699,0.12342047930283224,0.0,0.24014161220043573,0.03202614379084967,0.0,0.6044117647058823,0.8765795206971677,1.0
Class-1-first backfill reservation,5123,0.9488013698630137,0.6085260671317915,11077,12307.0,4.488095982003374,5.167280118661759,0.1208591990331264,18203,16003,18203,2200,0,4325,601,0,11680,11680,11082,598,1.0,0.9488013698630137,0.0511986301369863,0.1208591990331264,0.0,0.23759819809921442,0.033016535735867714,0.0,0.6085260671317915,0.8791408009668736,1.0
Class-1-first backfill reservation,5124,0.9509417808219178,0.598297964020252,11108,12336.0,4.578833693304536,5.282074760314553,0.12716794139825488,18566,16205,18566,2361,0,4522,575,0,11680,11680,11107,573,1.0,0.9509417808219178,0.049058219178082195,0.12716794139825488,0.0,0.243563503177852,0.030970591403641064,0.0,0.598297964020252,0.8728320586017452,1.0
Class-1-first backfill reservation,5125,0.9502568493150685,0.6129441624365483,11109,12341.0,4.431619047619048,5.1760097108806,0.13098653718825867,18124,15750,18124,2374,0,4058,583,0,11680,11680,11099,581,1.0,0.9502568493150685,0.04974315068493151,0.13098653718825867,0.0,0.2239020083866696,0.03216729198852351,0.0,0.6129441624365483,0.8690134628117413,1.0
Class-1-first backfill reservation,5126,0.9528253424657535,0.615954447454254,11142,12367.0,4.412497628233508,5.127480789430041,0.1259328873901266,18089,15811,18089,2278,0,4115,554,0,11680,11680,11129,551,1.0,0.9528253424657535,0.04717465753424657,0.1259328873901266,0.0,0.22748631765161148,0.030626347504007962,0.0,0.615954447454254,0.8740671126098734,1.0
Class-1-first backfill reservation,5127,0.9489726027397261,0.6053894828714815,11098,12320.0,4.472932330827068,5.199705433122409,0.1293912284529784,18332,15960,18332,2372,0,4263,599,0,11680,11680,11084,596,1.0,0.9489726027397261,0.05102739726027397,0.1293912284529784,0.0,0.23254418503163868,0.032675103643901374,0.0,0.6053894828714815,0.8706087715470217,1.0
Class-1-first backfill reservation,5128,0.9513698630136986,0.6044982886945184,11127,12356.0,4.5286184823814555,5.235779866355191,0.12582169826696366,18407,16091,18407,2316,0,4400,564,0,11680,11680,11112,568,1.0,0.9513698630136986,0.04863013698630137,0.12582169826696366,0.0,0.2390394958439724,0.030640517194545552,0.0,0.6044982886945184,0.8741783017330363,1.0
Class-1-first backfill reservation,5129,0.9511986301369864,0.6130833886308339,11087,12335.0,4.376643073811931,5.08996903339969,0.12497235124972352,18084,15824,18084,2260,0,4162,575,0,11680,11680,11110,570,1.0,0.9511986301369864,0.0488013698630137,0.12497235124972352,0.0,0.23014819730148198,0.03179606281796063,0.0,0.6130833886308339,0.8750276487502765,1.0
Class-1-first backfill reservation,5130,0.9525684931506849,0.6031565245688253,11121,12351.0,4.495056939056439,5.239885020067252,0.1332031673717323,18438,15982,18438,2456,0,4313,548,0,11680,11680,11126,554,1.0,0.9525684931506849,0.04743150684931507,0.1332031673717323,0.0,0.23391908016053803,0.029721227898904436,0.0,0.6031565245688253,0.8667968326282677,1.0
