policy,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay,no_offer_rate,booked_rate
Pooled FCFS,5123,1,9065,9065,0,9065,0,3221,473,5371,5.378157749586321,5.378157749586321,0.5924986210700497,0.4598458904109589,0.0,48753.0,48753.0,0.0,1.0
Pooled FCFS,5123,2,9055,9055,0,9055,0,3216,484,5355,5.388625069022639,5.388625069022639,0.5913859745996687,0.4584760273972603,0.0,48794.0,48794.0,0.0,1.0
Pooled FCFS,5124,1,9261,9261,0,9261,0,3345,514,5402,5.421660727783177,5.421660727783177,0.5833063384083792,0.4625,0.0,50210.0,50210.0,0.0,1.0
Pooled FCFS,5124,2,9081,9081,0,9081,0,3321,534,5226,5.440370003303601,5.440370003303601,0.5754872811364388,0.44743150684931504,0.0,49404.0,49404.0,0.0,1.0
Pooled FCFS,5125,1,9234,9234,0,9234,0,3413,591,5230,5.5168940870695256,5.5168940870695256,0.5663850985488412,0.4477739726027397,0.0,50943.0,50943.0,0.0,1.0
Pooled FCFS,5125,2,9040,9040,0,9040,0,3177,644,5219,5.501991150442477,5.501991150442477,0.5773230088495576,0.4468321917808219,0.0,49738.0,49738.0,0.0,1.0
Pooled FCFS,5126,1,9120,9120,0,9120,0,3244,573,5303,5.467543859649123,5.467543859649123,0.581469298245614,0.45402397260273974,0.0,49864.0,49864.0,0.0,1.0
Pooled FCFS,5126,2,9175,9175,0,9175,0,3357,575,5243,5.5440871934604905,5.5440871934604905,0.5714441416893733,0.44888698630136986,0.0,50867.0,50867.0,0.0,1.0
Pooled FCFS,5127,1,9247,9247,0,9247,0,3379,637,5231,5.530983021520493,5.530983021520493,0.5656969828052342,0.4478595890410959,0.0,51145.0,51145.0,0.0,1.0
Pooled FCFS,5127,2,9060,9060,0,9060,0,3264,539,5257,5.462472406181015,5.462472406181015,0.580242825607064,0.45008561643835615,0.0,49490.0,49490.0,0.0,1.0
Pooled FCFS,5128,1,9155,9155,0,9155,0,3352,471,5332,5.395849262697979,5.395849262697979,0.582413981430912,0.4565068493150685,0.0,49399.0,49399.0,0.0,1.0
Pooled FCFS,5128,2,9064,9064,0,9064,0,3187,530,5347,5.375220653133274,5.375220653133274,0.5899161518093556,0.45779109589041095,0.0,48721.0,48721.0,0.0,1.0
Pooled FCFS,5129,1,9223,9223,0,9223,0,3334,547,5342,5.429252954570097,5.429252954570097,0.5792041635042827,0.45736301369863014,0.0,50074.0,50074.0,0.0,1.0
Pooled FCFS,5129,2,9077,9077,0,9077,0,3276,549,5252,5.414343946237744,5.414343946237744,0.5786052660570673,0.44965753424657534,0.0,49146.0,49146.0,0.0,1.0
Pooled FCFS,5130,1,9013,9013,0,9013,0,3289,592,5132,5.535337845334517,5.535337845334517,0.5693997559081327,0.43938356164383563,0.0,49890.0,49890.0,0.0,1.0
Pooled FCFS,5130,2,9283,9283,0,9283,0,3296,593,5394,5.549822255736292,5.549822255736292,0.5810621566303996,0.4618150684931507,0.0,51519.0,51519.0,0.0,1.0
Strict C1 reservation,5101,1,9172,9172,0,9172,0,3194,463,5515,5.281945050152639,5.281945050152639,0.6012865242040994,0.4721746575342466,0.0,48446.0,48446.0,0.0,1.0
Strict C1 reservation,5101,2,9048,9048,0,9048,0,3331,446,5271,5.412577365163572,5.412577365163572,0.5825596816976127,0.45128424657534244,0.0,48973.0,48973.0,0.0,1.0
Strict C1 reservation,5102,1,9161,9161,0,9161,0,3275,560,5326,5.409671433249645,5.409671433249645,0.581377578866936,0.4559931506849315,0.0,49558.0,49558.0,0.0,1.0
Strict C1 reservation,5102,2,9056,9056,0,9056,0,3265,622,5169,5.571223498233215,5.571223498233215,0.5707818021201413,0.4425513698630137,0.0,50453.0,50453.0,0.0,1.0
Strict C1 reservation,5103,1,9292,9292,0,9292,0,3337,633,5322,5.408308222126561,5.408308222126561,0.5727507533362032,0.45565068493150684,0.0,50254.0,50254.0,0.0,1.0
Strict C1 reservation,5103,2,9048,9048,0,9048,0,3301,632,5115,5.578359858532273,5.578359858532273,0.5653183023872679,0.4379280821917808,0.0,50473.0,50473.0,0.0,1.0
Strict C1 reservation,5104,1,9004,9004,0,9004,0,3115,452,5437,5.282096845846291,5.282096845846291,0.6038427365615282,0.46549657534246575,0.0,47560.0,47560.0,0.0,1.0
Strict C1 reservation,5104,2,9138,9138,0,9138,0,3328,497,5313,5.461698402276209,5.461698402276209,0.5814182534471438,0.45488013698630136,0.0,49909.0,49909.0,0.0,1.0
Strict C1 reservation,5105,1,9137,9137,0,9137,0,3177,446,5514,5.325489766881908,5.325489766881908,0.603480354602167,0.4720890410958904,0.0,48659.0,48659.0,0.0,1.0
Strict C1 reservation,5105,2,9009,9009,0,9009,0,3293,485,5231,5.463536463536464,5.463536463536464,0.5806415806415807,0.4478595890410959,0.0,49221.0,49221.0,0.0,1.0
Strict C1 reservation,5106,1,9090,9090,0,9090,0,3129,355,5606,5.167106710671067,5.167106710671067,0.6167216721672167,0.4799657534246575,0.0,46969.0,46969.0,0.0,1.0
Strict C1 reservation,5106,2,8872,8872,0,8872,0,3135,350,5387,5.337578899909829,5.337578899909829,0.6071911632100991,0.46121575342465754,0.0,47355.0,47355.0,0.0,1.0
