policy,lambda_total,seed,total_arrivals,served_share,balked_share,canceled_share,no_show_share,no_offer_share,unresolved_booked_share,lost_share
Class-1-first backfill reservation,50,6103,18387,0.6050470441072496,0.13683580790776093,0.2268994398216131,0.0312177081633763,0.0,0.0,0.3949529558927503
Class-1-first backfill reservation,50,6104,18308,0.6074393707668778,0.13081712912388027,0.23170198820187896,0.0300415119073629,0.0,0.0,0.3925606292331221
Class-1-first backfill reservation,50,6105,18231,0.6084142394822006,0.12072842959793757,0.23761724535132467,0.03324008556853711,0.0,0.0,0.39158576051779936
Class-1-first backfill reservation,50,6106,18231,0.6090724589984093,0.11963139707092316,0.23992101365805496,0.031375130272612586,0.0,0.0,0.3909275410015907
Class-1-first backfill reservation,50,6107,18254,0.6067163361455024,0.12342500273912567,0.23655089295496878,0.0333077681604032,0.0,0.0,0.39328366385449764
Class-1-first backfill reservation,50,6108,18298,0.6065143731555361,0.12640725762378402,0.23609137610667832,0.03098699311400153,0.0,0.0,0.39348562684446386
Class-1-first backfill reservation,50,6109,18478,0.5995778763935491,0.1291265288451131,0.23871631128910056,0.032416928238986904,0.0,0.00016235523325035177,0.4004221236064509
Class-1-first backfill reservation,50,6110,18186,0.6149785549323655,0.12416144286814033,0.2324315407456285,0.02842846145386561,0.0,0.0,0.38502144506763447
Strict C1 reservation,60,6101,21676,0.45059051485513935,0.03455434582026204,0.42752352832625945,0.08733161099833918,0.0,0.0,0.5494094851448607
Strict C1 reservation,60,6102,21957,0.4475565878763037,0.04271986154757025,0.42578676504076146,0.08393678553536457,0.0,0.0,0.5524434121236963
Strict C1 reservation,60,6103,21673,0.4524523600793614,0.034697549946938584,0.42610621510635355,0.08674387486734647,0.0,0.0,0.5475476399206386
Strict C1 reservation,60,6104,22061,0.4451747427587145,0.05017904900049862,0.41929196319296497,0.08535424504782195,0.0,0.0,0.5548252572412855
Strict C1 reservation,60,6105,21931,0.4468560485157996,0.04304409283662396,0.42437645342209657,0.08572340522547992,0.0,0.0,0.5531439514842005
Strict C1 reservation,60,6106,21899,0.44700671263528013,0.04169140143385543,0.4242202840312343,0.08708160189963011,0.0,0.0,0.5529932873647199
Strict C1 reservation,60,6107,21891,0.4513270293728016,0.04700561874743045,0.41948746060024666,0.08217989127952126,0.0,0.0,0.5486729706271984
Strict C1 reservation,60,6108,22035,0.4454731109598366,0.04992058089403222,0.4190605854322669,0.0855457227138643,0.0,0.0,0.5545268890401633
Strict C1 reservation,60,6109,22124,0.44426866751039595,0.051346953534623034,0.42013198336647983,0.08425239558850117,0.0,0.0,0.555731332489604
Strict C1 reservation,60,6110,21992,0.4465714805383776,0.04819934521644234,0.42042560931247724,0.0848035649327028,0.0,0.0,0.5534285194616224
Class-1-first backfill reservation,60,6101,21656,0.514222386405615,0.17228481714074623,0.28731067602512006,0.026135943849279645,0.0,4.6176579239009974e-05,0.4857776135943849
Class-1-first backfill reservation,60,6102,21753,0.5098147381970303,0.1686204201719303,0.29416632188663633,0.0273065784029789,0.0,9.194134142417138e-05,0.49018526180296973
Class-1-first backfill reservation,60,6103,21912,0.5088079591091639,0.1731471339905075,0.2930357794815626,0.024872216137276377,0.0,0.00013691128148959474,0.49119204089083607
Class-1-first backfill reservation,60,6104,21828,0.5084753527579255,0.16959868059373281,0.2962250320689023,0.02547187099138721,0.0,0.00022906358805204326,0.4915246472420744
Class-1-first backfill reservation,60,6105,21902,0.5037896082549539,0.17423066386631358,0.2930325997625788,0.028947128116153777,0.0,0.0,0.4962103917450461
Class-1-first backfill reservation,60,6106,21757,0.5114216114354001,0.1716229259548651,0.29227375097669717,0.02468171163303764,0.0,0.0,0.4885783885645999
Class-1-first backfill reservation,60,6107,22029,0.5019746697535067,0.17590448953652005,0.293703754142267,0.028280902446774708,0.0,0.00013618412093149938,0.49802533024649326
Class-1-first backfill reservation,60,6108,21928,0.5058828894564028,0.1734312294782926,0.29409886902590293,0.02649580445093032,0.0,9.120758847136082e-05,0.49411711054359725
Class-1-first backfill reservation,60,6109,22179,0.4979034221560936,0.16952973533522703,0.3045222958654583,0.027999458947653186,0.0,4.508769556787952e-05,0.5020965778439064
Class-1-first backfill reservation,60,6110,21913,0.5069137041938575,0.1670697759320951,0.298498608132159,0.02728973668598549,0.0,0.00022817505590288869,0.4930862958061425
Strict C1 reservation,70,6101,25615,0.38266640640249855,0.155729065000976,0.3889517860628538,0.07265274253367168,0.0,0.0,0.6173335935975015
Strict C1 reservation,70,6102,25932,0.38037945395650163,0.1704457812741015,0.3791840197439457,0.06999074502545118,0.0,0.0,0.6196205460434984
Strict C1 reservation,70,6103,25651,0.3815835639936065,0.16128026197809053,0.38361077540836613,0.07352539861993684,0.0,0.0,0.6184164360063935
Strict C1 reservation,70,6104,25588,0.3835782397999062,0.16738314835078943,0.37646553071752387,0.07257308113178053,0.0,0.0,0.6164217602000938
Strict C1 reservation,70,6105,25280,0.38852848101265824,0.15585443037974683,0.38208069620253166,0.0735363924050633,0.0,0.0,0.6114715189873418
Strict C1 reservation,70,6106,25579,0.38437780992220183,0.15938856092888698,0.38375229680597367,0.07248133234293756,0.0,0.0,0.6156221900777982
Strict C1 reservation,70,6107,25666,0.3825294163484766,0.16348476583807373,0.3809319722590197,0.07305384555442998,0.0,0.0,0.6174705836515234
Strict C1 reservation,70,6108,25404,0.3856479294599276,0.1622579121398205,0.37844433947409856,0.07364981892615337,0.0,0.0,0.6143520705400725
Strict C1 reservation,70,6109,25695,0.3832652266978011,0.16263864565090486,0.38295388207822534,0.0711422455730687,0.0,0.0,0.6167347733021988
Strict C1 reservation,70,6110,25510,0.38459427675421404,0.1582516660133281,0.38373186985495883,0.07342218737749902,0.0,0.0,0.615405723245786
Class-1-first backfill reservation,70,6101,25670,0.38562524347487337,0.1773665757693806,0.36852356836774447,0.06809505259057265,0.0,0.00038955979742890534,0.6143747565251266
Class-1-first backfill reservation,70,6102,25486,0.39248999450678806,0.16946558895079653,0.3719296868869183,0.06580083182923958,0.0,0.00031389782625755315,0.607510005493212
