scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,post_threshold_balking_rate,w1,w2,util_exact_best_q_values,util_near_tie_q_values,util_near_tie_q_ranges,util_best_value,util_fcfs_value,util_best_strict_value,util_best_strict_delta_vs_fcfs,util_composition_effect_likely,service_exact_best_q_values,service_near_tie_q_values,service_near_tie_q_ranges,service_best_value,service_fcfs_value,service_best_strict_value,service_best_strict_delta_vs_fcfs,service_composition_effect_likely,wait_exact_best_q_values,wait_near_tie_q_values,wait_near_tie_q_ranges,wait_best_value,wait_fcfs_value,wait_best_strict_value,wait_best_strict_delta_vs_fcfs,wait_composition_effect_likely
t05_09_b07_l50,50,50,5,9,0.7,0.5,1.0,0,"0,2,4,6,8","0-8 [0,2,4,6,8]",0.450810502283105,0.450810502283105,0.450630707762557,-0.000179794520548,False,2,"0,2,4,6","0-6 [0,2,4,6]",0.2887027588188929,0.2884683461886888,0.2887027588188929,0.0002344126302041,False,32,32,32,4.4754074323352295,8.084286260540491,4.4754074323352295,-3.6088788282052615,False
t05_09_b07_l50,50,50,5,9,0.7,1.0,1.0,32,32,32,0.4998951198630138,0.4200064212328767,0.4998951198630138,0.079888698630137,False,32,32,32,0.3197755009100583,0.2687566872019388,0.3197755009100583,0.0510188137081194,False,32,32,32,4.4754074323352295,8.084485453708446,4.4754074323352295,-3.609078021373216,False
t05_09_b07_l50,50,50,5,9,0.7,1.5,1.0,32,32,32,0.5998741438356163,0.4015239726027397,0.5998741438356163,0.1983501712328765,False,32,32,32,0.3837306010920698,0.2569296918098888,0.3837306010920698,0.126800909282181,False,32,32,32,4.4754074323352295,8.084606722031767,4.4754074323352295,-3.6091992896965377,False
t05_09_b07_l50,50,50,5,9,0.7,2.0,1.0,32,32,32,0.6665268264840182,0.3892023401826484,0.6665268264840182,0.2773244863013697,False,32,32,32,0.4263673345467443,0.2490450282151888,0.4263673345467443,0.1773223063315555,False,32,32,32,4.4754074323352295,8.084688298864211,4.4754074323352295,-3.609280866528982,False
t05_12_b03_l25,25,25,5,12,0.3,0.5,1.0,0,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.5072888127853881,0.5072888127853881,0.5071118721461187,-0.0001769406392693,False,2,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.6502424368487134,0.6498278228958532,0.6502424368487134,0.0004146139528602,False,32,32,32,0.0100505019649588,4.802675170521922,0.0100505019649588,-4.792624668556963,False
t05_12_b03_l25,25,25,5,12,0.3,1.0,1.0,2,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.4982063356164384,0.4980779109589041,0.4982063356164384,0.0001284246575343,False,10,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.6387316506823153,0.6374133829235932,0.6387316506823153,0.0013182677587221,False,32,32,32,0.0100505019649588,4.803146996082136,0.0100505019649588,-4.793096494117177,False
t05_12_b03_l25,25,25,5,12,0.3,1.5,1.0,24,24,24,0.5330719178082192,0.4925513698630136,0.5330719178082192,0.0405205479452055,False,24,24,24,0.6811616455237649,0.6299647189402373,0.6811616455237649,0.0511969265835275,False,32,32,32,0.0100505019649588,4.803429539286588,0.0100505019649588,-4.793379037321629,False
t05_12_b03_l25,25,25,5,12,0.3,2.0,1.0,24,24,24,0.5690268264840183,0.4888670091324201,0.5690268264840183,0.0801598173515981,False,24,24,24,0.7270867630147079,0.6249989429513334,0.7270867630147079,0.1020878200633744,False,32,32,32,0.0100505019649588,4.803617668058874,0.0100505019649588,-4.793567166093915,False
t05_12_b03_l50,50,50,5,12,0.3,0.5,1.0,0,"0,2,4,6,8","0-8 [0,2,4,6,8]",0.4278738584474886,0.4278738584474886,0.4275071347031963,-0.0003667237442923,False,0,"0,2,4,6","0-6 [0,2,4,6]",0.2745298312665005,0.2745298312665005,0.274074608967514,-0.0004552222989864,False,32,32,32,4.620508313477343,9.95096871115707,4.620508313477343,-5.330460397679728,False
t05_12_b03_l50,50,50,5,12,0.3,1.0,1.0,32,32,32,0.4999614726027397,0.4204987157534246,0.4999614726027397,0.0794627568493151,False,32,32,32,0.320012181879543,0.2698663417269702,0.320012181879543,0.0501458401525727,False,32,32,32,4.620508313477343,9.95071834771843,4.620508313477343,-5.330210034241087,False
