scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,post_threshold_balking_rate,w1,w2,objective_name,direction,near_tie_tolerance,fcfs_mean,exact_best_q_values,exact_best_value,near_tie_q_values,near_tie_q_ranges,best_strict_q_values,best_strict_near_tie_q_values,best_strict_q_ranges,best_strict_value,best_strict_delta_vs_fcfs,composition_effect_likely,class_1_service_rate_delta_min,class_1_service_rate_delta_max,class_2_service_rate_delta_min,class_2_service_rate_delta_max,class_1_no_offer_rate_delta_min,class_1_no_offer_rate_delta_max,class_2_no_offer_rate_delta_min,class_2_no_offer_rate_delta_max
t05_09_b05_l50,50,50,5,9,0.5,1.5,1.0,Obj_service_norm,maximize,0.01,0.2655193625312035,32,0.3832538824898556,32,32,32,32,32,0.3832538824898556,0.117734519958652,False,0.3869877191757713,0.3869877191757713,-0.2861452788670267,-0.2861452788670267,0.0,0.0,1.0,1.0
t05_09_b05_l50,50,50,5,9,0.5,1.5,1.0,T_wait_offered,minimize,0.01,8.803155820448257,32,4.533999150483735,32,32,32,32,32,4.533999150483735,-4.269156669964522,False,0.3869877191757713,0.3869877191757713,-0.2861452788670267,-0.2861452788670267,0.0,0.0,1.0,1.0
t05_09_b05_l50,50,50,5,9,0.5,2.0,1.0,Obj_util_norm,maximize,0.01,0.411673801369863,32,0.6667094748858449,32,32,32,32,32,0.6667094748858449,0.2550356735159818,False,0.3869877191757713,0.3869877191757713,-0.2861452788670267,-0.2861452788670267,0.0,0.0,1.0,1.0
t05_09_b05_l50,50,50,5,9,0.5,2.0,1.0,Obj_service_norm,maximize,0.01,0.2632275940494453,32,0.4258376472109507,32,32,32,32,32,0.4258376472109507,0.1626100531615054,False,0.3869877191757713,0.3869877191757713,-0.2861452788670267,-0.2861452788670267,0.0,0.0,1.0,1.0
t05_09_b05_l50,50,50,5,9,0.5,2.0,1.0,T_wait_offered,minimize,0.01,8.802880522180518,32,4.533999150483735,32,32,32,32,32,4.533999150483735,-4.268881371696782,False,0.3869877191757713,0.3869877191757713,-0.2861452788670267,-0.2861452788670267,0.0,0.0,1.0,1.0
t05_09_b07_l25,25,25,5,9,0.7,0.5,1.0,Obj_util_norm,maximize,0.01,0.5128224885844748,0,0.5128224885844748,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",2,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.512712614155251,-0.0001098744292237,False,0.0003061875411915,0.0101673736276677,-0.0138939983024057,-0.0004225559726496,0.0,0.0,0.0,0.0
t05_09_b07_l25,25,25,5,9,0.7,0.5,1.0,Obj_service_norm,maximize,0.01,0.6568050929951836,0,0.6568050929951836,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",2,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.6566636108453445,-0.0001414821498391,False,0.0003061875411915,0.0101673736276677,-0.0138939983024057,-0.0004225559726496,0.0,0.0,0.0,0.0
t05_09_b07_l25,25,25,5,9,0.7,0.5,1.0,T_wait_offered,minimize,0.01,4.596074632128544,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.586024130163585,False,0.4107153304284553,0.4107153304284553,-0.6905653047070033,-0.6905653047070033,0.0,0.0,1.0,1.0
t05_09_b07_l25,25,25,5,9,0.7,1.0,1.0,Obj_util_norm,maximize,0.01,0.4999828767123287,"0,2,4",0.4999828767123287,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]","2,4","2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.4999828767123287,0.0,False,0.0003061875411915,0.0101673736276677,-0.0138939983024057,-0.0004225559726496,0.0,0.0,0.0,0.0
t05_09_b07_l25,25,25,5,9,0.7,1.0,1.0,Obj_service_norm,maximize,0.01,0.6399249871392738,10,0.6402221027646448,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",10,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.6402221027646448,0.0002971156253709,False,0.0003061875411915,0.0101673736276677,-0.0138939983024057,-0.0004225559726496,0.0,0.0,0.0,0.0
t05_09_b07_l25,25,25,5,9,0.7,1.0,1.0,T_wait_offered,minimize,0.01,4.596317615619993,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.586267113655034,False,0.4107153304284553,0.4107153304284553,-0.6905653047070033,-0.6905653047070033,0.0,0.0,1.0,1.0
