background_id,variant,policy,comparison,average_optimal_horizon_days,average_optimal_Q,average_optimal_window,weighted_optimal_horizon_days,weighted_optimal_Q,weighted_optimal_window,same_horizon,same_Q,same_window,same_policy_cell,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_change_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_change_status,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,class_1_percent_serviced_change_status,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,class_2_percent_serviced_change_status,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,class_1_slot_utilization_change_status,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,class_2_slot_utilization_change_status,n_paired_seeds,capacity_tradeoff,priority_weighted_access_tradeoff,class_1_served_rate_direction,class_2_served_rate_direction,patient_group_tradeoff,patient_group_supported_tradeoff,design_note,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2
BG00443,release,baseline,weighted_optimal_minus_average_optimal,14,0,-1,14,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.6,0.7,50,56.0,24.000000000000004,0.2,0.2,9,0.2,0.3,9,0.05,0.3,7,0.05,0.1,7,0.3,0.4
BG00443,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,6,0,-1,False,True,True,False,-0.00010410958904122358,-0.002054794520548176,0.0020658904109589777,practical_tie,0.002234305460520647,-0.0011204102296710893,0.004937865399442339,practical_tie,0.0027585361485775173,-0.0002807822897549436,0.005893977375505498,practical_tie,0.0011858440844068508,-0.0031651620957567576,0.004880399367477562,practical_tie,0.0006082191780821811,-0.0018686301369862945,0.0028001369863013496,practical_tie,-0.0007780821917808157,-0.003047123287671214,0.0012494520547945284,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.6,0.7,50,56.0,24.000000000000004,0.2,0.2,9,0.2,0.3,9,0.05,0.3,7,0.05,0.1,7,0.3,0.4
BG00443,release,reservation_only,weighted_optimal_minus_average_optimal,14,50,13,14,49,7,True,False,False,False,-0.004663013698629958,-0.006893424657533872,-0.0023606849315067234,practical_tie,0.00020608171993926616,-0.003541427120354545,0.0038175898579980846,practical_tie,-0.013940128485321779,-0.01670657234599806,-0.01146969844928247,supported_decrease,0.028498502130461296,0.021282325469602053,0.03644029369673918,supported_increase,-0.018986301369863002,-0.022695890410958895,-0.015068356164383545,supported_decrease,0.014356164383561635,0.011123150684931509,0.017742465753424634,supported_increase,10,tie,tie,decrease,increase,priority_loses_general_gains,priority_loses_general_gains,sobol,14,1.6,0.7,50,56.0,24.000000000000004,0.2,0.2,9,0.2,0.3,9,0.05,0.3,7,0.05,0.1,7,0.3,0.4
BG00443,release,both_flexible,weighted_optimal_minus_average_optimal,22,50,21,10,49,7,False,False,False,False,-0.005890410958904291,-0.007715205479452682,-0.0042082191780822035,supported_decrease,0.0014286903739994306,-0.000854274576240494,0.003959901227108845,practical_tie,-0.013907344634872244,-0.01562761260376523,-0.012138199930749884,supported_decrease,0.03210076039174277,0.026265991570891257,0.038508258179746686,supported_increase,-0.020449315068493158,-0.02379191780821919,-0.01700808219178084,supported_decrease,0.014630136986301353,0.012284383561643802,0.017293424657534227,supported_increase,10,decrease,tie,decrease,increase,priority_loses_general_gains,priority_loses_general_gains,sobol,14,1.6,0.7,50,56.0,24.000000000000004,0.2,0.2,9,0.2,0.3,9,0.05,0.3,7,0.05,0.1,7,0.3,0.4
BG00444,release,baseline,weighted_optimal_minus_average_optimal,14,0,-1,14,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.0,0.5,50,25.0,25.0,0.1,0.2,24,0.05,0.2,24,0.05,0.3,7,0.1,0.4,4,0.05,0.3
BG00444,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.0,0.5,50,25.0,25.0,0.1,0.2,24,0.05,0.2,24,0.05,0.3,7,0.1,0.4,4,0.05,0.3
BG00444,release,reservation_only,weighted_optimal_minus_average_optimal,14,41,3,14,36,3,True,False,True,False,-0.0017150684931507621,-0.0042191780821920115,0.00043835616438354653,practical_tie,0.00045585080311116855,-6.276987913908432e-05,0.0010326651186724804,practical_tie,0.0009672474224359129,-0.00012661635771433308,0.0022416051667916185,practical_tie,-0.0005669424355383756,-0.0019237637675649211,0.0006848379631961736,practical_tie,0.0004657534246575057,-0.00039465753424659035,0.001408219178082154,practical_tie,-0.002054794520547948,-0.004883972602739728,0.0004275342465753506,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.0,0.5,50,25.0,25.0,0.1,0.2,24,0.05,0.2,24,0.05,0.3,7,0.1,0.4,4,0.05,0.3
BG00444,release,both_flexible,weighted_optimal_minus_average_optimal,6,41,3,2,39,2,False,False,False,False,-0.0022739726027396824,-0.005627397260273895,0.0013921917808221178,practical_tie,0.0005373554815689352,-0.0005189921526365823,0.0014605493521262314,practical_tie,-0.00015225069374178447,-0.0017669510309134496,0.001184880558768999,practical_tie,0.0019165678321902524,-0.0002837269981898607,0.004256440947427275,practical_tie,-0.0017205479452054972,-0.004054794520547966,0.0004547945205479026,practical_tie,-0.0005479452054794776,-0.003090821917808242,0.0018905479452054391,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,1.0,0.5,50,25.0,25.0,0.1,0.2,24,0.05,0.2,24,0.05,0.3,7,0.1,0.4,4,0.05,0.3
BG00445,release,baseline,weighted_optimal_minus_average_optimal,14,0,-1,14,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,sobol,14,2.0,0.1,40,8.0,72.0,0.3,0.3,22,0.1,0.3,24,0.05,0.4,20,0.05,0.2,20,0.1,0.3
BG00445,release,horizon_only,weighted_optimal_minus_average_optimal,6,0,-1,2,0,-1,False,True,True,False,-0.0009589041095888872,-0.0028287671232874933,0.0010068493150687029,practical_tie,0.00447618523485277,0.0014326311736979484,0.008353441714086092,practical_tie,0.0069854768664172565,0.0022514849375898267,0.012658593064355742,supported_increase,-0.0005423980282762087,-0.002484509655639308,0.0013601588610370455,practical_tie,-6.849315068492845e-05,-0.002157534246575337,0.0018087328767123385,practical_tie,-0.0009589041095890538,-0.004076712328767128,0.002479965753424641,practical_tie,10,tie,tie,increase,tie,priority_gains_general_tied,priority_gains_general_tied,sobol,14,2.0,0.1,40,8.0,72.0,0.3,0.3,22,0.1,0.3,24,0.05,0.4,20,0.05,0.2,20,0.1,0.3
BG00445,release,reservation_only,weighted_optimal_minus_average_optimal,14,36,13,14,40,13,True,False,True,False,-0.0005684931506849345,-0.0012672945205481226,0.0002397260273973359,practical_tie,0.006285673683701332,0.0016742054199165373,0.01146749867239621,supported_increase,0.010027003887788377,0.0026166967557447345,0.018148006944321397,supported_increase,-0.0011969867244726873,-0.0035592409741851544,0.0012567820706648133,practical_tie,0.0014452054794520525,-0.0007809931506849373,0.0036440068493150657,practical_tie,-0.0021986301369863125,-0.004904280821917818,0.000452054794520518,practical_tie,10,tie,increase,increase,tie,priority_gains_general_tied,priority_gains_general_tied,sobol,14,2.0,0.1,40,8.0,72.0,0.3,0.3,22,0.1,0.3,24,0.05,0.4,20,0.05,0.2,20,0.1,0.3
