analysis_family,scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,balk_high_class_1,balk_high_class_2,cancel_prob_class_1,cancel_prob_class_2,no_show_threshold_1,no_show_threshold_2,no_show_high_class_1,no_show_high_class_2,w1,w2,Q,Obj_util_norm_mean,Obj_util_norm_ci95_low,Obj_util_norm_ci95_high,Obj_util_norm_n,delta_Obj_util_norm_mean,delta_Obj_util_norm_ci95_low,delta_Obj_util_norm_ci95_high,delta_Obj_util_norm_n,Obj_service_norm_mean,Obj_service_norm_ci95_low,Obj_service_norm_ci95_high,Obj_service_norm_n,delta_Obj_service_norm_mean,delta_Obj_service_norm_ci95_low,delta_Obj_service_norm_ci95_high,delta_Obj_service_norm_n,T_wait_offered_mean,T_wait_offered_ci95_low,T_wait_offered_ci95_high,T_wait_offered_n,delta_T_wait_offered_mean,delta_T_wait_offered_ci95_low,delta_T_wait_offered_ci95_high,delta_T_wait_offered_n,class_1_service_rate_mean,class_1_service_rate_ci95_low,class_1_service_rate_ci95_high,class_1_service_rate_n,delta_class_1_service_rate_mean,delta_class_1_service_rate_ci95_low,delta_class_1_service_rate_ci95_high,delta_class_1_service_rate_n,class_2_service_rate_mean,class_2_service_rate_ci95_low,class_2_service_rate_ci95_high,class_2_service_rate_n,delta_class_2_service_rate_mean,delta_class_2_service_rate_ci95_low,delta_class_2_service_rate_ci95_high,delta_class_2_service_rate_n,class_1_no_offer_rate_mean,class_1_no_offer_rate_ci95_low,class_1_no_offer_rate_ci95_high,class_1_no_offer_rate_n,delta_class_1_no_offer_rate_mean,delta_class_1_no_offer_rate_ci95_low,delta_class_1_no_offer_rate_ci95_high,delta_class_1_no_offer_rate_n,class_2_no_offer_rate_mean,class_2_no_offer_rate_ci95_low,class_2_no_offer_rate_ci95_high,class_2_no_offer_rate_n,delta_class_2_no_offer_rate_mean,delta_class_2_no_offer_rate_ci95_low,delta_class_2_no_offer_rate_ci95_high,delta_class_2_no_offer_rate_n
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,18,0.4671040239726027,0.4663654751712329,0.46787687285958907,20,0.008613013698630132,0.006100171232876708,0.011185787671232855,20,0.5964347931627152,0.5943478994055944,0.5984967589502491,20,0.00936263445229123,0.003691952462583285,0.01465614723301884,20,5.032904263510121,5.007144834452221,5.058292827041132,20,-0.3495093494248345,-0.38961257942143884,-0.30649655780650337,20,0.7470282973797041,0.743298516288231,0.750670506486758,20,0.15738257170632564,0.15066899168477663,0.16334911140381891,20,0.44584128894572617,0.44379742298781905,0.4479666671170875,20,-0.13865730280174313,-0.14391841041018155,-0.133115742389155,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,19,0.46813784246575346,0.4675384738869863,0.4686858411815069,20,0.009646832191780816,0.007054473458904095,0.01214271190068494,20,0.5986875479530613,0.596124008261856,0.6013311804545975,20,0.01161538924263747,0.005891926128434836,0.017565558961997872,20,4.902876523812236,4.87256487413025,4.929709399413299,20,-0.4795370891227191,-0.5262302482205384,-0.43419479041353753,20,0.7817150259677275,0.7773657685134748,0.7862071561463069,20,0.1920693002943492,0.18554402583155796,0.1987809685587831,20,0.4156600699383951,0.41329478125571156,0.4181337034230179,20,-0.16883852180907427,-0.1745835019514665,-0.16279464917273223,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,20,0.47065496575342464,0.4701262842465754,0.4711900684931506,20,0.012163955479452043,0.00968733946917808,0.014623501712328759,20,0.6029850909803216,0.6010477888861336,0.6049657012712345,20,0.015912932269897817,0.010567926921849843,0.021212812395048675,20,4.751378894436746,4.730003183073204,4.770991015407574,20,-0.6310347184982097,-0.6721241375028731,-0.5901832930090567,20,0.8178826001524371,0.8148214520017564,0.8210148764426928,20,0.22823687447905874,0.22136668147506208,0.23505352910497002,20,0.38808758180820624,0.3860893347157723,0.3901689106196859,20,-0.19641100993926308,-0.20102578104578753,-0.1919035772623087,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,21,0.4725941780821918,0.47217679794520545,0.4730158390410958,20,0.014103167808219167,0.011639340753424649,0.01653900898972601,20,0.6051981182100664,0.6030373495485088,0.6074871544766829,20,0.018125959499642564,0.012671346415164554,0.023803360925958143,20,4.648569821085753,4.618911880410197,4.67496320013613,20,-0.7338437918492013,-0.7780889868821643,-0.693758512628939,20,0.8509202879599282,0.8477944127280276,0.8542892588044346,20,0.26127456228654994,0.255136804163686,0.2675850006926559,20,0.35947594846020453,0.3571146109036967,0.3619228677169342,20,-0.22502264328726476,-0.2305260940184355,-0.2193819610371918,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,22,0.4752504280821917,0.47475593964041096,0.47577060145547956,20,0.016759417808219174,0.014299925085616439,0.019232609160958904,20,0.6113954733427666,0.6096261745236022,0.613320221724682,20,0.02432331463234281,0.01943756793057409,0.029495495228844978,20,4.557188232502088,4.538535253467828,4.575631203783601,20,-0.8252253804328668,-0.8608997047371284,-0.7905135230103735,20,0.8925860237505475,0.8891535085000273,0.89609047043913,20,0.3029402980771691,0.2974504008972959,0.3087200848561622,20,0.3302049229349859,0.32894195137069515,0.33146159756506516,20,-0.25429366881248344,-0.2595498888287798,-0.24881904747943473,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,23,0.4782748287671234,0.47783604452054806,0.47873929794520553,20,0.01978381849315067,0.017243097174657517,0.02228601241438355,20,0.6115228668413508,0.6097603424895877,0.6132607638501264,20,0.02445070813092696,0.018587901723842316,0.030110159789665972,20,4.648023505912236,4.615033332049388,4.6805725431706815,20,-0.734390107022719,-0.7844478180856208,-0.6831451898176989,20,0.9231280185330899,0.919871024518385,0.9265640971629308,20,0.33348229285971137,0.3263360442341805,0.3400292098241755,20,0.29991771514961185,0.297963601840964,0.3019140346162377,20,-0.28458087659785747,-0.2903088352312853,-0.2788368307683038,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,24,0.4798180650684932,0.4792594178082192,0.48035536172945215,20,0.021327054794520548,0.0187027504280822,0.0238571810787671,20,0.6140882527604477,0.6118653212929244,0.616253987335146,20,0.027016094050023687,0.021345288183220974,0.032723666527421355,20,4.946884454208793,4.90584530179638,4.984737506445823,20,-0.43552915872616305,-0.4818729233060322,-0.3912734735578773,20,0.9596224730738092,0.9546269650674643,0.9644351073622065,20,0.3699767474004308,0.3618996177433176,0.37777441143448537,20,0.268554032447086,0.2672393795558799,0.26995043821790626,20,-0.3159445593003834,-0.3211591261923619,-0.31075776945032907,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.0005794047431826044,0.0002520436180506433,0.0009176297503131968,20,0.0005794047431826044,0.0002520436180506433,0.0009176297503131968,20
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,25,0.47915881849315073,0.4782191780821917,0.4800171232876712,20,0.020667808219178085,0.017713666523972604,0.023424818065068496,20,0.6120904605206783,0.6108649981849736,0.6133675134765106,20,0.025018301810254405,0.02007911692244323,0.029950365097496115,20,5.206826694477961,5.179348073921305,5.233283278982011,20,-0.1755869184569939,-0.2072786411045859,-0.14168714476370414,20,0.9864975537793917,0.9842279951753233,0.9886268560295626,20,0.3968518281060134,0.3912539950079551,0.4022254983836465,20,0.23768336726196476,0.2362493884367074,0.23911534205818272,20,-0.3468152244855046,-0.3518678395505536,-0.3418582981186874,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.026204085632513384,0.02360757245017965,0.029009406066420343,20,0.026204085632513384,0.02360757245017965,0.029009406066420343,20
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,26,0.4689490582191781,0.4674978595890411,0.4703618364726026,20,0.010458047945205478,0.007461472602739739,0.013435466609589034,20,0.6002946135817899,0.5997192038308755,0.6009126668468865,20,0.013222454871366002,0.007856153028853665,0.018390719739147562,20,4.959511441792553,4.9408261049237305,4.977422638731709,20,-0.4229021711424027,-0.46670901555577343,-0.3775261944064334,20,0.998727359749315,0.9983621720406792,0.9990991938134887,20,0.4090816340759368,0.4037004946257099,0.4142070121195503,20,0.20186186741426454,0.20069104393875456,0.2030930109224746,20,-0.38263672433320484,-0.388178558203971,-0.3770438571315269,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.12750216354457536,0.12261102471015205,0.1321132517003176,20,0.12750216354457536,0.12261102471015205,0.1321132517003176,20
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,27,0.4573437499999999,0.45556934931506854,0.4591289597602739,20,-0.0011472602739726028,-0.004047517123287658,0.0019373929794520477,20,0.5846874780059886,0.5842043753060145,0.5851662120662964,20,-0.002384680704435199,-0.007382586724097495,0.002557621306401474,20,4.499512496874784,4.482432750947647,4.515567057869445,20,-0.882901116060171,-0.9228637116264382,-0.8411849708496614,20,0.999891012474856,0.9997938281773768,0.9999676724137931,20,0.4102452868014776,0.40493726212148556,0.41531926432684296,20,0.16948394353712132,0.16850504325486157,0.17044365634692943,20,-0.415014648210348,-0.41997512071517995,-0.40980112123916823,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.2622196942789637,0.25656480927014536,0.2675214345162559,20,0.2622196942789637,0.25656480927014536,0.2675214345162559,20
balk_threshold_grid,balk_threshold_grid__bt12_07__bh50_50__c10_10__nt06_06__nh30_30,25,25,12,7,0.5,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,28,0.4444841609589042,0.44266470462328766,0.44627151113013697,20,-0.01400684931506851,-0.017174711044520563,-0.010946061643835634,20,0.5674701583848141,0.5670166275188719,0.5679890767032522,20,-0.019602000325609818,-0.024799523506286267,-0.014607750303874874,20,3.9225509239253973,3.9032726552844563,3.942777570279833,20,-1.4598626890095585,-1.4974491200166824,-1.41873209509971,20,0.9999945396964071,0.9999836190892213,1.0,20,0.41034881402302875,0.4050367161562003,0.41544074858264873,20,0.134945777073221,0.13403487984416135,0.1359888766113545,20,-0.44955281467424835,-0.4548823510217195,-0.44433385687448324,20,0.0,0.0,0.0,20,0.0,0.0,0.0,20,0.40891480574584244,0.4036740953381126,0.41435834782764025,20,0.40891480574584244,0.4036740953381126,0.41435834782764025,20
