config,label,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
+cancel,+Cancellation gap,6,0.91808219178082,0.7632676056338028,6774,8349.0,11.700221110205982,11.699380281690141,0.03177464788732395,8875,8593,8875,282,0,1210,609,0,0.8043864848844102,0.7087047718930257,0.0956817129913845
+cancel,+Cancellation gap,7,0.9184931506849298,0.7730012509951097,6797,8372.0,11.453470677747864,11.457864210167179,0.028431707039690664,8793,8543,8793,250,0,1144,602,0,0.7916015625,0.7470732371358563,0.04452832536414375
+cancel,+Cancellation gap,8,0.9193150684931476,0.7828657546951078,6753,8360.0,10.462567164179104,10.467192209598887,0.029098075585439368,8626,8375,8626,251,0,1026,596,0,0.8105646630236795,0.7457259158751696,0.0648387471485099
+cancel,+Cancellation gap,9,0.9199999999999978,0.7828294484191092,6784,8368.0,10.545692216280452,10.545465035771983,0.028963766443572583,8666,8415,8666,251,0,1037,594,0,0.8071065989847716,0.7477426636568849,0.05936393532788664
+cancel,+Cancellation gap,10,0.9223287671232854,0.7847970648933731,6845,8404.0,10.748968282042211,10.747649621646412,0.02763127722999312,8722,8481,8722,241,0,1064,572,0,0.8199173391064751,0.7357868717385334,0.08413046736794172
+cancel,+Cancellation gap,11,0.9201369863013681,0.7844946931241348,6800,8368.0,10.06096397041279,10.067143516382096,0.03299492385786802,8668,8382,8668,286,0,986,596,0,0.8145590846320774,0.7421505973881634,0.07240848724391402
+cancel,+Cancellation gap,12,0.9168493150684909,0.7713536321131258,6764,8342.0,11.131343984962406,11.133994754247919,0.029307788801459688,8769,8512,8769,257,0,1134,614,0,0.8038221528861155,0.7256248283438615,0.07819732454225392
+cancel,+Cancellation gap,13,0.9210958904109577,0.7887225081890501,6742,8377.0,9.648201786145306,9.647168928404305,0.030650444548432382,8548,8286,8548,262,0,964,580,0,0.816798418972332,0.747993119266055,0.06880529970627691
+cancel,+Cancellation gap,14,0.9190410958904092,0.7793663502230356,6814,8344.0,10.663560221776573,10.66693354683747,0.03042433947157726,8743,8477,8743,266,0,1067,596,0,0.810245166434124,0.7377885131508319,0.0724566532832921
+cancel,+Cancellation gap,15,0.9267123287671203,0.7806907557278012,6849,8425.0,11.219988242210464,11.217371480679358,0.030548273110680497,8773,8505,8773,268,0,1112,544,0,0.8141075604053001,0.7335896731667124,0.08051788723858766
