policy,seed,Q,rho_1,rho_2,tau_1,tau_2,offered_1,offered_2,total_offered_delay_1,total_offered_delay_2,served_rate_1,served_rate_2,arrivals_1,arrivals_2,served_1,served_2,overall_served_rate,min_served_rate,served_rate_flag,w1,w2,weight_set,weighted_utilization,weighted_offered_wait,fcfs_weighted_utilization,fcfs_weighted_offered_wait,fcfs_served_rate_1,fcfs_served_rate_2,fcfs_overall_served_rate,delta_weighted_utilization,delta_weighted_offered_wait
Strict C1 reservation,5103,4,0.50625,0.4956335616438356,5.467283684890228,5.517683465959328,9292.0,9048.0,50802.0,49924.0,0.568123116659492,0.5700707338638373,9292.0,9048.0,5279.0,5158.0,0.5690839694656489,0.568123116659492,False,1.5,1.0,"w1=1.5, w2=1",1.2550085616438356,5.487122596363004,1.2545804794520548,5.4900374140781345,0.5668316831683168,0.5713969938107869,0.5690839694656489,0.00042808219178080975,-0.002914817715130802
Strict C1 reservation,5103,8,0.5080479452054795,0.49383561643835616,5.435320705983642,5.550508399646331,9292.0,9048.0,50505.0,50221.0,0.5707059836418424,0.5674182139699381,9292.0,9048.0,5303.0,5134.0,0.5690839694656489,0.5674182139699381,False,1.5,1.0,"w1=1.5, w2=1",1.2559075342465753,5.480662142173497,1.2545804794520548,5.4900374140781345,0.5668316831683168,0.5713969938107869,0.5690839694656489,0.0013270547945205546,-0.009375271904637827
Strict C1 reservation,5103,12,0.5130993150684932,0.4886986301369863,5.362247094274645,5.626105216622458,9292.0,9048.0,49826.0,50905.0,0.5786698235040896,0.5591290893015031,9292.0,9048.0,5377.0,5059.0,0.5690294438386041,0.5591290893015031,False,1.5,1.0,"w1=1.5, w2=1",1.258347602739726,5.46610980596885,1.2545804794520548,5.4900374140781345,0.5668316831683168,0.5713969938107869,0.5690839694656489,0.003767123287671259,-0.023927608109284293
Strict C1 reservation,5103,16,0.5412671232876712,0.4601027397260274,4.730299061340319,6.318520140105079,9162.0,9136.0,43339.0,57726.0,0.6737611875136433,0.4938704028021016,9162.0,9136.0,6173.0,4512.0,0.5839436003934856,0.4938704028021016,True,1.5,1.0,"w1=1.5, w2=1",1.2720034246575342,5.364504567507321,1.2545804794520548,5.4900374140781345,0.5668316831683168,0.5713969938107869,0.5690839694656489,0.01742294520547949,-0.1255328465708132
Strict C1 reservation,5103,20,0.6386986301369864,0.36061643835616436,3.0306741816605247,7.6470783165801395,9226.0,9053.0,27961.0,69229.0,0.8085844352915673,0.392245664420634,9226.0,9053.0,7460.0,3551.0,0.6023852508342907,0.392245664420634,True,1.5,1.0,"w1=1.5, w2=1",1.3186643835616438,4.85630351214398,1.2545804794520548,5.4900374140781345,0.5668316831683168,0.5713969938107869,0.5690839694656489,0.06408390410958908,-0.6337339019341544
Strict C1 reservation,5103,24,0.7536815068493151,0.24837328767123287,1.4459911513974317,9.291915836101882,9267.0,9030.0,13400.0,83906.0,0.9499298586381785,0.2703238598810311,9267.0,9078.0,8803.0,2454.0,0.6136276914690652,0.2703238598810311,True,1.5,1.0,"w1=1.5, w2=1",1.3788955479452054,4.535705719456619,1.2545804794520548,5.4900374140781345,0.5668316831683168,0.5713969938107869,0.5690839694656489,0.12431506849315066,-0.9543316946215157
Strict C1 reservation,5103,28,0.7753424657534247,0.12517123287671234,0.05167844522968198,10.573364761343548,9056.0,5091.0,468.0,53829.0,1.0,0.13661987399137837,9056.0,9047.0,9056.0,1236.0,0.5685245539413357,0.13661987399137837,True,1.5,1.0,"w1=1.5, w2=1",1.2881849315068494,2.92,1.2545804794520548,5.4900374140781345,0.5668316831683168,0.5713969938107869,0.5690839694656489,0.033604452054794676,-2.5700374140781346
Strict C1 reservation,5103,32,0.7919520547945206,0.0,0.014702702702702703,,9250.0,0.0,136.0,0.0,1.0,0.0,9250.0,9092.0,9250.0,0.0,0.5043070548467997,0.0,True,1.5,1.0,"w1=1.5, w2=1",1.1879280821917808,0.014702702702702703,1.2545804794520548,5.4900374140781345,0.5668316831683168,0.5713969938107869,0.5690839694656489,-0.06665239726027394,-5.475334711375432
Strict C1 reservation,5104,0,0.4995719178082192,0.5020547945205479,5.372167925366504,5.372838695557014,9004.0,9138.0,48371.0,49097.0,0.5966237227898712,0.5886408404464872,9004.0,9138.0,5372.0,5379.0,0.5926028001322897,0.5886408404464872,False,1.5,1.0,"w1=1.5, w2=1",1.2514126712328766,5.372438615085674,1.2514126712328766,5.372438615085674,0.5966237227898712,0.5886408404464872,0.5926028001322897,0.0,0.0
Strict C1 reservation,5104,4,0.49965753424657533,0.5019691780821918,5.352954242558862,5.391770628146203,9004.0,9138.0,48198.0,49270.0,0.5967347845402043,0.5885314073101335,9004.0,9138.0,5373.0,5378.0,0.5926028001322897,0.5885314073101335,False,1.5,1.0,"w1=1.5, w2=1",1.2514554794520547,5.368618618618618,1.2514126712328766,5.372438615085674,0.5966237227898712,0.5886408404464872,0.5926028001322897,4.2808219178125384e-05,-0.003819996467055553
Strict C1 reservation,5104,8,0.5026541095890411,0.49897260273972605,5.317858729453576,5.426460932370322,9004.0,9138.0,47882.0,49587.0,0.6013993780541982,0.5839352155832787,9004.0,9138.0,5415.0,5336.0,0.5926028001322897,0.5839352155832787,False,1.5,1.0,"w1=1.5, w2=1",1.2529537671232878,5.361685214626391,1.2514126712328766,5.372438615085674,0.5966237227898712,0.5886408404464872,0.5926028001322897,0.0015410958904111816,-0.010753400459282858
Strict C1 reservation,5104,12,0.505736301369863,0.4958904109589041,5.239782318969347,5.503611293499672,9004.0,9138.0,47179.0,50292.0,0.6075077743225233,0.5773692274020573,9004.0,9138.0,5470.0,5276.0,0.5923271965604674,0.5773692274020573,False,1.5,1.0,"w1=1.5, w2=1",1.2544948630136987,5.346250662427133,1.2514126712328766,5.372438615085674,0.5966237227898712,0.5886408404464872,0.5926028001322897,0.003082191780822141,-0.02618795265854068
Strict C1 reservation,5104,16,0.5402397260273972,0.46087328767123287,4.676598995852434,6.180881385661039,9162.0,9122.0,42847.0,56382.0,0.6684130102597686,0.50460425345319,9162.0,9122.0,6124.0,4603.0,0.5866878144826078,0.50460425345319,False,1.5,1.0,"w1=1.5, w2=1",1.2712328767123287,5.276732998031926,1.2514126712328766,5.372438615085674,0.5966237227898712,0.5886408404464872,0.5926028001322897,0.01982020547945207,-0.09570561705374736
Strict C1 reservation,5104,20,0.6369006849315069,0.36481164383561643,2.933473544387868,7.600801646625501,9034.0,9231.0,26501.0,70163.0,0.8234447642240426,0.3865236702415773,9034.0,9231.0,7439.0,3568.0,0.6026279770052012,0.3865236702415773,True,1.5,1.0,"w1=1.5, w2=1",1.3201626712328767,4.824620314283206,1.2514126712328766,5.372438615085674,0.5966237227898712,0.5886408404464872,0.5926028001322897,0.06875000000000009,-0.5478183008024677
Strict C1 reservation,5104,24,0.7487157534246576,0.25017123287671234,1.2554150632215504,9.139272970561999,9095.0,8968.0,11418.0,81961.0,0.9615173172072567,0.2729603209986625,9095.0,8972.0,8745.0,2449.0,0.6195826645264848,0.2729603209986625,True,1.5,1.0,"w1=1.5, w2=1",1.3732448630136986,4.382388713208465,1.2514126712328766,5.372438615085674,0.5966237227898712,0.5886408404464872,0.5926028001322897,0.12183219178082205,-0.9900499018772084
