comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_baseline,10,-0.0012694063926939835,-0.0026392694063926093,0.0002831050228311105,inconclusive,0.006692253429367345,0.0014436136877239729,0.011992386294608401,supported,BG00034,release
both_flexible_vs_reservation_only,10,-0.0012694063926939835,-0.0026394977168950006,0.0003107305936075999,inconclusive,0.006692253429367345,0.0014738227084680952,0.011814774048160556,supported,BG00034,release
both_flexible_vs_horizon_only,10,0.00033789954337904994,-0.00046575342465755593,0.0012146118721461444,inconclusive,0.0005419933203527627,-0.003742380603117406,0.0047370968547317035,inconclusive,BG00034,release
both_flexible_vs_baseline,10,-0.00012785388127860563,-0.004420091324201003,0.004648401826483883,inconclusive,0.0012395065571660258,-0.00015014538568695128,0.0029038968685458455,inconclusive,BG00035,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00035,release
both_flexible_vs_horizon_only,10,-0.00012785388127860563,-0.004640410958904168,0.004657762557077507,inconclusive,0.0012395065571660258,-0.00016594710773445165,0.0028511315843176566,inconclusive,BG00035,release
both_flexible_vs_baseline,10,0.0074520547945208125,0.0055614726027399825,0.009095890410958981,supported,0.3036984958993925,0.30191614859694765,0.3056249310301801,supported,BG00036,release
both_flexible_vs_reservation_only,10,-0.0019520547945202416,-0.0033768835616435873,-0.0004041095890409979,inconclusive,0.0010009783281577644,-0.000908123937100552,0.0027549062832930753,inconclusive,BG00036,release
both_flexible_vs_horizon_only,10,0.0074520547945208125,0.005650684931507392,0.009054794520548061,supported,0.3036984958993925,0.30186763920617904,0.305598550710267,supported,BG00036,release
both_flexible_vs_baseline,10,0.0002465753424658379,-0.003986986301369947,0.004767123287671449,inconclusive,0.0012381549823161197,-0.0017154477314076711,0.0049480199267262995,inconclusive,BG00037,release
both_flexible_vs_reservation_only,10,0.0002465753424658379,-0.003904794520548054,0.005000342465753795,inconclusive,0.0012381549823161197,-0.001804462907992889,0.004973909267536655,inconclusive,BG00037,release
both_flexible_vs_horizon_only,10,0.0002465753424658379,-0.004082191780821964,0.005068493150685282,inconclusive,0.0012381549823161197,-0.0018515191212212405,0.004896936965221164,inconclusive,BG00037,release
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00038,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00038,release
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00038,release
both_flexible_vs_baseline,10,0.04472602739725924,0.04256164383561519,0.04664383561643744,supported,0.012741468080964491,0.010403701677343941,0.014738774336636767,supported,BG00039,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00039,release
both_flexible_vs_horizon_only,10,0.04472602739725924,0.04263013698630021,0.04665753424657429,supported,0.012741468080964491,0.010468844557062883,0.014702155732381575,supported,BG00039,release
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00040,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00040,release
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00040,release
both_flexible_vs_baseline,10,8.219178082177203e-05,-0.002942465753424872,0.0028769863013697527,inconclusive,0.00934613230760425,0.006849915986536196,0.012157179983952665,supported,BG00041,release
both_flexible_vs_reservation_only,10,0.005468493150684872,0.0028164383561643507,0.00807123287671218,supported,0.0007370999802476796,-0.0010936385761020596,0.0025733345637037543,inconclusive,BG00041,release
both_flexible_vs_horizon_only,10,8.219178082177203e-05,-0.003041506849315239,0.002915205479451897,inconclusive,0.00934613230760425,0.006776613147657591,0.01212641183094097,supported,BG00041,release
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00042,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00042,release
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00042,release
both_flexible_vs_baseline,10,-0.0031780821917805403,-0.005388356164383563,-0.0011963470319632358,inconclusive,0.03453302703532753,0.028779919485765835,0.04044841670488681,supported,BG00043,release
both_flexible_vs_reservation_only,10,0.0004931506849313539,-0.001251141552511538,0.0022011415525113117,inconclusive,0.0009227986805528388,-0.002473571865841395,0.004384525539109479,inconclusive,BG00043,release
both_flexible_vs_horizon_only,10,-0.0035616438356162903,-0.005187214611871896,-0.0017442922374428427,inconclusive,0.028925240707360012,0.024358615880688248,0.0334576350691464,supported,BG00043,release
both_flexible_vs_baseline,10,0.0006643835616436777,-0.0010207191780822707,0.0025823630136987703,inconclusive,0.0031597074724386666,-0.0010564654420256408,0.006965050551294692,inconclusive,BG00044,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00044,release
