background_id,variant,baseline_horizon_days,baseline_Q,baseline_window,baseline_average_utilization,baseline_weighted_utilization,baseline_n_seeds,horizon_only_horizon_days,horizon_only_Q,horizon_only_window,horizon_only_average_utilization,horizon_only_weighted_utilization,horizon_only_n_seeds,reservation_only_horizon_days,reservation_only_Q,reservation_only_window,reservation_only_average_utilization,reservation_only_weighted_utilization,reservation_only_n_seeds,both_flexible_horizon_days,both_flexible_Q,both_flexible_window,both_flexible_average_utilization,both_flexible_weighted_utilization,both_flexible_n_seeds,horizon_days,rho,class1_share,slots_per_day,noshow_threshold_1,noshow_threshold_2
BG00018,release,2,0,-1,0.7619178082191786,0.7161574428350594,10,2,0,-1,0.7619178082191786,0.7161574428350594,10,2,26,2,0.7618082191780827,0.7192434294738468,10,2,26,2,0.7618082191780827,0.7192434294738468,10,2,1.0,0.5,30,7,20
BG00019,release,2,0,-1,0.9094630136986289,0.7486806612117148,10,6,0,-1,0.9092109589041086,0.7489922758576861,10,2,41,2,0.9123342465753413,0.7524903487207487,10,2,41,2,0.9123342465753413,0.7524903487207487,10,2,1.2,0.7,50,4,7
BG00020,release,2,0,-1,0.5442739726027395,0.7127056784947505,10,2,0,-1,0.5442739726027395,0.7127056784947505,10,2,40,2,0.5441506849315066,0.7129874810754893,10,6,40,2,0.5442123287671231,0.7130806041083682,10,2,0.8,0.9,40,20,20
BG00021,release,2,0,-1,0.9265662100456616,0.5927541769818494,10,6,0,-1,0.9274885844748851,0.5977649700528967,10,2,24,2,0.926922374429223,0.597522671594442,10,6,0,-1,0.9274885844748851,0.5977649700528967,10,2,1.6,0.9,30,7,4
BG00022,release,2,0,-1,0.5655159817351592,0.6126782547964154,10,2,0,-1,0.5655159817351592,0.6126782547964154,10,2,27,2,0.5650684931506843,0.6145426018470919,10,18,30,17,0.5676347031963465,0.6184110090188639,10,2,0.8,0.1,30,4,7
BG00023,release,2,0,-1,0.8190410958904112,0.6087433399001473,10,2,0,-1,0.8190410958904112,0.6087433399001473,10,2,0,-1,0.8190410958904112,0.6087433399001473,10,2,0,-1,0.8190410958904112,0.6087433399001473,10,2,1.4,0.9,20,22,7
BG00024,release,2,0,-1,0.765253424657534,0.6646356929707575,10,2,0,-1,0.765253424657534,0.6646356929707575,10,2,39,2,0.7680205479452054,0.7309311026135691,10,26,40,25,0.7651643835616438,0.7314689781850227,10,2,1.2,0.3,40,4,7
BG00025,release,2,0,-1,0.6346849315068491,0.8081996932819646,10,2,0,-1,0.6346849315068491,0.8081996932819646,10,2,16,2,0.6345616438356162,0.8089112000225903,10,10,20,9,0.6323424657534245,0.8106177080523282,10,2,0.8,0.5,20,14,7
BG00026,release,2,0,-1,0.7321826484018261,0.2684136606068596,10,2,0,-1,0.7321826484018261,0.2684136606068596,10,2,30,2,0.7685114155251149,0.436858562752675,10,26,30,24,0.7695433789954346,0.43903217878652223,10,2,3.0,0.3,30,7,22
BG00027,release,2,0,-1,0.8993356164383564,0.2998428409187751,10,2,0,-1,0.8993356164383564,0.2998428409187751,10,2,40,2,0.9005342465753425,0.39010909807466054,10,2,40,2,0.9005342465753425,0.39010909807466054,10,2,3.0,0.5,40,4,14
BG00028,release,2,0,-1,0.5863767123287669,0.6725396597660568,10,2,0,-1,0.5863767123287669,0.6725396597660568,10,2,0,-1,0.5863767123287669,0.6725396597660568,10,6,37,3,0.5866643835616436,0.6728123141187494,10,2,0.8,0.5,40,14,20
BG00029,release,2,0,-1,0.6769132420091319,0.7821159599549266,10,2,0,-1,0.6769132420091319,0.7821159599549266,10,2,28,2,0.6763287671232872,0.7824948649045302,10,10,29,7,0.6773881278538809,0.7832564748738071,10,2,0.8,0.3,30,14,4
BG00030,release,2,0,-1,0.8392328767123294,0.8521230201714151,10,2,0,-1,0.8392328767123294,0.8521230201714151,10,2,0,-1,0.8392328767123294,0.8521230201714151,10,6,27,3,0.8384292237442927,0.8524361043725349,10,2,1.0,0.9,30,4,20
BG00031,release,2,0,-1,0.9162602739726008,0.5913397451287212,10,6,0,-1,0.915999999999998,0.6251036954612446,10,2,20,2,0.9206027397260252,0.7018332081186736,10,26,20,21,0.9188356164383542,0.7025942849879889,10,2,1.6,0.3,20,20,4
BG00032,release,2,0,-1,0.9048383561643822,0.4475165340526727,10,2,0,-1,0.9048383561643822,0.4475165340526727,10,2,41,2,0.9046465753424646,0.447967642951921,10,2,41,2,0.9046465753424646,0.447967642951921,10,2,2.0,0.9,50,7,4
BG00033,release,2,0,-1,0.9441027397260273,0.6983979613763763,10,2,0,-1,0.9441027397260273,0.6983979613763763,10,2,0,-1,0.9441027397260273,0.6983979613763763,10,2,0,-1,0.9441027397260273,0.6983979613763763,10,2,1.4,0.9,40,22,4
BG00034,release,2,0,-1,0.9509041095890396,0.5856879624872771,10,6,0,-1,0.9492968036529665,0.5918382225962916,10,2,0,-1,0.9509041095890396,0.5856879624872771,10,6,25,5,0.9496347031963458,0.5923802159166444,10,2,1.6,0.9,30,20,4
BG00035,release,2,0,-1,0.7457716894977169,0.6970841148819289,10,2,0,-1,0.7457716894977169,0.6970841148819289,10,2,22,2,0.7456438356164383,0.6983236214390949,10,2,22,2,0.7456438356164383,0.6983236214390949,10,2,1.0,0.1,30,4,4
BG00036,release,2,0,-1,0.9038150684931507,0.3111459329948604,10,2,0,-1,0.9038150684931507,0.3111459329948604,10,2,37,2,0.9132191780821918,0.6138434505660951,10,14,39,14,0.9112671232876715,0.614844428894253,10,2,3.0,0.1,40,4,4
BG00037,release,2,0,-1,0.7133287671232877,0.7245839444578465,10,2,0,-1,0.7133287671232877,0.7245839444578465,10,2,0,-1,0.7133287671232877,0.7245839444578465,10,6,18,3,0.7135753424657535,0.7258220994401625,10,2,1.0,0.9,20,22,7
BG00038,release,2,0,-1,0.9455068493150687,0.30385487121222104,10,2,0,-1,0.9455068493150687,0.30385487121222104,10,2,0,-1,0.9455068493150687,0.30385487121222104,10,2,0,-1,0.9455068493150687,0.30385487121222104,10,2,3.0,0.9,40,7,7
BG00039,release,2,0,-1,0.8411506849315071,0.5218374256298467,10,2,0,-1,0.8411506849315071,0.5218374256298467,10,2,20,2,0.8858767123287665,0.5345788937108111,10,2,20,2,0.8858767123287665,0.5345788937108111,10,2,1.6,0.7,20,4,4
BG00040,release,2,0,-1,0.6502876712328766,0.7894489837876276,10,2,0,-1,0.6502876712328766,0.7894489837876276,10,2,0,-1,0.6502876712328766,0.7894489837876276,10,2,0,-1,0.6502876712328766,0.7894489837876276,10,2,0.8,0.5,20,4,4
BG00041,release,2,0,-1,0.6945972602739723,0.5879314668235278,10,2,0,-1,0.6945972602739723,0.5879314668235278,10,2,49,2,0.6892109589041092,0.5965404991508845,10,6,45,6,0.6946794520547941,0.5972775991311321,10,2,1.2,0.3,50,14,14
BG00042,release,2,0,-1,0.7477808219178086,0.7716071043409833,10,2,0,-1,0.7477808219178086,0.7716071043409833,10,2,0,-1,0.7477808219178086,0.7716071043409833,10,2,0,-1,0.7477808219178086,0.7716071043409833,10,2,1.0,0.9,30,7,7
BG00043,release,2,0,-1,0.923397260273972,0.654238536055608,10,6,0,-1,0.9237808219178077,0.6598463223835755,10,2,30,2,0.91972602739726,0.6878487644103827,10,10,30,7,0.9202191780821914,0.6887715630909356,10,2,1.4,0.5,30,14,4
BG00044,release,2,0,-1,0.8416438356164386,0.60243066912177,10,2,0,-1,0.8416438356164386,0.60243066912177,10,2,26,2,0.8423082191780822,0.6055903765942087,10,2,26,2,0.8423082191780822,0.6055903765942087,10,2,1.4,0.7,40,14,14
BG00045,release,2,0,-1,0.9496986301369864,0.7923847778914275,10,6,0,-1,0.949294520547945,0.7948905144556904,10,2,37,2,0.9452260273972601,0.8382468687913853,10,2,37,2,0.9452260273972601,0.8382468687913853,10,2,1.2,0.3,40,7,20
BG00046,release,2,0,-1,0.53266301369863,0.665534797311892,10,2,0,-1,0.53266301369863,0.665534797311892,10,2,0,-1,0.53266301369863,0.665534797311892,10,6,50,3,0.5325260273972601,0.6656351956811406,10,2,0.8,0.7,50,20,4
BG00047,release,2,0,-1,0.9494246575342439,0.3149311697617643,10,10,0,-1,0.9335890410958878,0.34020971209491935,10,2,0,-1,0.9494246575342439,0.3149311697617643,10,10,6,10,0.9336986301369838,0.3421288696542232,10,2,3.0,0.9,20,4,7
BG00048,release,2,0,-1,0.5750547945205481,0.7208360803538019,10,2,0,-1,0.5750547945205481,0.7208360803538019,10,2,40,2,0.576054794520548,0.7213860328156473,10,18,40,14,0.5758630136986302,0.7214300604322579,10,2,0.8,0.5,40,4,14
BG00049,release,2,0,-1,0.594980821917808,0.7051007370396118,10,2,0,-1,0.594980821917808,0.7051007370396118,10,2,50,2,0.5962356164383561,0.7060850103872995,10,2,50,2,0.5962356164383561,0.7060850103872995,10,2,0.8,0.5,50,4,4
BG00050,release,2,0,-1,0.9348698630136985,0.6578327343177649,10,2,0,-1,0.9348698630136985,0.6578327343177649,10,2,40,2,0.9247534246575342,0.72124446329008,10,10,39,10,0.9256643835616437,0.7216629645404284,10,2,1.4,0.3,40,14,14
BG00051,release,2,0,-1,0.8005296803652981,0.5584708299881472,10,2,0,-1,0.8005296803652981,0.5584708299881472,10,2,0,-1,0.8005296803652981,0.5584708299881472,10,2,0,-1,0.8005296803652981,0.5584708299881472,10,2,1.4,0.9,30,7,4
BG00052,release,2,0,-1,0.6918013698630137,0.6708322059986249,10,2,0,-1,0.6918013698630137,0.6708322059986249,10,2,0,-1,0.6918013698630137,0.6708322059986249,10,10,40,6,0.6914520547945204,0.6712353378689626,10,2,1.0,0.5,40,14,7
BG00053,release,2,0,-1,0.8557625570776267,0.7130343118929705,10,2,0,-1,0.8557625570776267,0.7130343118929705,10,2,19,2,0.8536803652968048,0.7144316860710017,10,6,30,3,0.8487123287671245,0.7169965586290642,10,2,1.2,0.5,30,14,4
BG00054,release,2,0,-1,0.852745205479452,0.43284011897631103,10,6,0,-1,0.8644767123287668,0.4437657866288169,10,2,30,2,0.8526958904109586,0.4336976741782467,10,10,16,7,0.8652493150684928,0.4456578137703547,10,2,2.0,0.7,50,20,20
BG00055,release,2,0,-1,0.7868675799086764,0.6482668426718845,10,2,0,-1,0.7868675799086764,0.6482668426718845,10,2,0,-1,0.7868675799086764,0.6482668426718845,10,2,0,-1,0.7868675799086764,0.6482668426718845,10,2,1.2,0.9,30,4,4
BG00056,release,2,0,-1,0.9337808219178058,0.6481691978775261,10,6,0,-1,0.9336301369862989,0.6598720456669043,10,2,15,2,0.9322191780821895,0.6810044740860726,10,18,20,14,0.924657534246573,0.6850852685417722,10,2,1.4,0.3,20,4,22
BG00057,release,2,0,-1,0.92767123287671,0.4441696680184357,10,2,0,-1,0.92767123287671,0.4441696680184357,10,2,20,2,0.9129863013698609,0.5242348750769217,10,6,20,6,0.9143698630136967,0.5291898651833382,10,2,2.0,0.5,20,7,7
BG00058,release,2,0,-1,0.9045589041095878,0.31016471239741444,10,10,0,-1,0.905139726027396,0.31174551354514357,10,2,50,2,0.9107068493150674,0.543473556993294,10,2,50,2,0.9107068493150674,0.543473556993294,10,2,3.0,0.1,50,14,22
BG00059,release,2,0,-1,0.768531506849315,0.40487751991388177,10,2,0,-1,0.768531506849315,0.40487751991388177,10,2,50,2,0.8175835616438357,0.5888805771613482,10,10,49,10,0.8191890410958903,0.5891683703802114,10,2,2.0,0.3,50,14,14
BG00060,release,2,0,-1,0.8355068493150686,0.8104184694124145,10,2,0,-1,0.8355068493150686,0.8104184694124145,10,2,35,2,0.8357671232876713,0.8107543906902462,10,2,35,2,0.8357671232876713,0.8107543906902462,10,2,1.0,0.9,40,14,4
BG00061,release,2,0,-1,0.7121643835616437,0.23052805465958087,10,2,0,-1,0.7121643835616437,0.23052805465958087,10,2,15,2,0.7131917808219177,0.2311000843903995,10,2,15,2,0.7131917808219177,0.2311000843903995,10,2,3.0,0.9,20,4,4
BG00062,release,2,0,-1,0.9159726027397239,0.306983930761348,10,2,0,-1,0.9159726027397239,0.306983930761348,10,2,0,-1,0.9159726027397239,0.306983930761348,10,2,0,-1,0.9159726027397239,0.306983930761348,10,2,3.0,0.7,20,4,4
BG00063,release,2,0,-1,0.8518493150684934,0.625933672170936,10,2,0,-1,0.8518493150684934,0.625933672170936,10,2,20,2,0.8630547945205478,0.6863472430472618,10,2,20,2,0.8630547945205478,0.6863472430472618,10,2,1.4,0.5,20,7,4
BG00064,release,2,0,-1,0.8131415525114167,0.4180551842983851,10,2,0,-1,0.8131415525114167,0.4180551842983851,10,2,0,-1,0.8131415525114167,0.4180551842983851,10,2,0,-1,0.8131415525114167,0.4180551842983851,10,2,2.0,0.9,30,4,14
BG00065,release,2,0,-1,0.9495068493150658,0.47439206761676767,10,2,0,-1,0.9495068493150658,0.47439206761676767,10,2,0,-1,0.9495068493150658,0.47439206761676767,10,6,4,3,0.949342465753422,0.4748609248131844,10,2,2.0,0.7,20,7,7
BG00066,release,2,0,-1,0.5407397260273972,0.547571086780595,10,2,0,-1,0.5407397260273972,0.547571086780595,10,2,0,-1,0.5407397260273972,0.547571086780595,10,2,0,-1,0.5407397260273972,0.547571086780595,10,2,1.0,0.7,20,7,7
BG00067,release,2,0,-1,0.8434589041095893,0.61658701281162,10,6,0,-1,0.8428219178082192,0.6260165819534359,10,2,40,2,0.8366849315068491,0.6425863467986195,10,14,39,13,0.8387876712328767,0.6437873451089579,10,2,1.4,0.5,40,4,20
BG00068,release,2,0,-1,0.7164246575342467,0.36441459766869944,10,6,0,-1,0.7195068493150686,0.42296067940354976,10,2,20,2,0.7268493150684932,0.5141389500869079,10,10,18,10,0.7293972602739726,0.5170516375372403,10,2,2.0,0.1,20,7,20
BG00069,release,2,0,-1,0.7880712328767123,0.7869185294291069,10,2,0,-1,0.7880712328767123,0.7869185294291069,10,2,40,2,0.787413698630137,0.786956272817224,10,6,50,3,0.7881917808219174,0.7873579496525944,10,2,1.0,0.7,50,7,14
BG00070,release,2,0,-1,0.89876712328767,0.5880764210753495,10,6,0,-1,0.9003150684931496,0.600327992357823,10,2,0,-1,0.89876712328767,0.5880764210753495,10,6,10,4,0.9008219178082179,0.6020814544404771,10,2,1.6,0.9,20,14,4
BG00071,release,2,0,-1,0.6131369863013698,0.7605759021228804,10,2,0,-1,0.6131369863013698,0.7605759021228804,10,2,16,2,0.6125068493150685,0.7612398508718944,10,6,20,2,0.611109589041096,0.7615251880131642,10,2,0.8,0.5,20,4,4
BG00072,release,2,0,-1,0.8986712328767125,0.6037002380550008,10,2,0,-1,0.8986712328767125,0.6037002380550008,10,2,40,2,0.8976643835616438,0.651761929501267,10,26,40,23,0.8977054794520549,0.6547875168201523,10,2,1.4,0.3,40,20,4
BG00073,release,2,0,-1,0.8457876712328769,0.6087249335916841,10,2,0,-1,0.8457876712328769,0.6087249335916841,10,2,0,-1,0.8457876712328769,0.6087249335916841,10,2,0,-1,0.8457876712328769,0.6087249335916841,10,2,1.4,0.7,40,7,20
BG00074,release,2,0,-1,0.9499013698630121,0.48454014524313926,10,6,0,-1,0.9495123287671225,0.5069286425605016,10,2,50,2,0.9490027397260261,0.6202000366388991,10,26,50,23,0.9502739726027386,0.621223995115898,10,2,2.0,0.3,50,4,4
BG00075,release,2,0,-1,0.9001698630136976,0.5626558513978365,10,2,0,-1,0.9001698630136976,0.5626558513978365,10,2,45,2,0.9120712328767112,0.5644416038005045,10,6,40,4,0.9089150684931493,0.5665233270792441,10,2,1.6,0.7,50,20,22
BG00076,release,2,0,-1,0.729150684931507,0.7617780769590626,10,2,0,-1,0.729150684931507,0.7617780769590626,10,2,0,-1,0.729150684931507,0.7617780769590626,10,2,0,-1,0.729150684931507,0.7617780769590626,10,2,1.0,0.9,30,4,4
BG00077,release,2,0,-1,0.7274931506849315,0.6372579514471135,10,6,0,-1,0.7260136986301369,0.6395375774728753,10,2,20,2,0.7230821917808218,0.7185184047856256,10,26,20,20,0.7211095890410957,0.7211272585869759,10,2,1.4,0.1,20,7,4
BG00078,release,2,0,-1,0.899541095890411,0.29757623702668484,10,2,0,-1,0.899541095890411,0.29757623702668484,10,2,40,2,0.8995205479452058,0.3671788069474275,10,6,40,6,0.8999657534246575,0.369367025517842,10,2,3.0,0.5,40,7,7
BG00079,release,2,0,-1,0.9050465753424646,0.4622902101264703,10,6,0,-1,0.9057972602739713,0.47888429621426837,10,2,0,-1,0.9050465753424646,0.4622902101264703,10,6,34,6,0.9065753424657524,0.47976420890681026,10,2,2.0,0.9,50,4,14
BG00080,release,2,0,-1,0.9242602739726005,0.6273333598415897,10,2,0,-1,0.9242602739726005,0.6273333598415897,10,2,20,2,0.8883835616438341,0.6819845738773324,10,18,20,15,0.8970410958904095,0.6898385027208395,10,2,1.2,0.1,20,4,20
BG00081,release,2,0,-1,0.5873835616438358,0.670518780680762,10,2,0,-1,0.5873835616438358,0.670518780680762,10,2,19,2,0.5885205479452054,0.6732181365642245,10,2,19,2,0.5885205479452054,0.6732181365642245,10,2,0.8,0.5,20,7,4
BG00082,release,2,0,-1,0.8474246575342462,0.6682719433004908,10,6,0,-1,0.8496,0.6809452015815849,10,2,49,2,0.856202739726027,0.7260599501649488,10,22,50,20,0.8563232876712327,0.7273240720174685,10,2,1.4,0.3,50,4,7
BG00083,release,2,0,-1,0.6845844748858443,0.8705070622546662,10,2,0,-1,0.6845844748858443,0.8705070622546662,10,2,0,-1,0.6845844748858443,0.8705070622546662,10,2,0,-1,0.6845844748858443,0.8705070622546662,10,2,0.8,0.9,30,4,7
BG00084,release,2,0,-1,0.9368356164383537,0.46567542983160826,10,2,0,-1,0.9368356164383537,0.46567542983160826,10,2,0,-1,0.9368356164383537,0.46567542983160826,10,2,0,-1,0.9368356164383537,0.46567542983160826,10,2,2.0,0.7,20,14,20
BG00085,release,2,0,-1,0.6494109589041095,0.8086058872398132,10,2,0,-1,0.6494109589041095,0.8086058872398132,10,2,0,-1,0.6494109589041095,0.8086058872398132,10,2,0,-1,0.6494109589041095,0.8086058872398132,10,2,0.8,0.7,20,14,4
BG00086,release,2,0,-1,0.8899506849315062,0.6327186377857127,10,6,0,-1,0.8908821917808212,0.6337550606576896,10,2,48,2,0.8724876712328762,0.6654327929307012,10,2,48,2,0.8724876712328762,0.6654327929307012,10,2,1.2,0.1,50,22,4
BG00087,release,2,0,-1,0.8133972602739725,0.29315569797823054,10,6,0,-1,0.8108657534246577,0.3278224398492553,10,2,0,-1,0.8133972602739725,0.29315569797823054,10,6,30,6,0.8113589041095887,0.32914976672597873,10,2,3.0,0.9,50,7,4
BG00088,release,2,0,-1,0.7017808219178067,0.4689610352818618,10,2,0,-1,0.7017808219178067,0.4689610352818618,10,2,29,2,0.6991689497716881,0.5535556977947772,10,26,29,25,0.698739726027396,0.5538131132760262,10,2,1.4,0.3,30,4,4
BG00089,release,2,0,-1,0.9140438356164375,0.769529987605321,10,6,0,-1,0.9142520547945197,0.7699143101565884,10,2,35,2,0.9123726027397246,0.7755447854809457,10,6,49,3,0.9097095890410948,0.7781554447345767,10,2,1.2,0.5,50,20,4
BG00090,release,2,0,-1,0.7788949771689506,0.809773973065731,10,2,0,-1,0.7788949771689506,0.809773973065731,10,2,14,2,0.7782374429223754,0.8110209261916805,10,6,24,3,0.7775707762557086,0.8119143005645804,10,2,1.0,0.3,30,20,14
BG00091,release,2,0,-1,0.683844748858447,0.8542020909312962,10,2,0,-1,0.683844748858447,0.8542020909312962,10,2,30,2,0.6812694063926934,0.8546074358224798,10,6,29,6,0.6840913242009127,0.8549533501750526,10,2,0.8,0.5,30,4,4
BG00092,release,2,0,-1,0.8999041095890398,0.3016236029730141,10,14,0,-1,0.8986849315068481,0.33684370048322176,10,2,0,-1,0.8999041095890398,0.3016236029730141,10,14,6,11,0.8999589041095873,0.338224077586295,10,2,3.0,0.9,20,20,14
BG00093,release,2,0,-1,0.6585342465753425,0.6600289928106122,10,2,0,-1,0.6585342465753425,0.6600289928106122,10,2,0,-1,0.6585342465753425,0.6600289928106122,10,6,18,3,0.6587260273972604,0.6646980326375429,10,2,0.8,0.1,20,7,7
BG00094,release,2,0,-1,0.9496821917808207,0.5929785421830445,10,2,0,-1,0.9496821917808207,0.5929785421830445,10,2,50,2,0.9491890410958892,0.6486686969635851,10,26,50,25,0.9506082191780809,0.6501894478387277,10,2,1.6,0.5,50,7,20
BG00095,release,2,0,-1,0.9000410958904108,0.635145620070191,10,2,0,-1,0.9000410958904108,0.635145620070191,10,2,0,-1,0.9000410958904108,0.635145620070191,10,2,0,-1,0.9000410958904108,0.635145620070191,10,2,1.4,0.9,40,20,4
BG00096,release,2,0,-1,0.8021232876712328,0.2665301799793609,10,2,0,-1,0.8021232876712328,0.2665301799793609,10,2,22,2,0.8021780821917808,0.26675286282053706,10,2,22,2,0.8021780821917808,0.26675286282053706,10,2,3.0,0.7,40,14,4
BG00097,release,2,0,-1,0.7502191780821916,0.7424017530302014,10,2,0,-1,0.7502191780821916,0.7424017530302014,10,2,0,-1,0.7502191780821916,0.7424017530302014,10,2,0,-1,0.7502191780821916,0.7424017530302014,10,2,1.0,0.7,40,7,7
BG00098,release,2,0,-1,0.839654794520548,0.5297858161453994,10,2,0,-1,0.839654794520548,0.5297858161453994,10,2,50,2,0.8589698630136985,0.6707630401129172,10,2,50,2,0.8589698630136985,0.6707630401129172,10,2,1.6,0.3,50,20,20
BG00099,release,2,0,-1,0.8316301369863007,0.8676561184339315,10,6,0,-1,0.8306849315068489,0.8689695861888964,10,2,10,2,0.8349863013698624,0.8725518211299915,10,6,16,5,0.8286164383561637,0.8729348472989606,10,2,1.0,0.1,20,14,7
BG00100,release,2,0,-1,0.9006904109589033,0.5031919851311748,10,6,0,-1,0.9000273972602727,0.5141176654306487,10,2,50,2,0.9000712328767115,0.5782948233325034,10,18,50,17,0.8997369863013688,0.5786338538329014,10,2,1.6,0.1,50,14,7
BG00101,release,2,0,-1,0.8035342465753427,0.5668870122744447,10,2,0,-1,0.8035342465753427,0.5668870122744447,10,2,0,-1,0.8035342465753427,0.5668870122744447,10,2,0,-1,0.8035342465753427,0.5668870122744447,10,2,1.4,0.9,20,4,20
BG00102,release,2,0,-1,0.7677123287671233,0.8330303129207255,10,2,0,-1,0.7677123287671233,0.8330303129207255,10,2,30,2,0.7695000000000001,0.8349418063759357,10,6,33,6,0.7666986301369866,0.8349648304322301,10,2,1.0,0.3,40,20,4
BG00103,release,2,0,-1,0.9141986301369863,0.570884050678623,10,6,0,-1,0.9138561643835617,0.5718148767107927,10,2,20,2,0.9144315068493152,0.5718798016740994,10,2,20,2,0.9144315068493152,0.5718798016740994,10,2,1.6,0.7,40,14,14
BG00104,release,2,0,-1,0.8947579908675802,0.7453238915492175,10,6,0,-1,0.895369863013699,0.7462823352617888,10,2,20,2,0.8948219178082196,0.7494804889210206,10,2,20,2,0.8948219178082196,0.7494804889210206,10,2,1.2,0.7,30,20,7
