background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h6_thresholds,n_transitions,n_exposed_transitions,spearman_bucket_mass_vs_jump,median_bucket_mass,largest_jump_lower_threshold,largest_jump_higher_threshold,largest_jump_bucket_delay,largest_jump_bucket_mass,largest_absolute_served_rate_jump,largest_jump_material,largest_jump_in_upper_mass_half,failure_component,classification
H6B0114,S082,sobol_symmetric,0.8,0.7,16,12.8,8.959999999999999,3.8400000000000007,14,14,0.3,0.3,0,12,0.1,0.1,0.3,0.3,9,9,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,1,1.0,0.0,0.0,1.0,1.0,0.01891172009767837,0.003902598102017052,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0116,S084,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,7,7,0.1,0.1,0,4,0.0,0.0,0.3,0.3,4,4,0.3,0.3,0.7,0.7,0;1;2;3;4;5,5,5,-0.3,0.056074171675098726,3.0,4.0,4.0,0.05719389610607613,0.002646297915486153,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0117,S085,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,7,7,0.1,0.1,0,4,0.3,0.3,0.7,0.7,4,4,0.0,0.0,0.1,0.1,0;1;2;3;4;5,5,5,0.49999999999999994,0.03805113081382657,4.0,5.0,5.0,0.43770747071873045,0.07296030291964281,True,True,spearman_below_support_threshold,inconclusive
H6B0122,S090,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,7,7,0.0,0.0,0,4,0.0,0.0,0.1,0.1,4,4,0.3,0.3,0.5,0.5,0;1;2;3;4;5,5,1,1.0,0.0,0.0,1.0,1.0,0.01479037426531113,0.00073591639541421,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0128,S096;X067,sobol_symmetric,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,0,4,0.0,0.0,0.3,0.3,6,6,0.3,0.3,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,9,0.9261363636363636,0.005300914859675638,6.0,7.0,7.0,0.25662813858875466,0.00416679095103947,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0130,S098,sobol_symmetric,0.8,0.7,32,25.6,17.919999999999998,7.6800000000000015,14,14,0.5,0.5,0,12,0.0,0.0,0.3,0.3,12,12,0.5,0.5,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,1,1.0,0.0,0.0,1.0,1.0,0.013616557663490117,0.002935617399623322,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0140,S108,sobol_symmetric,4.0,0.5,16,64.0,32.0,32.0,14,14,0.3,0.3,0,4,0.0,0.0,0.1,0.1,12,12,0.5,0.5,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,-0.4825174825174825,0.08117990445674376,1.0,2.0,2.0,0.07733207159925033,0.0017269469904841698,False,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half;largest_jump_not_material_and_precise,inconclusive
H6B0142,S110,sobol_symmetric,2.0,0.7,64,128.0,89.6,38.400000000000006,28,28,0.0,0.0,0,9,0.0,0.0,0.5,0.5,12,12,0.7,0.7,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,18,0.16442952022536714,0.15372736239491935,25.0,26.0,26.0,0.30672345667495415,0.0018734669477734791,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0147,S115,sobol_symmetric,2.0,0.3,16,32.0,9.6,22.4,7,7,0.5,0.5,0,4,0.1,0.1,0.3,0.3,4,4,0.5,0.5,0.5,0.5,0;1;2;3;4;5,5,4,0.49999999999999994,0.2967769069172426,0.0,1.0,1.0,0.2967769069172426,0.021672180447043055,True,True,spearman_below_support_threshold,inconclusive
H6B0149,S117,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,21,21,0.1,0.1,0,9,0.0,0.0,0.5,0.5,6,6,0.7,0.7,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,19,-0.6491228070175438,0.04156217425300453,0.0,1.0,1.0,0.02934637726647229,0.002711749051187395,False,False,spearman_below_support_threshold;largest_jump_not_in_upper_mass_half;largest_jump_not_material_and_precise,inconclusive
