background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h6_thresholds,n_transitions,n_exposed_transitions,spearman_bucket_mass_vs_jump,median_bucket_mass,largest_jump_lower_threshold,largest_jump_higher_threshold,largest_jump_bucket_delay,largest_jump_bucket_mass,largest_absolute_served_rate_jump,largest_jump_material,largest_jump_in_upper_mass_half,failure_component,classification
H6B0026,A026,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,0,12,0.0,0.0,0.7,0.7,12,12,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,0.34965034965034975,0.23791641925281715,5.0,6.0,6.0,0.36524289367913476,0.03350966642208186,True,True,spearman_below_support_threshold,inconclusive
H6B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,0,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,17,0.7070175438596492,0.30523195674143316,9.0,10.0,10.0,0.38921060107566385,0.1527446311722791,True,True,,supported
H6B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,0,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,15,0.6385964912280702,0.34073540955057613,9.0,10.0,10.0,0.4532193858015464,0.17077644518393834,True,True,,supported
H6B0029,A029,anchor,3.1,0.3,32,99.2,29.76,69.44,14,14,0.5,0.5,0,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.0,0.0,0;1;2;3;4;5;6;7;8;9;10;11;12,12,6,0.8496240601503758,0.04308636960443483,0.0,1.0,1.0,0.17543515592498343,0.06703314945587045,True,True,,supported
H6B0030,A030,anchor,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,0,9,0.0,0.0,0.5,0.5,6,6,0.5,0.5,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,0,,,,,,,,,,all_reclassified_bucket_masses_below_1pct,inactive
H6B0031,A031,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,0,6,0.3,0.3,0.7,0.7,9,9,0.0,0.0,0.1,0.1,0;1;2;3;4;5;6;7;8;9;10;11;12,12,10,0.6363636363636365,0.055396151249084605,5.0,6.0,6.0,0.3807075190138723,0.05877216400427793,True,True,,supported
H6B0032,A032,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,0,6,0.0,0.0,0.1,0.1,9,9,0.3,0.3,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,12,0.4125874125874127,0.04448383987094616,11.0,12.0,12.0,0.047761787480101785,0.002133795563177633,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0033,S001,sobol_symmetric,3.1,0.3,16,49.6,14.88,34.72,21,21,0.5,0.5,0,12,0.1,0.1,0.7,0.7,12,12,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,6,0.9765807962529273,0.0,0.0,1.0,1.0,0.20232948564469105,0.09363458696687912,True,True,,supported
H6B0034,S002,sobol_symmetric,1.25,0.7,64,80.0,56.0,24.000000000000004,7,7,0.1,0.1,0,4,0.0,0.0,0.7,0.7,4,4,0.3,0.3,0.7,0.7,0;1;2;3;4;5,5,4,0.7,0.4658876323492402,1.0,2.0,2.0,0.5306287934523403,0.02170725384880387,True,True,,supported
H6B0035,S003,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,0,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,2,0.6569462274730813,0.0,5.0,6.0,6.0,0.5308422086591107,0.05982919309082472,True,True,,supported
H6B0036,S004,sobol_symmetric,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.3,0.3,0,9,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0037,S005,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,0,12,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,4,0.9900990099009903,0.0,1.0,2.0,2.0,0.34215412737138584,0.021848103998768333,True,True,,supported
H6B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,0,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,26,0.3442735042735042,0.4457138269290445,8.0,9.0,9.0,0.47094238200627914,0.20688829229497602,True,True,spearman_below_support_threshold,inconclusive
H6B0039,S007,sobol_symmetric,0.8,0.5,32,25.6,12.8,12.8,7,7,0.1,0.1,0,4,0.3,0.3,0.5,0.5,4,4,0.0,0.0,0.0,0.0,0;1;2;3;4;5,5,0,,,,,,,,,,all_reclassified_bucket_masses_below_1pct,inactive
H6B0040,S008,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,21,21,0.5,0.5,0,9,0.1,0.1,0.3,0.3,6,6,0.3,0.3,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,6,0.9789227166276347,0.0,0.0,1.0,1.0,0.19606722023420753,0.00879691531730101,True,True,,supported
H6B0041,S009,sobol_symmetric,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,0,9,0.7,0.7,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0042,S010,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,14,14,0.5,0.5,0,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,12,1,1.0,0.0,0.0,1.0,1.0,0.01439372381247273,0.00409391042750189,False,True,largest_jump_not_material_and_precise,inconclusive
H6B0043,S011,sobol_symmetric,1.25,0.3,64,80.0,24.0,56.0,21,21,0.3,0.3,0,4,0.3,0.3,0.7,0.7,12,12,0.0,0.0,0.0,0.0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,1,0.9999999999999998,0.0,0.0,1.0,1.0,0.015370473146447211,0.005852453603556756,True,True,,supported
H6B0044,S012,sobol_symmetric,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.0,0.0,0,4,0.1,0.1,0.5,0.5,4,4,0.3,0.3,0.5,0.5,0;1;2;3;4;5,5,0,,,,,,,,,,all_reclassified_bucket_masses_below_1pct,inactive
H6B0045,S013,sobol_symmetric,4.0,0.5,16,64.0,32.0,32.0,7,7,0.0,0.0,0,4,0.3,0.3,0.3,0.3,4,4,0.0,0.0,0.3,0.3,0;1;2;3;4;5,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0046,S014,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,21,21,0.3,0.3,0,6,0.1,0.1,0.1,0.1,6,6,0.3,0.3,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0047,S015,sobol_symmetric,0.8,0.1,16,12.8,1.2800000000000002,11.52,14,14,0.5,0.5,0,4,0.5,0.5,0.5,0.5,4,4,0.7,0.7,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0048,S016,sobol_symmetric,3.1,0.9,64,198.4,178.56,19.84,28,28,0.1,0.1,0,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,23,0.10017094017094016,0.03391560005623585,16.0,17.0,17.0,0.034255115908544236,0.0007834232519387003,False,True,spearman_below_support_threshold;largest_jump_not_material_and_precise,inconclusive
H6B0049,S017,sobol_symmetric,3.1,0.1,32,99.2,9.920000000000002,89.28,7,7,0.3,0.3,0,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.5,0.5,0;1;2;3;4;5,5,5,-0.09999999999999999,0.1016025693788506,0.0,1.0,1.0,0.1016025693788506,0.06308905911486909,True,True,spearman_below_support_threshold,inconclusive
H6B0050,S018,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,21,21,0.0,0.0,0,9,0.1,0.1,0.5,0.5,9,9,0.5,0.5,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,19,0,,,,,,,,,,all_reclassified_bucket_masses_below_1pct,inactive
H6B0051,S019,sobol_symmetric,2.0,0.5,16,32.0,16.0,16.0,14,14,0.1,0.1,0,12,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.5,0.5,0;1;2;3;4;5;6;7;8;9;10;11;12,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0052,S020,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,0,4,0.3,0.3,0.7,0.7,6,6,0.0,0.0,0.0,0.0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,5,0.9874608150470219,0.0,0.0,1.0,1.0,0.21410045451828957,0.05005470866417967,True,True,,supported
H6B0053,S021,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,0,6,0.0,0.0,0.3,0.3,12,12,0.3,0.3,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,26,8,0.903961557524603,0.0,0.0,1.0,1.0,0.13167110147233577,0.021258915606616063,True,True,,supported
H6B0054,S022,sobol_symmetric,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,0,9,0.7,0.7,0.7,0.7,6,6,0.0,0.0,0.3,0.3,0;1;2;3;4;5;6;7;8;9;10;11;12,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0055,S023,sobol_symmetric,0.8,0.3,64,51.2,15.36,35.84,21,21,0.0,0.0,0,12,0.1,0.1,0.1,0.1,4,4,0.0,0.0,0.7,0.7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,0,0,,,,,,,,,,no_within_class_balking_step,inactive
H6B0056,S024,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.3,0.3,0,4,0.3,0.3,0.3,0.3,4,4,0.7,0.7,0.7,0.7,0;1;2;3;4;5,0,0,,,,,,,,,,no_within_class_balking_step,inactive
