background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1_background,cancel_class2_background,target_loss_share,arm,focal_probability,realized_focal_loss_share,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,seed,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.2,balk,0.215556197694455,0.20594965675057209,0.776541095890411,0.776541095890411,0.980561555075594,0.042731277533039645,0.042116630669546434,0.7940503432494279,1.0,0.019438444924406047,0.20594965675057209,0.0,0.05941780821917808,0.7179794520547945,0.05941780821917808,0.7179794520547945,0.02745995423340961,0.04364416885284999,-0.20594965675057209,0.20594965675057209,0.01618421461944038,2000,437,4193,437,4193,347,4193,90,0,0,0,0,0,347,4193,0.0,0.0,0.0,0.03170028818443804,0.04364416885284999,0.20594965675057209,0.0,0.0,0.0,0.0,0.0,4630,4630
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.2,balk,0.215556197694455,0.22704081632653061,0.7878424657534246,0.7878424657534246,0.9810234541577825,0.05390132579873941,0.05287846481876333,0.7729591836734694,1.0,0.018976545842217484,0.22704081632653061,0.0,0.05188356164383562,0.7359589041095891,0.05188356164383562,0.7359589041095891,0.04591836734693878,0.05351326198231736,-0.22704081632653061,0.22704081632653061,0.007594894635378581,2001,392,4298,392,4298,303,4298,89,0,0,0,0,0,303,4298,0.0,0.0,0.0,0.0594059405940594,0.05351326198231736,0.22704081632653061,0.0,0.0,0.0,0.0,0.0,4690,4690
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.2,noshow,0.2078881089434769,0.19480519480519481,0.7890410958904109,0.8044520547945205,0.9808429118773946,0.04533844189016603,0.04533844189016603,0.8051948051948052,1.0,0.0,0.0,0.0,0.0636986301369863,0.7253424657534246,0.07910958904109588,0.7253424657534246,0.05194805194805195,0.04461756373937677,-0.19480519480519476,0.0,-0.007330488208675184,2000,462,4236,462,4236,462,4236,0,0,0,0,90,0,372,4236,0.0,0.0,0.0,0.05194805194805195,0.04461756373937677,0.0,0.0,0.19480519480519481,0.0,0.0,0.0,4698,4698
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.2,noshow,0.2078881089434769,0.20309050772626933,0.8082191780821918,0.8239726027397261,0.9808811305070657,0.06608478802992519,0.06608478802992519,0.7969094922737306,1.0,0.0,0.0,0.0,0.06181506849315069,0.7464041095890411,0.07756849315068493,0.7464041095890411,0.039735099337748346,0.06882312456985547,-0.20309050772626935,0.0,0.02908802523210712,2001,453,4359,453,4359,453,4359,0,0,0,0,92,0,361,4359,0.0,0.0,0.0,0.039735099337748346,0.06882312456985547,0.0,0.0,0.20309050772626933,0.0,0.0,0.0,4812,4812
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8131849315068493,0.8131849315068493,1.0,0.042562157606405394,0.042562157606405394,1.0,1.0,0.0,0.0,0.0,0.07773972602739726,0.7349315068493151,0.07773972602739726,0.7349315068493151,0.04185022026431718,0.04263746505125816,0.0,0.0,0.0007872447869409771,2002,454,4292,454,4292,454,4292,0,0,0,0,0,0,454,4292,0.0,0.0,0.0,0.04185022026431718,0.04263746505125816,0.0,0.0,0.0,0.0,0.0,0.0,4746,4746
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.7746575342465754,0.7746575342465754,1.0,0.04205400619743249,0.04205400619743249,1.0,1.0,0.0,0.0,0.0,0.08047945205479452,0.6931506849315069,0.08047945205479452,0.6931506849315069,0.04680851063829787,0.041501976284584984,0.0,0.0,-0.005306534353712887,2003,470,4048,470,4048,470,4048,0,0,0,0,0,0,470,4048,0.0,0.0,0.0,0.04680851063829787,0.041501976284584984,0.0,0.0,0.0,0.0,0.0,0.0,4518,4518
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8154109589041096,0.8154109589041096,1.0,0.05627887442251155,0.05627887442251155,1.0,1.0,0.0,0.0,0.0,0.08065068493150684,0.7347602739726027,0.08065068493150684,0.7347602739726027,0.050955414012738856,0.05686320205080401,0.0,0.0,0.005907788038065152,2004,471,4291,471,4291,471,4291,0,0,0,0,0,0,471,4291,0.0,0.0,0.0,0.050955414012738856,0.05686320205080401,0.0,0.0,0.0,0.0,0.0,0.0,4762,4762
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8075342465753425,0.8075342465753425,1.0,0.0640373197625106,0.0640373197625106,1.0,1.0,0.0,0.0,0.0,0.08167808219178083,0.7258561643835616,0.08167808219178083,0.7258561643835616,0.07127882599580712,0.06322245812691672,0.0,0.0,-0.008056367868890399,2005,477,4239,477,4239,477,4239,0,0,0,0,0,0,477,4239,0.0,0.0,0.0,0.07127882599580712,0.06322245812691672,0.0,0.0,0.0,0.0,0.0,0.0,4716,4716
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.7957191780821918,0.7957191780821918,1.0,0.05422853453841188,0.05422853453841188,1.0,1.0,0.0,0.0,0.0,0.07979452054794521,0.7159246575342466,0.07979452054794521,0.7159246575342466,0.07296137339055794,0.052140636211432674,0.0,0.0,-0.02082073717912527,2006,466,4181,466,4181,466,4181,0,0,0,0,0,0,466,4181,0.0,0.0,0.0,0.07296137339055794,0.052140636211432674,0.0,0.0,0.0,0.0,0.0,0.0,4647,4647
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,-1.0,baseline,0.0,0.0,0.8010273972602739,0.8010273972602739,1.0,0.0433946130825139,0.0433946130825139,1.0,1.0,0.0,0.0,0.0,0.07996575342465753,0.7210616438356164,0.07996575342465753,0.7210616438356164,0.042826552462526764,0.04345761101876039,0.0,0.0,0.0006310585562336254,2007,467,4211,467,4211,467,4211,0,0,0,0,0,0,467,4211,0.0,0.0,0.0,0.042826552462526764,0.04345761101876039,0.0,0.0,0.0,0.0,0.0,0.0,4678,4678
