h1,h2,tau1,tau2,balk_high,arrival_rate,mean,std,n,se,ci95,metric
2,12,5,9,0.5,50,0.8705136986301371,0.009134020338855032,30,0.0016676363267672941,0.0032685672004638964,average_utilization
2,12,5,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,5,9,0.7,50,0.8709731735159817,0.009023038782693928,30,0.0016473739595084728,0.0032288529606366067,average_utilization
2,12,5,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,5,12,0.3,50,0.8697773972602739,0.00917197508658602,30,0.001674565883932854,0.003282149132508394,average_utilization
2,12,5,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,5,12,0.5,50,0.8697773972602739,0.00917197508658602,30,0.001674565883932854,0.003282149132508394,average_utilization
2,12,5,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,5,12,0.7,50,0.8697773972602739,0.00917197508658602,30,0.001674565883932854,0.003282149132508394,average_utilization
2,12,9,5,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,9,5,0.3,50,0.9998373287671233,0.00014803612450627073,30,2.7027574905909266e-05,5.2974046815582164e-05,average_utilization
2,12,9,5,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,9,5,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,12,9,5,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,9,5,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,12,9,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,9,9,0.3,50,0.870439497716895,0.009047390056429606,30,0.001651819873484811,0.0032375669520302297,average_utilization
2,12,9,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,9,9,0.5,50,0.8705136986301371,0.009134020338855032,30,0.0016676363267672941,0.0032685672004638964,average_utilization
2,12,9,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,9,9,0.7,50,0.8709731735159817,0.009023038782693928,30,0.0016473739595084728,0.0032288529606366067,average_utilization
2,12,12,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,12,12,12,0.3,50,0.8697773972602739,0.00917197508658602,30,0.001674565883932854,0.003282149132508394,average_utilization
