h1,h2,tau1,tau2,balk_high,arrival_rate,class_id,mean,std,n,se,ci95
2,4,5,9,0.5,25,2,0.0,0.0,30,0.0,0.0
2,4,5,9,0.5,50,1,0.968348703746346,0.0013283660689768783,30,0.00024252535353436658,0.00047534969292735847
2,4,5,9,0.5,50,2,0.2629323808992202,0.006411122594650477,30,0.0011705054880070385,0.0022941907564937953
2,4,5,9,0.7,25,1,0.6561058315735362,0.010230556834960828,30,0.0018678355847822341,0.0036609577461731786
2,4,5,9,0.7,25,2,0.0,0.0,30,0.0,0.0
2,4,5,9,0.7,50,1,0.968348703746346,0.0013283660689768783,30,0.00024252535353436658,0.00047534969292735847
2,4,5,9,0.7,50,2,0.2629323808992202,0.006411122594650477,30,0.0011705054880070385,0.0022941907564937953
2,4,5,12,0.3,25,1,0.6561058315735362,0.010230556834960828,30,0.0018678355847822341,0.0036609577461731786
2,4,5,12,0.3,25,2,0.0,0.0,30,0.0,0.0
2,4,5,12,0.3,50,1,0.968348703746346,0.0013283660689768783,30,0.00024252535353436658,0.00047534969292735847
2,4,5,12,0.3,50,2,0.2629323808992202,0.006411122594650477,30,0.0011705054880070385,0.0022941907564937953
2,4,5,12,0.5,25,1,0.6561058315735362,0.010230556834960828,30,0.0018678355847822341,0.0036609577461731786
2,4,5,12,0.5,25,2,0.0,0.0,30,0.0,0.0
2,4,5,12,0.5,50,1,0.968348703746346,0.0013283660689768783,30,0.00024252535353436658,0.00047534969292735847
2,4,5,12,0.5,50,2,0.2629323808992202,0.006411122594650477,30,0.0011705054880070385,0.0022941907564937953
2,4,5,12,0.7,25,1,0.6561058315735362,0.010230556834960828,30,0.0018678355847822341,0.0036609577461731786
2,4,5,12,0.7,25,2,0.0,0.0,30,0.0,0.0
2,4,5,12,0.7,50,1,0.968348703746346,0.0013283660689768783,30,0.00024252535353436658,0.00047534969292735847
2,4,5,12,0.7,50,2,0.2629323808992202,0.006411122594650477,30,0.0011705054880070385,0.0022941907564937953
2,4,9,5,0.3,25,1,0.6561058315735362,0.010230556834960828,30,0.0018678355847822341,0.0036609577461731786
2,4,9,5,0.3,25,2,0.0,0.0,30,0.0,0.0
2,4,9,5,0.3,50,1,0.968348703746346,0.0013283660689768783,30,0.00024252535353436658,0.00047534969292735847
2,4,9,5,0.3,50,2,0.2629323808992202,0.006411122594650477,30,0.0011705054880070385,0.0022941907564937953
