h1,h2,tau1,tau2,balk_high,arrival_rate,class_id,mean,std,n,se,ci95,metric
2,3,12,12,0.5,25,1,0.34252865169773056,0.010969678827579692,30,0.002002780180817407,0.003925449154402118,percent_serviced
2,3,12,12,0.5,25,2,0.9337357946995638,0.002935757652082861,30,0.0005359935631380621,0.0010505473837506018,percent_serviced
2,3,12,12,0.5,50,1,0.031912013808570346,0.0013157138903259595,30,0.0002402153923181354,0.0004708221689435454,percent_serviced
2,3,12,12,0.5,50,2,0.6066536924729042,0.0042772449085716376,30,0.0007809145067996026,0.001530592433327221,percent_serviced
2,3,12,12,0.7,25,1,0.34252865169773056,0.010969678827579692,30,0.002002780180817407,0.003925449154402118,percent_serviced
2,3,12,12,0.7,25,2,0.9337357946995638,0.002935757652082861,30,0.0005359935631380621,0.0010505473837506018,percent_serviced
2,3,12,12,0.7,50,1,0.031912013808570346,0.0013157138903259595,30,0.0002402153923181354,0.0004708221689435454,percent_serviced
2,3,12,12,0.7,50,2,0.6066536924729042,0.0042772449085716376,30,0.0007809145067996026,0.001530592433327221,percent_serviced
2,4,5,9,0.3,25,1,0.3438941684264637,0.010230556834960828,30,0.0018678355847822341,0.0036609577461731786,percent_serviced
2,4,5,9,0.3,25,2,0.9342559316029354,0.002267903482968157,30,0.00041406063195539763,0.0008115588386325794,percent_serviced
2,4,5,9,0.3,50,1,0.03165129625365397,0.00132836606897689,30,0.0002425253535343687,0.00047534969292736264,percent_serviced
2,4,5,9,0.3,50,2,0.6090498818662458,0.005317304200500414,30,0.0009708024852436831,0.001902772871077619,percent_serviced
2,4,5,9,0.5,25,1,0.3438941684264637,0.010230556834960828,30,0.0018678355847822341,0.0036609577461731786,percent_serviced
2,4,5,9,0.5,25,2,0.9342559316029354,0.002267903482968157,30,0.00041406063195539763,0.0008115588386325794,percent_serviced
2,4,5,9,0.5,50,1,0.03165129625365397,0.00132836606897689,30,0.0002425253535343687,0.00047534969292736264,percent_serviced
2,4,5,9,0.5,50,2,0.6090498818662458,0.005317304200500414,30,0.0009708024852436831,0.001902772871077619,percent_serviced
2,4,5,9,0.7,25,1,0.3438941684264637,0.010230556834960828,30,0.0018678355847822341,0.0036609577461731786,percent_serviced
2,4,5,9,0.7,25,2,0.9342559316029354,0.002267903482968157,30,0.00041406063195539763,0.0008115588386325794,percent_serviced
