scenario,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
"A: Pre-threshold gap
(0.30 gap below threshold)",20,1,18317,12358,5959,18317,0,5829,997,5531,7.790176403948859,8.69880438936507,0.30195992793579735,0.4735445205479452,0.3253261997051919,96271.0,159336.0
"A: Pre-threshold gap
(0.30 gap below threshold)",20,2,18271,10421,7850,18271,0,5263,876,4277,8.309279339794646,8.737452794045208,0.23408680422527503,0.36618150684931505,0.4296426030321274,86591.0,159642.0
"A: Pre-threshold gap
(0.30 gap below threshold)",21,1,18602,12520,6082,18602,0,5970,974,5574,7.728594249201278,8.64600580582733,0.29964519944092033,0.4772260273972603,0.3269540909579615,96762.0,160833.0
"A: Pre-threshold gap
(0.30 gap below threshold)",21,2,18206,10402,7804,18206,0,5263,820,4317,8.192078446452605,8.661155662968252,0.2371196308909151,0.36960616438356164,0.4286498956388004,85214.0,157685.0
"A: Pre-threshold gap
(0.30 gap below threshold)",22,1,18087,12358,5729,18087,0,5823,958,5574,7.625748502994012,8.502570907281473,0.30817714380494277,0.4772260273972603,0.3167468347431857,94239.0,153786.0
"A: Pre-threshold gap
(0.30 gap below threshold)",22,2,18212,10297,7915,18212,0,5162,923,4209,8.152471593668059,8.597682846474852,0.23111135515045025,0.3603595890410959,0.43460355809356466,83946.0,156581.0
"A: Pre-threshold gap
(0.30 gap below threshold)",23,1,18241,12359,5882,18241,0,5924,969,5462,7.714863662108585,8.596129598157995,0.29943533797489175,0.46763698630136985,0.32246039142590865,95348.0,156802.0
"A: Pre-threshold gap
(0.30 gap below threshold)",23,2,18055,10373,7682,18055,0,5125,859,4385,8.135640605417912,8.580227083910275,0.2428690113541955,0.3754280821917808,0.42547770700636944,84391.0,154916.0
"A: Pre-threshold gap
(0.30 gap below threshold)",24,1,18375,12300,6075,18375,0,5812,980,5501,7.757235772357723,8.66312925170068,0.2993741496598639,0.4709760273972603,0.3306122448979592,95414.0,159185.0
"A: Pre-threshold gap
(0.30 gap below threshold)",24,2,18424,10446,7978,18424,0,5237,869,4334,8.229178632969557,8.669072948328267,0.23523664785062962,0.37106164383561646,0.43302214502822406,85962.0,159719.0
"A: Pre-threshold gap
(0.30 gap below threshold)",25,1,18107,12385,5722,18107,0,5832,965,5585,7.557771497779572,8.418788313911747,0.3084442480808527,0.4781678082191781,0.316010382724913,93603.0,152439.0
"A: Pre-threshold gap
(0.30 gap below threshold)",25,2,18220,10268,7952,18220,0,5131,857,4279,7.982177639267627,8.399615806805707,0.23485181119648738,0.3663527397260274,0.43644346871569706,81961.0,153041.0
"A: Pre-threshold gap
(0.30 gap below threshold)",26,1,17987,12263,5724,17987,0,5839,982,5436,7.640626274158036,8.502974370378606,0.3022182687496525,0.4654109589041096,0.3182298326569189,93697.0,152943.0
"A: Pre-threshold gap
(0.30 gap below threshold)",26,2,18044,10278,7766,18044,0,5026,919,4331,8.0842576376727,8.4946796719131,0.24002438483706495,0.37080479452054793,0.4303923741964088,83090.0,153278.0
"A: Pre-threshold gap
(0.30 gap below threshold)",27,1,18116,12328,5788,18116,0,5781,961,5586,7.7178780012978585,8.617023625524398,0.3083462132921175,0.47825342465753423,0.3194965776109516,95146.0,156106.0
