background_id,n_paired_seeds,class_1_standby_joined_on_arm,class_2_standby_joined_on_arm,class_1_standby_recalled_on_arm,class_2_standby_recalled_on_arm,class_1_standby_expired_on_arm,class_2_standby_expired_on_arm,class_1_standby_recall_rate_on_arm,class_2_standby_recall_rate_on_arm,class_1_mean_standby_wait_days_on_arm,class_2_mean_standby_wait_days_on_arm,class_1_mean_original_offered_delay_recalled_on_arm,class_2_mean_original_offered_delay_recalled_on_arm,delta_utilization,delta_utilization_ci_low,delta_utilization_ci_high,utilization_status,delta_class_1_no_show_rate,delta_class_1_no_show_rate_ci_low,delta_class_1_no_show_rate_ci_high,class_1_no_show_rate_status,delta_class_2_no_show_rate,delta_class_2_no_show_rate_ci_low,delta_class_2_no_show_rate_ci_high,class_2_no_show_rate_status,delta_mean_accepted_delay,delta_mean_accepted_delay_ci_low,delta_mean_accepted_delay_ci_high,delta_class_1_served_rate,delta_class_1_served_rate_ci_low,delta_class_1_served_rate_ci_high,delta_class_2_served_rate,delta_class_2_served_rate_ci_low,delta_class_2_served_rate_ci_high,delta_overall_served_rate,delta_overall_served_rate_ci_low,delta_overall_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,horizon_days,rho,class1_share,slots_per_day,condition_satisfied
BG00022,20,150.7,2631.2,0.9,0.0,0.0,0.0,0.00594522361790244,0.0,0.75,0.0,0.575,0.0,-0.0011479452054796002,-0.002424657534246475,0.00011780821917789021,inconclusive,0.003132919239483075,0.0003324558578932708,0.006532149728081207,inconclusive,0.00019719550057962395,-0.0005074926824451548,0.0008491270794730274,inconclusive,0.0004204430083468713,-0.018946871287070614,0.01893166239580118,-0.00203911362767929,-0.008127740766288695,0.004138396008418285,-0.0010482168088441685,-0.002436758005184274,0.00043757787851084917,-0.00114521981252248,-0.002579545075270075,0.00027905510279035615,0.000827502152568127,-0.017287945404014557,0.019529584061460423,7,2.0,0.1,50,False
BG00023,20,690.55,805.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004760273972601814,-0.003260273972602672,0.0021854452054799536,inconclusive,3.160200987790129e-05,-0.0011128382716799642,0.0013387408268508664,inconclusive,0.000152646916819367,-0.0010729094145224757,0.0014685160644548703,inconclusive,-0.0008147566989110012,-0.007731486102257826,0.005849797405494642,0.0007462488135569295,-0.000736845961566045,0.002186116454607109,-5.858005678620048e-05,-0.0017099026885489727,0.0015987899022542286,-3.949368868161884e-05,-0.0013960647121038878,0.0012483196088888106,-0.00027366158776347403,-0.007407622062662807,0.00673638597821598,7,3.0,0.3,40,False
BG00024,20,263.5,2449.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016027397260273968,-0.004581027397260145,0.0014384931506849095,inconclusive,-5.749463910149077e-05,-0.00304096088855803,0.0027578355957805388,inconclusive,-0.00121272111887933,-0.0029650150442623343,0.0006743433437365947,inconclusive,-0.0005419493187373201,-0.002599390747372299,0.0013740153383211284,0.00016591874684908082,-0.0033295849245950607,0.003492742520739268,0.0006461876490264001,-0.0012127896431384413,0.002332599044663269,0.00033072156375266447,-0.0016756029459630078,0.0022580834362003,-0.00070996569930318,-0.0027469519019589638,0.0011558179149273166,7,1.2,0.3,50,False
BG00025,20,366.8,1104.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006027397260274792,-0.0017808219178081961,0.000493264840182452,inconclusive,0.0014338938674203043,-0.0011917697529782493,0.0039880625481160436,inconclusive,0.00011707397263922472,-0.00025608284120165275,0.0004937190584346196,inconclusive,-0.00403843579619827,-0.010300865901071337,0.001953791015034329,0.003028085225125396,-0.0024293410473169765,0.008259496530593045,-0.0005494937433431629,-0.0020873616329065672,0.0008431100811977689,-9.789654332455489e-05,-0.0014424299258595957,0.0011772213045371266,-0.0037847198548699003,-0.010573154582549612,0.0030103300019317693,7,3.0,0.1,30,False
BG00026,20,572.35,440.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003287671232877043,-0.004260273972602764,0.003390753424657522,inconclusive,0.0020334720493426343,-0.00038584633008649955,0.004353778681619768,inconclusive,-8.20867937036028e-05,-0.002149441681416699,0.002040781071535973,inconclusive,-7.120720185717515e-05,-0.0015187626685737585,0.0013739093971954792,-0.0016990831952092334,-0.00679092832909236,0.003047757500377182,-0.00012011274582263698,-0.004525707138220726,0.004490602262626633,-0.0010644629512862047,-0.004215884346008921,0.0019278283398997036,0.00016889052020368988,-0.001071702635408281,0.0015277120725719808,7,1.0,0.5,20,False
BG00027,20,1044.8,179.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.566210045725549e-06,-0.00196815068493166,0.0019727168949770627,inconclusive,0.0005038465727779555,-0.0010799927805181947,0.002059887271372296,inconclusive,0.00014641804200986528,-0.0026750922119701823,0.0028070886285106607,inconclusive,-0.005595043006609868,-0.019209555281256976,0.00657171221379929,-0.0011677687102178065,-0.003394809277112771,0.0009301980787014193,0.002678439704411417,-0.0006312529909715819,0.005891072050151675,0.0006733146048682303,-0.0011619465275293304,0.0024097529994627012,-0.005567875547872347,-0.018008534291794658,0.00668361287499295,7,1.6,0.5,30,False
BG00028,20,256.1,653.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018109589041095775,-0.006068561643835531,0.0025397945205479404,inconclusive,0.0007502649937264905,-0.0005781610719649928,0.002032261268141283,inconclusive,-0.0006680813959227712,-0.0030759406620080847,0.0015075486663132733,inconclusive,-0.0028048456240826504,-0.007017822737833322,0.0005015892734140172,-0.00024285840709533656,-0.0016906297387049602,0.0011013743978764807,0.0002832773881183581,-0.004172411513450811,0.004716711837043369,-0.0003973578096475638,-0.0017777436996540756,0.0008940806898733776,-0.0025561169984721905,-0.006696852156307482,0.0007113913500611796,7,1.0,0.7,50,False
BG00029,20,370.1,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004493150684929781,-0.0015918493150687016,0.002652123287671114,inconclusive,5.824910386622098e-05,-0.00121852793684893,0.0013237334239778816,inconclusive,-0.0003856307104776052,-0.0019965537472348867,0.0011864192264492187,inconclusive,-0.006151613589662985,-0.02190117509238057,0.009317880045547922,0.001651487394895268,-0.0006651025407915698,0.004086045400632843,-0.0005055807745062175,-0.0023529312432136566,0.0014844905653762352,0.0005465165190725235,-0.0011796842118279361,0.0023325329169715846,-0.006969703214084189,-0.02205953950551668,0.008018655624427022,7,2.0,0.5,50,False
BG00030,20,348.1,350.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008054794520547647,-0.012335787671232641,-0.0036162671232873923,contradicted,-0.0007042983104030041,-0.0018057935905468707,0.00027327815707025953,inconclusive,1.2596775925795278e-05,-0.002306159563376999,0.0018879189841038233,inconclusive,-0.06314734378375784,-0.10003596224253823,-0.02868635804823865,0.0015534396053410726,-0.0020763732666370417,0.005377807651631917,-0.0013675057746724173,-0.005297611759038322,0.0028952748471548252,9.518326444409309e-05,-0.002306016228979001,0.0025611421910400212,-0.06340499216422915,-0.10267092671240019,-0.028440791778694314,7,1.2,0.5,20,False
BG00031,20,73.45,1322.45,1.65,0.0,0.0,0.0,0.023157232596733184,0.0,1.25,0.0,0.7842105263157894,0.0,-0.00013150684931506618,-0.0012219863013700053,0.0008904794520548789,inconclusive,-0.0011649573784004775,-0.00559635283089022,0.003483730422574104,inconclusive,-5.059113049635244e-06,-0.0004511384054058583,0.00047265020766915636,inconclusive,0.014645786698891073,-0.00028892012890314957,0.029501530700992085,0.0009141510354860494,-0.004471968387437308,0.006264742713114763,-0.0021637127607295054,-0.004123596650579551,-4.5879131546582017e-05,-0.0018189814111443576,-0.0034999660475824703,-8.607009050794651e-05,0.014483234038298565,-0.001322027396567486,0.02947443915506666,7,2.0,0.1,50,False
