class1_xi_high,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.0,45,0.913527397260274,0.29170542211522676,10663,11877.0,8.403370690392677,9.368413853477048,0.36045302839634513,36554,23378,36554,13176,0,11683,1007,25
0.0,46,0.9222602739726027,0.2957564423420698,10754,11974.0,8.31191494768944,9.274002365171475,0.3507054261433954,36361,23609,36361,12752,0,11935,907,13
0.0,47,0.9218321917808219,0.2943432406519655,10745,11970.0,8.318397425038116,9.279824681550473,0.3531844952746199,36505,23612,36505,12893,0,11933,913,21
0.0,48,0.9206335616438356,0.2916972414730262,10733,11968.0,8.493397663788725,9.469058295964125,0.357847533632287,36795,23628,36795,13167,0,11958,928,9
0.0,49,0.919263698630137,0.29411925751519463,10743,11946.0,8.296247447243022,9.260964792202815,0.3565131687017467,36526,23504,36526,13022,0,11813,933,15
0.0,50,0.9228595890410959,0.29432295359109995,10794,11980.0,8.29129587253157,9.25710312482958,0.3565468724436931,36674,23598,36674,13076,0,11895,902,7
0.0,51,0.9184075342465754,0.2940014811157739,10719,11928.0,8.371081986681936,9.332647631586164,0.35332839628075374,36459,23577,36459,12882,0,11881,956,21
0.0,52,0.9226027397260274,0.29519394305151697,10761,11978.0,8.385363357215967,9.353431722170406,0.3567784056619301,36454,23448,36454,13006,0,11781,898,8
0.0,53,0.9199486301369864,0.2939404726048027,10735,11952.0,8.436068904219749,9.398975931655759,0.3530571452041291,36521,23627,36521,12894,0,11942,937,13
0.0,54,0.9180650684931507,0.29390720457922836,10680,11917.0,8.28230114972005,9.22692498211239,0.3561285706423028,36338,23397,36338,12941,0,11728,967,22
0.0,55,0.9165239726027398,0.29468492546772107,10695,11900.0,8.263566221919094,9.207450472542915,0.35362191056126524,36293,23459,36293,12834,0,11795,964,5
0.0,56,0.9207191780821918,0.29306200491668943,10729,11969.0,8.340553856608903,9.314640808522261,0.3568970226714013,36610,23544,36610,13066,0,11879,924,12
0.0,57,0.9174657534246575,0.29337755605504084,10703,11919.0,8.350006358357,9.316183323282715,0.3533523381393564,36482,23591,36482,12891,0,11909,959,20
0.0,58,0.9184931506849315,0.29417571569595263,10728,11932.0,8.337129551227774,9.291652956016234,0.3523088735329604,36468,23620,36468,12848,0,11931,946,15
0.0,59,0.9220034246575343,0.29431401521370326,10756,11983.0,8.356836062088028,9.329475181962458,0.3565643298856236,36546,23515,36546,13031,0,11843,906,10
0.0,60,0.9218321917808219,0.2936893203883495,10769,11978.0,8.369389225617768,9.341878477146286,0.3565779426202684,36668,23593,36668,13075,0,11895,914,15
0.0,61,0.9210616438356164,0.2909677244519119,10737,11966.0,8.407668724539079,9.381561475298772,0.35473293406682743,36901,23811,36901,13090,0,12142,917,15
0.0,62,0.9217465753424657,0.2948841036894802,10750,11987.0,8.33343286128647,9.297846660266082,0.3569057742422164,36455,23444,36455,13011,0,11771,909,14
0.0,63,0.9175513698630137,0.28998889761434105,10709,11926.0,8.552171341669483,9.55934360529665,0.3589861626364104,36929,23672,36929,13257,0,11998,956,9
0.0,64,0.9227739726027397,0.2981523033879055,10763,11977.0,8.248182717536238,9.198038726834538,0.3559655392116125,36099,23249,36099,12850,0,11574,909,3
0.0,65,0.9237157534246575,0.29478408406764817,10772,11986.0,8.289563292755597,9.258313490434354,0.3569805950132742,36542,23494,36537,13043,5,11800,907,15
0.0,66,0.9195205479452054,0.2911962657403387,10730,11942.0,8.465754577983583,9.449305254016501,0.3553245766391663,36848,23755,36848,13093,0,12069,928,28
0.0,67,0.9206335616438356,0.29497506712696586,10766,11958.0,8.329250138233167,9.29228998849252,0.35582771658721024,36498,23511,36498,12987,0,11808,928,9
0.0,68,0.9184075342465754,0.2930394937813659,10744,11924.0,8.37523705170888,9.346225180013091,0.35279838533711544,36664,23729,36664,12935,0,12019,957,9
0.0,69,0.916695205479452,0.2950918895124904,10726,11910.0,8.30839811392889,9.264856388246946,0.3523440079234071,36348,23541,36348,12807,0,11828,973,14
0.0,70,0.9148972602739726,0.2925326542347819,10683,11902.0,8.260444254592056,9.220241518113859,0.3589638270489334,36519,23410,36519,13109,0,11723,984,20
0.0,71,0.9220890410958904,0.29878794618036253,10748,11967.0,8.2935519876363,9.245107305682197,0.35244078727899475,35972,23294,35972,12678,0,11627,908,11
