class1_xi_high,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
0.0,37,1,18399,11789,6610,18399,0,5985,0,5796,8.392993468487573,9.372791999565194,0.3150171204956791,0.49623287671232874,0.3592586553617044,98945.0,172450.0
0.0,37,2,18402,11811,6591,18402,0,5942,924,4940,8.37278807890949,9.355722204108249,0.2684490816215629,0.4229452054794521,0.35816759047929575,98891.0,172164.0
0.0,38,1,18406,11838,6568,18406,0,5952,0,5885,8.367376245987497,9.340649788112572,0.31973269586004566,0.5038527397260274,0.35684016081712483,99053.0,171924.0
0.0,38,2,18291,11641,6650,18291,0,5864,906,4868,8.402113220513701,9.383521950686129,0.26614181838062434,0.41678082191780824,0.36356678147722926,97809.0,171634.0
0.0,39,1,18339,11871,6468,18339,0,6030,0,5835,8.380675595990228,9.32335459948743,0.31817438246360213,0.4995719178082192,0.35269098642237856,99487.0,170981.0
0.0,39,2,18217,11655,6562,18217,0,5811,921,4920,8.33959673959674,9.314431574902564,0.2700774002305539,0.4212328767123288,0.3602129878684745,97198.0,169681.0
0.0,40,1,18495,11779,6716,18495,0,5899,0,5869,8.42083368707021,9.408056231413896,0.31732900783995677,0.5024828767123287,0.363125168964585,99189.0,174002.0
0.0,40,2,18144,11654,6490,18144,0,5841,940,4864,8.420542303071906,9.390652557319225,0.26807760141093473,0.41643835616438357,0.3576940035273369,98133.0,170384.0
0.0,41,1,18284,11755,6529,18284,0,5952,0,5794,8.251127179923436,9.227521330124699,0.3168890833515642,0.49606164383561646,0.3570881645154233,96992.0,168716.0
0.0,41,2,18196,11805,6391,18196,0,5932,936,4932,8.304108428631936,9.246207957792922,0.27104858210595734,0.42226027397260274,0.3512310397889646,98030.0,168244.0
0.0,42,1,18170,11691,6479,18170,0,5898,0,5791,8.253870498674194,9.210842047330765,0.31871216290588883,0.49580479452054793,0.3565767749036874,96496.0,167361.0
0.0,42,2,18052,11615,6437,18052,0,5742,926,4944,8.226947912182522,9.193385774429427,0.27387547086195435,0.4232876712328767,0.3565809882561489,95556.0,165959.0
0.0,43,1,18197,11782,6415,18197,0,5959,0,5817,8.388813444236972,9.331098532725175,0.3196680771555751,0.49803082191780823,0.3525306369181733,98837.0,169798.0
0.0,43,2,18196,11774,6422,18196,0,5918,899,4936,8.335569899779175,9.29511980655089,0.27126841063970103,0.4226027397260274,0.3529347109254781,98143.0,169134.0
0.0,44,1,18454,11968,6486,18454,0,6094,0,5872,8.26821524064171,9.228568332068928,0.318196596943752,0.5027397260273972,0.35146851631082693,98954.0,170304.0
