seed,signed_step_effect,signed_gap_effect,absolute_step_effect,absolute_gap_effect,absolute_effect_difference,share_gap_larger
42,0.011876111977043698,-0.0055878653342539344,0.011876111977043698,0.006021544602115105,-0.005854567374928593,0.16
43,0.012520796887434465,-0.005516838698534992,0.012520796887434465,0.006045036384484203,-0.006475760502950261,0.16
44,0.012409115685263102,-0.005180546752383202,0.012409115685263102,0.005455071500829316,-0.0069540441844337855,0.04
45,0.01237755362689227,-0.0054062809048865115,0.01237755362689227,0.0057867190184371945,-0.006590834608455077,0.24
46,0.012557953149860053,-0.005766771336082744,0.012557953149860053,0.00581676760662529,-0.006741185543234761,0.16
47,0.012021323895173453,-0.006396398087345843,0.012021323895173453,0.006396398087345843,-0.005624925807827609,0.24
48,0.012395555606877107,-0.005124603893686822,0.012395555606877107,0.005555651438414713,-0.0068399041684623916,0.12
49,0.012389930741640489,-0.005993359507936574,0.012389930741640489,0.006270121245575636,-0.006119809496064853,0.24
50,0.012566688382357012,-0.00546672149754562,0.012566688382357012,0.005472683691471342,-0.007094004690885669,0.12
51,0.012315941749169034,-0.005449557313441779,0.012315941749169034,0.005942987765950587,-0.006372953983218449,0.16
52,0.013230181061893975,-0.005233529512578575,0.013230181061893975,0.005626268053406728,-0.007603913008487246,0.12
53,0.01276145866850697,-0.00544848892525336,0.01276145866850697,0.005880267646093315,-0.006881191022413656,0.16
54,0.012443771622250924,-0.00568445274048184,0.012443771622250924,0.00568445274048184,-0.006759318881769083,0.12
55,0.012276681769669277,-0.00556434878989371,0.012276681769669277,0.005930627663821901,-0.006346054105847377,0.2
56,0.012338398395217278,-0.005127871296903879,0.012338398395217278,0.005781292222788972,-0.006557106172428306,0.08
57,0.011443554869519567,-0.00604753894268351,0.011443554869519567,0.006501446136708444,-0.004942108732811123,0.28
58,0.0124102616067558,-0.005689176150695719,0.0124102616067558,0.005692360516839092,-0.006717901089916708,0.12
59,0.012100837081910428,-0.0056616548786045315,0.012100837081910428,0.006104000099039648,-0.00599683698287078,0.2
60,0.012156465292582378,-0.005893836847826782,0.012156465292582378,0.005914895192978918,-0.006241570099603461,0.2
61,0.01244303500829305,-0.0051177381766800275,0.01244303500829305,0.005281414456886814,-0.007161620551406238,0.16
62,0.012278764260183594,-0.005401110942989891,0.012278764260183594,0.005401110942989891,-0.006877653317193704,0.16
63,0.01197809473688845,-0.005671075529211193,0.01197809473688845,0.005815702817614074,-0.006162391919274373,0.24
64,0.013029607636852934,-0.006030567510990037,0.013029607636852934,0.006168161953570317,-0.006861445683282616,0.2
65,0.012292895507590803,-0.005798244475732589,0.012292895507590803,0.006306180591494138,-0.0059867149160966636,0.16
66,0.012173165942404722,-0.0056595131656751296,0.012173165942404722,0.005766966677976117,-0.006406199264428606,0.24
67,0.012343949066615617,-0.005282508066248402,0.012343949066615617,0.005685242246776263,-0.006658706819839355,0.16
68,0.012676921977515954,-0.005143544887205392,0.012676921977515954,0.005474459129170287,-0.007202462848345668,0.2
69,0.012609467457312853,-0.0056561009469597925,0.012609467457312853,0.006282475620686203,-0.006326991836626649,0.16
70,0.012692320408529831,-0.0051833821654585525,0.012692320408529831,0.005950111254708168,-0.006742209153821664,0.16
71,0.012686979377540184,-0.005443492194946981,0.012686979377540184,0.006246114542275515,-0.006440864835264668,0.2
72,0.012086232233877378,-0.006290220377588508,0.012086232233877378,0.006438701782010158,-0.005647530451867219,0.36
73,0.012574455292878817,-0.00557740774713705,0.012574455292878817,0.005655543600530718,-0.006918911692348099,0.2
74,0.013196085323807448,-0.004551104330864718,0.01327030628105581,0.0050025350112305215,-0.008267771269825289,0.12
75,0.012618697377856702,-0.005339872640189397,0.012618697377856702,0.005575198627406713,-0.00704349875044999,0.12
76,0.0126711317070787,-0.005523226880860862,0.0126711317070787,0.00602827864635645,-0.00664285306072225,0.16
77,0.011924883393857952,-0.005750389479577461,0.011924883393857952,0.006031201112579946,-0.005893682281278007,0.12
78,0.0121672415079176,-0.0055605835453484045,0.0121672415079176,0.0058386993198628915,-0.0063285421880547085,0.12
79,0.0119546543275432,-0.005535398000041349,0.0119546543275432,0.005696551178022129,-0.006258103149521069,0.2
80,0.011458600680446447,-0.0056101832986129065,0.011458600680446447,0.005747691530909876,-0.005710909149536571,0.12
81,0.012679415217407196,-0.005757764385496204,0.012745323635838402,0.006165049749775043,-0.006580273886063359,0.2
82,0.012382340132885613,-0.005440854419267262,0.012382340132885613,0.005918953513155182,-0.006463386619730429,0.2
83,0.011865810780396764,-0.0055897725032678204,0.011865810780396764,0.006207613771567111,-0.005658197008829654,0.2
84,0.012023902690505232,-0.005606455267986331,0.012023902690505232,0.005732129402628921,-0.006291773287876311,0.2
85,0.012294814951747697,-0.005610743818773594,0.012294814951747697,0.005937457056364492,-0.006357357895383204,0.2
86,0.012124406545045471,-0.0056982049227999034,0.012124406545045471,0.005978598101217338,-0.006145808443828133,0.16
87,0.012203084590117723,-0.005466635642547626,0.012203084590117723,0.00603056687371919,-0.006172517716398535,0.16
88,0.012583168830968659,-0.0051759129198820355,0.012583168830968659,0.005272985704517967,-0.0073101831264506915,0.12
89,0.012341023118489343,-0.0048793182168539555,0.012341023118489343,0.0048927631758456415,-0.007448259942643701,0.0
90,0.013177017842012424,-0.004968861288920546,0.013177017842012424,0.005454585915348277,-0.007722431926664147,0.12
91,0.012427464396271497,-0.005609522425894353,0.012427464396271497,0.005887017088024693,-0.006540447308246803,0.08
92,0.012505415997606111,-0.005578428742670331,0.012505415997606111,0.005637922611052875,-0.006867493386553237,0.16
93,0.012445855853804103,-0.005402292966564601,0.012445855853804103,0.005715604560496004,-0.006730251293308097,0.2
94,0.012825713744754007,-0.0057138948614992476,0.012825713744754007,0.0057138948614992476,-0.00711181888325476,0.16
95,0.011888006350547233,-0.005808217948238636,0.011888006350547233,0.005808217948238636,-0.006079788402308597,0.12
96,0.01201056355409634,-0.005885182947830176,0.01201056355409634,0.006261624940654608,-0.005748938613441731,0.2
97,0.012604530604816575,-0.005661866452271712,0.012604530604816575,0.005751063452718531,-0.006853467152098045,0.12
98,0.01220145942420166,-0.005823265358288515,0.01220145942420166,0.0065372442200139725,-0.005664215204187687,0.2
99,0.011773416377785118,-0.005161996256395105,0.011896113070023973,0.005555655883865165,-0.006340457186158808,0.2
100,0.011974436051801157,-0.005786546362629534,0.011974436051801157,0.005961045754346692,-0.006013390297454465,0.16
