seed,step_index,gap_index,within_step,post_gap,served_base,served_step_up,served_gap_up,delta_step,delta_gap,abs_delta_step,abs_delta_gap,effect_difference,gap_effect_larger
3,0,1,0.0,0.1,0.20112657388999336,0.2165837479270315,0.19540419904116382,0.01545717403703814,-0.005722374848829537,0.01545717403703814,0.005722374848829537,-0.009734799188208604,False
3,0,2,0.0,0.2,0.19540419904116382,0.21085433787435884,0.19239839850819943,0.015450138833195015,-0.0030058005329643978,0.015450138833195015,0.0030058005329643978,-0.012444338300230617,False
3,0,3,0.0,0.3,0.19239839850819943,0.20702085181898847,0.18281172379533037,0.014622453310789041,-0.009586674712869059,0.014622453310789041,0.009586674712869059,-0.005035778597919982,False
3,0,4,0.0,0.4,0.18281172379533037,0.20004354689456208,0.1818231620466747,0.017231823099231713,-0.0009885617486556642,0.017231823099231713,0.0009885617486556642,-0.01624326135057605,False
3,1,0,0.1,0.0,0.22275658541917148,0.23813186813186812,0.2165837479270315,0.015375282712696642,-0.006172837492139982,0.015375282712696642,0.006172837492139982,-0.00920244522055666,False
3,1,1,0.1,0.1,0.2165837479270315,0.22768960404195726,0.21085433787435884,0.01110585611492576,-0.005729410052672662,0.01110585611492576,0.005729410052672662,-0.0053764460622530985,False
3,1,2,0.1,0.2,0.21085433787435884,0.22258467895394987,0.20702085181898847,0.011730341079591033,-0.003833486055370372,0.011730341079591033,0.003833486055370372,-0.007896855024220661,False
3,1,3,0.1,0.3,0.20702085181898847,0.216053108026554,0.20004354689456208,0.009032256207565537,-0.006977304924426386,0.009032256207565537,0.006977304924426386,-0.0020549512831391503,False
3,1,4,0.1,0.4,0.20004354689456208,0.20761904761904762,0.1919497944167929,0.00757550072448554,-0.008093752477769167,0.00757550072448554,0.008093752477769167,0.0005182517532836273,True
3,2,0,0.2,0.0,0.23813186813186812,0.24912549191080016,0.22768960404195726,0.010993623778932038,-0.010442264089910863,0.010993623778932038,0.010442264089910863,-0.0005513596890211747,False
3,2,1,0.2,0.1,0.22768960404195726,0.24480407914426647,0.22258467895394987,0.017114475102309207,-0.005104925088007389,0.017114475102309207,0.005104925088007389,-0.012009550014301817,False
3,2,2,0.2,0.2,0.22258467895394987,0.23301819771572216,0.216053108026554,0.010433518761772287,-0.006531570927395869,0.010433518761772287,0.006531570927395869,-0.003901947834376418,False
3,2,3,0.2,0.3,0.216053108026554,0.23028512012258523,0.20761904761904762,0.014232012096031227,-0.008434060407506383,0.014232012096031227,0.008434060407506383,-0.005797951688524844,False
3,2,4,0.2,0.4,0.20761904761904762,0.2255825483391175,0.21010179674027923,0.017963500720069886,0.0024827491212316144,0.017963500720069886,0.0024827491212316144,-0.015480751598838272,False
3,3,0,0.3,0.0,0.24912549191080016,0.2598297964020252,0.24480407914426647,0.01070430449122503,-0.004321412766533694,0.01070430449122503,0.004321412766533694,-0.006382891724691336,False
3,3,1,0.3,0.1,0.24480407914426647,0.252681632201703,0.23301819771572216,0.00787755305743651,-0.01178588142854431,0.00787755305743651,0.01178588142854431,0.0039083283711078,True
3,3,2,0.3,0.2,0.23301819771572216,0.24935774801858432,0.23028512012258523,0.01633955030286216,-0.002733077593136929,0.01633955030286216,0.002733077593136929,-0.013606472709725231,False
3,3,3,0.3,0.3,0.23028512012258523,0.24046774551097316,0.2255825483391175,0.010182625388387934,-0.004702571783467724,0.010182625388387934,0.004702571783467724,-0.00548005360492021,False
3,3,4,0.3,0.4,0.2255825483391175,0.23301078241636716,0.21589164290414564,0.007428234077249657,-0.009690905434971864,0.007428234077249657,0.009690905434971864,0.002262671357722207,True
3,4,0,0.4,0.0,0.2598297964020252,0.2685560793772613,0.252681632201703,0.008726282975236088,-0.007148164200322216,0.008726282975236088,0.007148164200322216,-0.0015781187749138725,False
3,4,1,0.4,0.1,0.252681632201703,0.2662501370163323,0.24935774801858432,0.013568504814629345,-0.0033238841831186583,0.013568504814629345,0.0033238841831186583,-0.010244620631510687,False
3,4,2,0.4,0.2,0.24935774801858432,0.2538817310868847,0.24046774551097316,0.004523983068300402,-0.008890002507611156,0.004523983068300402,0.008890002507611156,0.004366019439310753,True
3,4,3,0.4,0.3,0.24046774551097316,0.2528409090909091,0.23301078241636716,0.012373163579935953,-0.007456963094606001,0.012373163579935953,0.007456963094606001,-0.004916200485329952,False
3,4,4,0.4,0.4,0.23301078241636716,0.24437158469945355,0.2296312411617535,0.01136080228308639,-0.0033795412546136494,0.01136080228308639,0.0033795412546136494,-0.007981261028472741,False
