scenario_id,lambda_total,class_1_share,class_1_balk_step,class_2_balk_step,class_1_balk_threshold,class_2_balk_threshold,class_1_no_show_step,class_2_no_show_step,class_1_no_show_threshold,class_2_no_show_threshold,class_1_cancel_prob,class_2_cancel_prob,average_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,total_arrivals,total_booked,served_rate,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,lost_after_booking_rate,balk_step_mean,balk_step_gap_c1_minus_c2,balk_threshold_mean,balk_threshold_gap_c1_minus_c2,no_show_step_mean,no_show_step_gap_c1_minus_c2,no_show_threshold_mean,no_show_threshold_gap_c1_minus_c2,cancel_prob_mean,cancel_prob_gap_c1_minus_c2
10,90.01596523310425,0.42824732229273466,0.17188069218685664,0.005266236926984802,11,2,0.6648057856811569,0.09606671913972942,3,2,0.1772197061790692,0.1967122959474784,0.7969178082191781,0.2833301723708156,7.180438556400558,7.189873063406538,0.23408224958846952,0.32023893956893373,0.004008376756979252,0.003377873089481846,0.0044804486341457565,0.28163527397260274,0.514083904109589,7.176442120154068,7.1999605970409135,-0.08615668998046423,-0.0011025755446639105,0.02351847688684483,32803.5,32672.0,0.2833301723708156,0.004008376756979252,0.0,0.640326188693783,0.07225901768827007,7.624449015210743e-05,0.7126614508722051,0.08857346455692072,0.16661445525987184,6.5,9,0.38043625241044315,0.5687390665414275,2.5,1,0.18696600106327382,-0.019492589768409202
11,79.67073819185711,0.17813531973491792,0.5801551400086595,0.9785202077636398,5,8,0.20310495908940485,0.7392343148894226,1,6,0.08271898838925368,0.04896564129595824,0.5115582191780822,0.20642774418734788,6.986829747887465,7.820789764414643,0.23415744235929956,0.20031734913723598,0.44197286314915124,0.5231364830625559,0.42405649144572233,0.1047945205479452,0.40629280821917807,7.832665171107291,7.818124676320444,0.03384009322206359,0.09907999161683356,-0.014540494786847269,28918.0,16137.0,0.20642774418734788,0.44197286314915124,0.0,0.15445388980284003,0.19714550286066085,0.0,0.3515993926635009,0.7793376738861497,-0.39836506775498026,6.5,-3,0.4711696369894137,-0.5361293558000177,3.5,-5,0.06584231484260596,0.03375334709329544
12,139.0409255572797,0.552746903118651,0.6109133312043754,0.1417358810857261,7,9,0.17740086159678714,0.6154134735034241,3,3,0.25343801616656814,0.18754149015566837,0.7741866438356164,0.1770235106404566,7.621598733726735,8.434870217986834,0.17154085897744356,0.1838081416603001,0.25411686961451563,0.40204417620745136,0.07115609437701978,0.41446917808219175,0.35903253424657533,8.443943166044894,8.423641244000326,-0.01226728268285654,0.3308880818304316,-0.0203019220445686,51036.0,38065.0,0.1770235106404566,0.2541068890387622,3.900992802668279e-05,0.5170603423689137,0.051632997624055196,0.00013725039978562976,0.5688305903927545,0.37632460614505076,0.4691774501186493,8.0,-2,0.39640716755010563,-0.438012611906637,3.0,0,0.22048975316111824,0.06589652601089976
13,52.735617825635316,0.6071674421560674,0.28754582921635663,0.24695339131113636,12,10,0.1871122986417465,0.6095250524969994,9,5,0.0216638377275441,0.12419733541663006,0.817251712328767,0.49564860117034665,9.807785394383838,9.976045243886556,0.6997053357159043,0.17974416332737492,0.07869488250683943,0.019094679471461255,0.17096990575687096,0.7005993150684932,0.11626712328767123,9.977401072814974,9.973926197885268,0.5199611723885293,-0.15187522628540973,-0.0034748749297053294,19249.5,17734.5,0.49564860117034665,0.07869488250683943,0.0,0.3107892081111877,0.11258232428134016,0.002284983930286033,0.4256565163228139,0.2672496102637465,0.04059243790522027,11.0,2,0.39831867556937295,-0.4224127538552529,7.0,4,0.07293058657208708,-0.10253349768908596
14,58.20138624196232,0.1409020322530962,0.0812563190691814,0.04111236115550265,3,0,0.29378606918862415,0.435529654476158,0,2,0.2634742771333334,0.07742355288869192,0.6351027397260274,0.3483707605285286,7.040114174720469,7.047385481280646,0.1592458361770712,0.3790049178053664,0.04343245003911182,0.06504726587669069,0.03993133322965803,0.04045376712328767,0.5943493150684931,7.086592385659019,7.041033890809871,-0.21975908162829516,0.025115932647032654,-0.04555849484914809,21284.0,20359.5,0.3483707605285286,0.04343245003911182,0.0,0.40729840217925256,0.200898387253107,0.0,0.6081967894323597,0.06118434011234203,0.04014395791367875,1.5,3,0.3646578618323911,-0.14174358528753384,1.0,-2,0.17044891501101264,0.18605072424464147
15,158.75579218800507,0.28806769334139837,0.020814583758622995,0.4662119720833061,0,8,0.8848296877061697,0.6893118969788191,5,0,0.14051817231408192,0.04532823475917099,0.33762842465753423,0.06771525552916473,10.083030124161176,10.679409467067934,0.061142416761245134,0.07037778910258324,0.26558945403905865,0.021810585859139732,0.36374791282585583,0.0872431506849315,0.2483304794520548,10.68238739802949,10.678137437282663,-0.009235372341338116,-0.3419373269667161,-0.004249960746827597,57884.5,22112.0,0.06771525552916473,0.13814820974927444,0.4798441888487791,0.18011064500060153,0.133455971719589,0.0007257291525911136,0.31429234587278165,0.24351327792096455,-0.4453973883246831,4.0,-8,0.7870707923424944,0.19551779072735054,2.5,5,0.09292320353662646,0.09518993755491093
16,72.87904431411476,0.6978923603677327,0.8466293311975924,0.9177912716705119,12,3,0.3997241035313548,0.3964156548132082,9,2,0.020323030722648173,0.176437490649479,0.6720034246575342,0.29278459573079363,10.860031827996071,11.492451670369281,0.4059628990584665,0.028958790352735887,0.4446242744986473,0.2542079483528784,0.8884699925215007,0.6491010273972603,0.01986301369863014,11.492178130158681,11.493117848685031,0.37700410870573065,-0.6342620441686222,0.0009397185263493313,26686.5,14821.0,0.29278459573079363,0.4446242744986473,0.0,0.11768096916931398,0.14283034596590144,0.0020798146353437586,0.26259112977055915,0.8822103014340521,-0.07116194047291946,7.5,9,0.3980698791722815,0.003308448718146617,5.5,7,0.09838026068606359,-0.15611445992683082
17,100.73028256277506,0.49073913176341655,0.4584682884665179,0.9943008238269442,7,11,0.6855992954475482,0.9474253300396968,13,4,0.2522480442317611,0.2873594332800169,0.8639982876712329,0.2758802823748634,5.419600198872379,5.641663147402191,0.32803722516705747,0.22632648247909537,0.08084852557723707,0.1659719940516287,0.0,0.5005565068493151,0.36361301369863014,5.632969791006415,5.649963463322561,0.10171074268796214,0.1659719940516287,0.01699367231614568,36586.5,33628.5,0.2758802823748634,0.08084852557723707,0.0,0.5997163378976859,0.0435548541502137,0.0,0.6432711920478995,0.726384556146731,-0.5358325353604263,9.0,-4,0.8165123127436225,-0.2618260345921486,8.5,9,0.26980373875588903,-0.03511138904825578
18,142.34377519341044,0.6964211154911387,0.3239502683081724,0.09068486033843959,10,0,0.872474574431107,0.3917509960384159,4,12,0.11451794728073547,0.1397556602691076,0.6028253424657535,0.1345791074396663,9.146325065765383,9.61919985313093,0.11267084504953202,0.18523579443496824,0.156091302681588,0.18450361916857078,0.09061976033663592,0.35184075342465754,0.25008561643835614,9.617399615066997,9.623105569713001,-0.0725649493854362,0.09388385883193484,0.005705954646004763,52241.5,28764.0,0.1345791074396663,0.10184025951555699,0.34755868098108034,0.32703232486668177,0.08856898984466427,0.0004206373523503648,0.4160219520636964,0.207317564323306,0.23326540796973283,5.0,10,0.6321127852347614,0.4807235783926911,8.0,-8,0.12713680377492154,-0.02523771298837213
19,138.53054853148944,0.8351855330697485,0.9966804672709942,0.21535544270136553,3,7,0.44386861245776854,0.6909666025439954,0,13,0.19975841504345207,0.18713562477042897,0.7403681506849316,0.17216671309519188,2.9950802100244394,3.6523632210859938,0.09066964868266905,0.5871066424677713,0.6537065538140244,0.7820928703958481,0.0,0.3257277397260274,0.41425513698630134,3.6509223479361763,3.659675929762334,-0.4964369937851022,0.7820928703958481,0.008753581826157708,50202.0,17384.5,0.17216671309519188,0.6537065538140244,0.0,0.1135616420741383,0.06056509101664538,0.0,0.17412673309078366,0.6060179549861799,0.7813250245696287,5.0,-4,0.567417607500882,-0.2470979900862269,6.5,-13,0.19344701990694052,0.012622790273023099
