hypothesis,background_id,selected_for_stage2,selection_reason,stage1_classification,stage2_classification,final_classification,stage_used,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2
H1,H1B0094,True,stage1_reversed,reversed,,reversed,1,S062,sobol_symmetric,2.0,0.7,16,21,21
H1,H1B0095,False,,inconclusive,,inconclusive,1,S063,sobol_symmetric,1.25,0.1,32,14,14
H1,H1B0096,False,,supported,,supported,1,S064,sobol_symmetric,3.1,0.9,16,28,28
H1,H1B0097,False,,supported,,supported,1,S065,sobol_symmetric,3.1,0.1,64,14,14
H1,H1B0098,False,,inconclusive,,inconclusive,1,S066,sobol_symmetric,1.25,0.9,16,28,28
H1,H1B0099,False,,supported,,supported,1,S067,sobol_symmetric,2.0,0.5,64,7,7
H1,H1B0100,False,,supported,,supported,1,S068,sobol_symmetric,4.0,0.7,16,21,21
H1,H1B0101,False,,supported,,supported,1,S069,sobol_symmetric,4.0,0.3,32,21,21
H1,H1B0102,False,,inconclusive,,inconclusive,1,S070,sobol_symmetric,1.25,0.7,32,7,7
H1,H1B0103,False,,inconclusive,,inconclusive,1,S071;X009,sobol_symmetric,0.8,0.1,16,28,28
H1,H1B0104,True,stage1_reversed,reversed,,reversed,1,S072,sobol_symmetric,3.1,0.9,64,14,14
H1,H1B0105,False,,supported,,supported,1,S073,sobol_symmetric,2.0,0.5,16,7,7
H1,H1B0106,False,,inconclusive,,inconclusive,1,S074,sobol_symmetric,0.8,0.5,64,21,21
H1,H1B0107,False,,inactive,,inactive,1,S075,sobol_symmetric,1.25,0.1,32,14,14
H1,H1B0108,False,,supported,,supported,1,S076,sobol_symmetric,4.0,0.9,32,28,28
H1,H1B0109,False,,supported,,supported,1,S077,sobol_symmetric,4.0,0.3,64,28,28
H1,H1B0110,False,,supported,,supported,1,S078,sobol_symmetric,2.0,0.7,16,14,14
H1,H1B0111,False,,inconclusive,,inconclusive,1,S079,sobol_symmetric,0.8,0.3,64,21,21
H1,H1B0112,False,,inconclusive,,inconclusive,1,S080,sobol_symmetric,3.1,0.7,32,7,7
H1,H1B0113,False,,supported,,supported,1,S081,sobol_symmetric,3.1,0.3,64,28,28
H1,H1B0114,False,,inconclusive,,inconclusive,1,S082,sobol_symmetric,0.8,0.7,16,14,14
H1,H1B0115,False,,inconclusive,,inconclusive,1,S083,sobol_symmetric,2.0,0.1,32,21,21
H1,H1B0116,True,stage1_reversed,reversed,,reversed,1,S084,sobol_symmetric,4.0,0.7,32,7,7
H1,H1B0117,False,,supported,,supported,1,S085,sobol_symmetric,4.0,0.1,16,7,7
H1,H1B0118,False,,inactive,,inactive,1,S086,sobol_symmetric,1.25,0.9,64,21,21
H1,H1B0119,False,,inconclusive,,inconclusive,1,S087,sobol_symmetric,0.8,0.5,32,14,14
H1,H1B0120,False,,supported,,supported,1,S088,sobol_symmetric,2.0,0.5,64,28,28
H1,H1B0121,False,,inconclusive,,inconclusive,1,S089,sobol_symmetric,2.0,0.1,16,21,21
H1,H1B0122,False,,inconclusive,,inconclusive,1,S090,sobol_symmetric,0.8,0.9,32,7,7
H1,H1B0123,False,,inactive,,inactive,1,S091,sobol_symmetric,1.25,0.3,16,28,28
H1,H1B0124,True,stage1_reversed,reversed,,reversed,1,S092,sobol_symmetric,3.1,0.7,64,14,14
H1,H1B0125,False,,supported,,supported,1,S093,sobol_symmetric,4.0,0.3,32,14,14
H1,H1B0126,False,,supported,,supported,1,S094,sobol_symmetric,2.0,0.5,32,28,28
H1,H1B0127,False,,inconclusive,,inconclusive,1,S095,sobol_symmetric,1.25,0.1,64,7,7
H1,H1B0128,True,stage1_reversed,reversed,,reversed,1,S096,sobol_symmetric,3.1,0.9,16,21,21
H1,H1B0129,False,,supported,,supported,1,S097,sobol_symmetric,3.1,0.5,32,28,28
H1,H1B0130,False,,inconclusive,,inconclusive,1,S098,sobol_symmetric,0.8,0.7,32,14,14
H1,H1B0131,False,,inconclusive,,inconclusive,1,S099,sobol_symmetric,1.25,0.1,16,21,21
H1,H1B0132,False,,supported,,supported,1,S100,sobol_symmetric,4.0,0.9,64,7,7
H1,H1B0133,False,,inconclusive,,inconclusive,1,S101,sobol_symmetric,3.1,0.1,64,7,7
H1,H1B0134,False,,inactive,,inactive,1,S102,sobol_symmetric,1.25,0.9,16,21,21
H1,H1B0135,False,,inconclusive,,inconclusive,1,S103,sobol_symmetric,0.8,0.3,64,14,14
H1,H1B0136,False,,supported,,supported,1,S104,sobol_symmetric,2.0,0.7,16,28,28
H1,H1B0137,False,,inconclusive,,inconclusive,1,S105,sobol_symmetric,2.0,0.1,64,21,21
H1,H1B0138,False,,inconclusive,,inconclusive,1,S106,sobol_symmetric,0.8,0.9,16,7,7
H1,H1B0139,False,,inconclusive,,inconclusive,1,S107,sobol_symmetric,1.25,0.5,32,28,28
H1,H1B0140,False,,supported,,supported,1,S108,sobol_symmetric,4.0,0.5,16,14,14
H1,H1B0141,False,,supported,,supported,1,S109,sobol_symmetric,4.0,0.3,16,14,14
H1,H1B0142,False,,supported,,supported,1,S110,sobol_symmetric,2.0,0.7,64,28,28
H1,H1B0143,False,,inconclusive,,inconclusive,1,S111,sobol_symmetric,0.8,0.3,32,7,7
H1,H1B0144,True,stage1_reversed,reversed,,reversed,1,S112,sobol_symmetric,3.1,0.9,32,21,21
H1,H1B0145,False,,supported,,supported,1,S113,sobol_symmetric,3.1,0.3,16,14,14
H1,H1B0146,False,,inconclusive,,inconclusive,1,S114,sobol_symmetric,0.8,0.7,64,28,28
H1,H1B0147,False,,supported,,supported,1,S115,sobol_symmetric,2.0,0.3,16,7,7
H1,H1B0148,False,,supported,,supported,1,S116,sobol_symmetric,4.0,0.7,32,21,21
H1,H1B0149,False,,supported,,supported,1,S117,sobol_symmetric,4.0,0.5,64,21,21
H1,H1B0150,False,,inactive,,inactive,1,S118,sobol_symmetric,1.25,0.5,16,7,7
H1,H1B0151,False,,inconclusive,,inconclusive,1,S119,sobol_symmetric,0.8,0.1,32,28,28
H1,H1B0152,False,,inconclusive,,inconclusive,1,S120,sobol_symmetric,2.0,0.9,32,14,14
H1,H1B0153,False,,supported,,supported,1,S121,sobol_symmetric,3.1,0.3,32,7,7
H1,H1B0154,False,,inconclusive,,inconclusive,1,S122,sobol_symmetric,0.8,0.7,32,21,21
