background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,baseline_equal_noshow_high,n_paired_seeds,mean_class1_arrivals,mean_class2_arrivals,estimated_class1_post_threshold_accepted_share,estimated_class2_post_threshold_accepted_share,exposure_active,mean_absolute_common_utilization_effect,mean_absolute_gap_utilization_effect,common_minus_gap_utilization_effect,common_minus_gap_utilization_effect_ci_low,common_minus_gap_utilization_effect_ci_high,mean_absolute_common_served_gap_effect,mean_absolute_between_gap_effect,gap_minus_common_served_gap_effect,gap_minus_common_served_gap_effect_ci_low,gap_minus_common_served_gap_effect_ci_high,utilization_component,served_gap_component,failure_component,classification
H9B0023,A023,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,21,21,0.3,0.3,9,9,0.3,0.3,0.7,0.7,6,6,0.3,0.3,0.7,0.7,0.7,20,3608.25,32566.95,0.0,4.3851930078621484e-05,False,8.561643835613975e-06,2.1404109589034936e-06,6.421232876710481e-06,-7.018561993202017e-06,1.9861027746622977e-05,3.0692505664399887e-06,7.805670038724967e-07,-2.2886835625674923e-06,-7.1180079519880606e-06,2.5406408268530756e-06,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0024,A024,anchor,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.3,0.3,9,9,0.3,0.3,0.7,0.7,6,6,0.3,0.3,0.8,0.8,0.8,20,32559.75,3598.6,6.555151880177203e-05,0.0,False,1.2842465753426513e-05,8.561643835619526e-06,4.280821917806987e-06,-8.555981312955706e-06,1.7117625148569683e-05,4.5856358018700125e-06,3.061973163622514e-06,-1.5236626382474983e-06,-6.10410315362434e-06,3.056777877129343e-06,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0025,A025,anchor,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.0,0.0,0.8,0.8,0.8,20,23363.55,23355.05,0.4520385944192259,0.4481164177941245,True,0.06654965753424659,0.0010744863013698578,0.06547517123287673,0.06437346466549072,0.06657687780026274,0.0008763201553626867,0.016455869719240963,0.015579549563878279,0.015083814765943969,0.01607528436181259,supported,supported,,supported
H9B0026,A026,anchor,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,12,12,0.0,0.0,0.7,0.7,12,12,0.0,0.0,0.1,0.1,0.1,20,11660.35,11684.35,0.00030214532762043233,0.0002148808991470502,False,4.708904109586576e-05,1.2842465753412636e-05,3.424657534245312e-05,9.40946832800646e-06,5.908368235689978e-05,5.156680307556501e-05,1.2878876460860009e-05,-3.868792661470501e-05,-6.71868496651924e-05,-1.0189003564217616e-05,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0027,A027,anchor,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.3,0.3,0.3,20,3656.05,3651.8,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0028,A028,anchor,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0.5,20,14584.8,14586.8,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0029,A029,anchor,3.1,0.3,32,99.2,29.76,69.44,14,14,0.5,0.5,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.7,0.7,0.7,20,10919.65,25373.5,0.0,3.914354949484029e-05,False,8.561643835602872e-06,2.1404109589090447e-06,6.421232876693827e-06,-7.018561993208274e-06,1.986102774659593e-05,3.914354949479987e-06,2.313957793410003e-06,-1.6003971560699842e-06,-9.309352262679645e-06,6.108557950539677e-06,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0030,A030,anchor,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,9,9,0.0,0.0,0.5,0.5,6,6,0.5,0.5,0.8,0.8,0.8,20,25369.8,10838.85,0.9852076535689672,0.9770238716820826,True,0.10028253424657536,0.019982876712328762,0.08029965753424659,0.0789305641359712,0.08166875093252197,0.0015838287787344099,0.031968244213782165,0.030384415435047753,0.02983166957995973,0.030937161290135774,supported,supported,,supported
H9B0031,A031,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.3,0.3,0.7,0.7,9,9,0.0,0.0,0.1,0.1,0.1,20,18095.65,18080.9,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0032,A032,anchor,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.0,0.0,0.1,0.1,9,9,0.3,0.3,0.7,0.7,0.7,20,18172.85,18115.75,0.17103986737129373,0.17109993972847556,True,0.03788099315068493,0.0008818493150684837,0.03699914383561644,0.036273680240528496,0.03772460743070439,0.0013508282399246649,0.012288100353191937,0.010937272113267272,0.01056328664138583,0.011311257585148714,supported,supported,,supported
H9B0033,S001,sobol_symmetric,3.1,0.3,16,49.6,14.88,34.72,21,21,0.5,0.5,12,12,0.1,0.1,0.7,0.7,12,12,0.0,0.0,0.5,0.5,0.5,20,5448.3,12657.6,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0034,S002,sobol_symmetric,1.25,0.7,64,80.0,56.0,24.000000000000004,7,7,0.1,0.1,4,4,0.0,0.0,0.7,0.7,4,4,0.3,0.3,0.5,0.5,0.5,20,20392.5,8763.7,0.0008098913433660542,0.0006266296131143341,False,9.20376712328641e-05,3.210616438356073e-05,5.993150684930337e-05,4.0002369171008685e-05,7.986064452759805e-05,9.243670536831501e-05,7.648537443427244e-05,-1.5951330934042567e-05,-5.446785834090991e-05,2.2565196472824773e-05,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0035,S003,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.3,0.3,0.7,0.7,4,4,0.7,0.7,0.8,0.8,0.8,20,1163.35,10533.6,0.9426383627788233,0.9795797016105391,True,0.09955479452054795,0.040488013698630136,0.05906678082191782,0.05724618135437508,0.06088738028946056,0.00561893853936439,0.05016844131264906,0.04454950277328467,0.04187478942235532,0.04722421612421402,supported,supported,,supported
H9B0036,S004,sobol_symmetric,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.3,0.3,9,9,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.8,0.8,0.8,20,84080.5,9353.25,0.009804650239608465,0.010312441029624425,False,0.003934075342465771,0.0015400256849315036,0.0023940496575342667,0.002228765230787824,0.0025593340842807095,0.00027863867541233505,0.0010275668469165414,0.0007489281715042061,0.0006214904508765138,0.0008763658921318983,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct,inactive
H9B0037,S005;X037,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,12,12,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.7,0.7,0.7,20,7247.4,65134.35,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,9,9,0.0,0.0,0.5,0.5,0.5,20,6609.05,731.15,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0039,S007,sobol_symmetric,0.8,0.5,32,25.6,12.8,12.8,7,7,0.1,0.1,4,4,0.3,0.3,0.5,0.5,4,4,0.0,0.0,0.7,0.7,0.7,20,4641.95,4687.25,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0040,S008,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,21,21,0.5,0.5,9,9,0.1,0.1,0.3,0.3,6,6,0.3,0.3,0.5,0.5,0.5,20,25415.15,10836.8,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
H9B0041,S009,sobol_symmetric,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.7,0.7,0.7,0.7,4,4,0.5,0.5,0.7,0.7,0.7,20,7018.2,16328.65,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,inconclusive,class1_post_threshold_exposure_below_1pct;class2_post_threshold_exposure_below_1pct,inactive
