background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,balk_step_class1_focal,balk_high_class1_focal,is_primary_step,n_paired_seeds,estimated_post_threshold_offer_share,estimated_post_threshold_offer_share_ci_low,estimated_post_threshold_offer_share_ci_high,delta_class1_accepted_delay,delta_class1_accepted_delay_ci_low,delta_class1_accepted_delay_ci_high,delta_class1_offered_delay,delta_class1_offered_delay_ci_low,delta_class1_offered_delay_ci_high,selection_gap,selection_gap_ci_low,selection_gap_ci_high,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,accepted_delay_component,selection_gap_component,served_rate_component,strong_selection_evidence,failure_component,classification
H5B0159,S127,sobol_symmetric,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.1,0.1,0.1,0.3,6,6,0.5,0.5,0.7,0.7,0.1,0.2,True,100,0.5660673020859374,0.5432786186920162,0.5888559854798585,-0.3367454192773058,-0.38929199255713187,-0.2841988459974797,-0.29867966765107945,-0.3511521032507245,-0.2462072320514344,0.03806575162622634,0.036053185430061585,0.0400783178223911,0.0068294821988287525,0.003075723401920142,0.010583240995737363,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0159,S127,sobol_symmetric,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.1,0.1,0.1,0.3,6,6,0.5,0.5,0.7,0.7,0.3,0.4,True,100,0.41332783022028935,0.40290871060916866,0.42374694983141004,-0.6242872380266878,-0.676061170226577,-0.5725133058267987,-0.5112744637429194,-0.5635165410304989,-0.45903238645533995,0.1130127742837686,0.10995253540010735,0.11607301316742985,0.014504672437931037,0.010450468992416168,0.018558875883445906,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0159,S127,sobol_symmetric,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.1,0.1,0.1,0.3,6,6,0.5,0.5,0.7,0.7,0.5,0.6,False,100,0.3319037941676767,0.32325062366286467,0.3405569646724887,-0.7926265539387286,-0.8448074653564681,-0.7404456425209891,-0.6145989400700256,-0.6677020361323288,-0.5614958440077223,0.17802761386870303,0.17368779314206198,0.18236743459534407,0.015621757530431263,0.011681328340552782,0.019562186720309745,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0206,S174,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.7,4,4,0.0,0.0,0.5,0.5,0.1,0.1,True,100,0.814149499238617,0.8067394091835456,0.8215595892936884,-0.11818149556123256,-0.1251253729954163,-0.11123761812704881,-0.059936620203631275,-0.06686352001674205,-0.0530097203905205,0.05824487535760131,0.05763669227587548,0.058853058439327144,-0.0014276136678445057,-0.0031244748859438126,0.00026924755025480094,inconclusive,inconclusive,inconclusive,False,accepted_delay;selection_gap;served_rate,inconclusive
H5B0206,S174,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.7,4,4,0.0,0.0,0.5,0.5,0.3,0.3,True,100,0.7615592111902483,0.7570454443543017,0.7660729780261949,-0.6980397837452632,-0.705696861904188,-0.6903827055863384,-0.5259598780762524,-0.5336456172264359,-0.518274138926069,0.17207990566901085,0.17109731853608223,0.17306249280193947,0.013554951299614695,0.011830377237056308,0.015279525362173082,supported,inconclusive,reversed,False,selection_gap;served_rate,reversed
H5B0206,S174,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.7,4,4,0.0,0.0,0.5,0.5,0.5,0.5,False,100,0.6102171079945131,0.6071546957950889,0.6132795201939374,-1.0687624570701417,-1.074060047911441,-1.0634648662288424,-0.7740231750219212,-0.779269868851471,-0.7687764811923714,0.29473928204822053,0.29355629752991375,0.2959222665665273,0.048997440798603284,0.047300195314432476,0.05069468628277409,supported,supported,reversed,False,served_rate,reversed
H5B0263,X007,asymmetric_stress,2.0,0.5,32,64.0,32.0,32.0,14,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.5,0.7,0.1,0.2,True,100,0.05462214228154224,0.0478228119252277,0.06142147263785678,-0.02872438919348295,-0.045043615865628286,-0.01240516252133762,-0.008395749091415104,-0.024981038179083023,0.008189539996252814,0.02032864010206785,0.017831936865532985,0.022825343338602713,0.0007592871538165119,-0.000627039554647073,0.002145613862280097,inconclusive,inconclusive,inconclusive,False,accepted_delay;selection_gap;served_rate,inconclusive
H5B0263,X007,asymmetric_stress,2.0,0.5,32,64.0,32.0,32.0,14,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.5,0.7,0.3,0.4,True,100,0.04254888320218774,0.03954025413477295,0.045557512269602536,-0.07166108499088268,-0.08632144286742353,-0.057000727114341836,-0.025737657910792633,-0.04063862699457099,-0.010836688827014275,0.04592342708009005,0.04319691018585926,0.04864994397432084,0.001970060349437536,0.000510745705293078,0.0034293749935819934,inconclusive,inconclusive,inconclusive,False,accepted_delay;selection_gap;served_rate,inconclusive
H5B0263,X007,asymmetric_stress,2.0,0.5,32,64.0,32.0,32.0,14,28,0.1,0.1,9,9,0.1,0.1,0.1,0.5,9,9,0.0,0.0,0.5,0.7,0.5,0.6,False,100,0.03778691987887393,0.035419889675193286,0.04015395008255457,-0.10874991514126131,-0.12270964524601247,-0.09479018503651016,-0.03912283204920152,-0.05341713656136598,-0.024828527537037064,0.0696270830920598,0.06593793624606482,0.07331622993805477,0.0018338893404367723,0.00043686256742330636,0.0032309161134502383,inconclusive,inconclusive,inconclusive,False,accepted_delay;selection_gap;served_rate,inconclusive
H5B0277,X021,asymmetric_stress,3.1,0.9,16,49.6,44.64,4.959999999999999,28,21,0.3,0.3,4,4,0.0,0.0,0.0,0.3,6,6,0.3,0.3,0.7,0.3,0.1,0.1,True,100,0.6122262393602335,0.6085302984493106,0.6159221802711563,-0.309530391247003,-0.3223340913472603,-0.29672669114674566,-0.2054686459485481,-0.21840344321769461,-0.1925338486794016,0.10406174529845492,0.10341592062659599,0.10470756997031386,0.0010852093742304719,0.0003138588175237455,0.0018565599309371982,supported,inconclusive,inconclusive,False,selection_gap;served_rate,inconclusive
