class_1_share,lambda_1,lambda_2,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
0.5,12.0,12.0,6,0.9189041095890391,0.7788351295574409,6793,8380.0,10.560877772534214,10.560765879385462,0.028204540243063517,8722,8476,8722,246,0,1086,597,0,0.7789327789327789,0.778738902799909,0.000193876132869919
0.5,12.0,12.0,7,0.9204109589041075,0.7850069092584062,6817,8385.0,10.01422137947381,10.014509442653155,0.028327959465684015,8684,8438,8684,246,0,1034,587,0,0.787843502561714,0.7822323462414579,0.0056111563202561054
0.5,12.0,12.0,8,0.9182191780821897,0.782893979509612,6801,8360.0,9.898421739646375,9.89409462415103,0.029929780131230575,8687,8427,8687,260,0,1021,605,0,0.788047255038221,0.7778032036613273,0.01024405137689377
0.5,12.0,12.0,9,0.9184931506849304,0.7649743297204792,6705,8343.0,11.115330355043499,11.116600114090131,0.02954934398174558,8765,8506,8765,259,0,1211,590,0,0.759233926128591,0.7707239095683946,-0.011489983439803675
0.5,12.0,12.0,10,0.9230136986301347,0.7838768948093707,6826,8415.0,9.814066193853428,9.81247129076711,0.02847955902618282,8708,8460,8708,248,0,1068,566,0,0.7910755148741418,0.7766251728907331,0.014450341983408777
0.5,12.0,12.0,11,0.9213698630136969,0.7807289870070139,6790,8401.0,10.100875118259225,10.109348051052088,0.027710704840749684,8697,8456,8697,241,0,1084,582,0,0.7827586206896552,0.7786979526109961,0.004060668078659124
0.5,12.0,12.0,12,0.9252054794520524,0.7857552471613717,6851,8384.0,9.734471313418682,9.739190274114003,0.0324578506709485,8719,8436,8719,283,0,1026,559,0,0.7876412266543694,0.783888635326335,0.0037525913280344048
0.5,12.0,12.0,13,0.9193150684931484,0.7878222325906917,6754,8344.0,8.897237968881921,8.89280298611921,0.032893969438936195,8573,8291,8573,282,0,938,599,0,0.7823870220162225,0.7933302019727572,-0.01094317995653471
0.5,12.0,12.0,14,0.9153424657534227,0.7690644206692465,6757,8335.0,11.071043376318874,11.064420669246529,0.029137263828818576,8786,8530,8786,256,0,1155,618,0,0.772252497729337,0.7658603377453218,0.006392159984015211
0.5,12.0,12.0,15,0.9209589041095876,0.7750572082379863,6774,8367.0,10.37996932877197,10.384782608695652,0.03009153318077803,8740,8477,8740,263,0,1119,584,0,0.7722222222222223,0.7778280542986425,-0.005605832076420292
0.5,12.0,12.0,16,0.9152054794520531,0.7581400535236396,6799,8347.0,11.779861910241657,11.789585191793043,0.030999107939339875,8968,8690,8968,278,0,1269,622,0,0.7633692907964196,0.7531988722619822,0.010170418534437342
0.5,12.0,12.0,17,0.9139726027397247,0.7678591839067322,6718,8340.0,10.60669653383636,10.59926848782718,0.03051777345982398,8749,8482,8749,267,0,1145,619,0,0.7717440288418207,0.763859893296219,0.007884135545601745
0.5,12.0,12.0,18,0.9161643835616421,0.7616790792146242,6750,8345.0,10.963031853057428,10.961859625366735,0.02933874971789664,8862,8602,8862,260,0,1236,616,0,0.7626308602639964,0.7607430617726052,0.0018877984913912016
0.5,12.0,12.0,19,0.9242465753424631,0.7824484625129563,6794,8404.0,10.00439064910407,10.005758378440632,0.029482897616031324,8683,8427,8683,256,0,1079,554,0,0.7755721625408688,0.7891388320836173,-0.013566669542748544
0.5,12.0,12.0,20,0.9201369863013673,0.7721533386417927,6788,8353.0,10.288024373095851,10.2905243999545,0.029234444318052555,8791,8534,8791,257,0,1146,600,0,0.7724807953004971,0.7718213058419244,0.0006594894585726374
0.5,12.0,12.0,21,0.9206849315068476,0.7722817415090039,6776,8372.0,10.533395828450903,10.524960109414177,0.027353544563483018,8774,8534,8774,240,0,1176,582,0,0.771921749136939,0.7726349062993904,-0.00071315716245135
0.5,12.0,12.0,22,0.9176712328767102,0.7837114601512507,6736,8350.0,9.61877990430622,9.623385689354276,0.027341477603257707,8595,8360,8595,235,0,1029,595,0,0.7832512315270936,0.7841643582640813,-0.0009131267369876239
0.5,12.0,12.0,23,0.9238356164383537,0.7808359981726816,6837,8402.0,10.50981544610321,10.509479214253084,0.0284376427592508,8756,8507,8756,249,0,1107,563,0,0.781977414150726,0.7797147385103012,0.002262675640424816
0.5,12.0,12.0,24,0.9198630136986281,0.7898760569906174,6819,8385.0,9.225683255758444,9.226919958299549,0.029421985404841887,8633,8379,8633,254,0,970,590,0,0.7941176470588235,0.7855641205325858,0.008553526526237643
0.5,12.0,12.0,25,0.9168493150684908,0.7732053040695016,6764,8346.0,9.835972583313637,9.838020118884316,0.03269318701417467,8748,8462,8748,286,0,1083,615,0,0.7832167832167832,0.762920046349942,0.020296736866841192
0.5,12.0,12.0,26,0.9249315068493129,0.777319587628866,6786,8420.0,9.77767265846736,9.775830469644903,0.03138602520045819,8730,8456,8730,274,0,1121,549,0,0.779746835443038,0.7749144811858609,0.004832354257177096
0.5,12.0,12.0,27,0.9238356164383545,0.777640031556407,6900,8406.0,10.233876600698487,10.23160148765919,0.03189451143919757,8873,8590,8873,283,0,1126,564,0,0.7771180634848139,0.7781486426346239,-0.0010305791498099737
0.5,12.0,12.0,28,0.9123287671232858,0.7645201308221495,6779,8310.0,11.070059254095504,11.06428329762039,0.029322205932107815,8867,8607,8867,260,0,1186,642,0,0.7619155696777122,0.7670925801389823,-0.00517701046127006
0.5,12.0,12.0,29,0.9169863013698609,0.7698924731182796,6802,8336.0,10.629638273045508,10.627843803056027,0.029994340690435765,8835,8570,8835,265,0,1154,614,0,0.7696264817714158,0.7701649862511457,-0.0005385044797299177
0.5,12.0,12.0,30,0.9227397260273956,0.7560297877070135,6802,8380.0,12.160769495018894,12.161609425364011,0.029343114371457153,8997,8733,8997,264,0,1356,575,0,0.7578566583766674,0.7542632269348492,0.003593431441818229
0.6,14.399999999999999,9.600000000000001,1,0.9212328767123272,0.7777650953087547,6814,8384.0,10.106310336708265,10.110147243465358,0.030475973062435796,8761,8494,8761,267,0,1101,579,0,0.7798706240487062,0.7746077032810271,0.005262920767679091
0.6,14.399999999999999,9.600000000000001,2,0.919999999999998,0.786266589728794,6813,8373.0,9.780066682543463,9.781650317368724,0.030813618003462204,8665,8398,8665,267,0,993,592,0,0.7823246878001922,0.7921965317919075,-0.009871843991715368
0.6,14.399999999999999,9.600000000000001,3,0.9224657534246555,0.7716838177089224,6824,8358.0,10.63692558898997,10.645143051000792,0.030419540879791925,8843,8574,8843,269,0,1174,576,0,0.7768673780487805,0.7641168289290682,0.012750549119712296
0.6,14.399999999999999,9.600000000000001,4,0.9226027397260252,0.7859264336303404,6880,8374.0,9.926680004707544,9.936143477267535,0.02935800776787754,8754,8497,8754,257,0,1037,580,0,0.7865597556319206,0.7849829351535836,0.00157682047833696
0.6,14.399999999999999,9.600000000000001,5,0.9209589041095864,0.7797842135150482,6866,8364.0,10.041057433617967,10.044974446337308,0.029074389551391255,8805,8549,8805,256,0,1095,588,0,0.7784306292645944,0.7818078775857183,-0.00337724832112396
0.6,14.399999999999999,9.600000000000001,6,0.9216438356164359,0.7767643370197241,6813,8387.0,10.70736297341802,10.705734807889636,0.030669250940599704,8771,8502,8771,269,0,1109,580,0,0.7799501629288863,0.7720877884074282,0.007862374521458104
0.6,14.399999999999999,9.600000000000001,7,0.9223287671232862,0.7642577030812325,6821,8395.0,11.87103448275862,11.870476190476191,0.025210084033613446,8925,8700,8925,225,0,1306,573,0,0.7683150183150184,0.7578643578643579,0.010450660450660454
0.6,14.399999999999999,9.600000000000001,8,0.9206849315068472,0.7720888083371092,6816,8379.0,11.257122921269914,11.259628454916175,0.02594019030357952,8828,8599,8828,229,0,1198,585,0,0.7683928912669596,0.7774687065368567,-0.009075815269897092
0.6,14.399999999999999,9.600000000000001,9,0.9138356164383548,0.7673726388093876,6703,8328.0,10.64068396226415,10.64419004006869,0.02919290211791643,8735,8480,8735,255,0,1144,633,0,0.775576923076923,0.7553041018387553,0.02027282123816776
0.6,14.399999999999999,9.600000000000001,10,0.9208219178082163,0.7838832049660881,6819,8374.0,9.743342843556823,9.747787101965743,0.032992297965283364,8699,8412,8699,287,0,1004,589,0,0.7870406189555126,0.779257580051006,0.007783038904506601
0.6,14.399999999999999,9.600000000000001,11,0.920547945205477,0.7809926806953339,6829,8378.0,10.17070588235294,10.171774931381519,0.027904849039341262,8744,8500,8744,244,0,1090,581,0,0.7789069990412272,0.7840748087276849,-0.005167809686457692
0.6,14.399999999999999,9.600000000000001,12,0.9241095890410942,0.7748148148148148,6799,8389.0,10.828537874339402,10.826552706552707,0.02962962962962963,8775,8515,8775,260,0,1159,557,0,0.7733662613981763,0.7769866135004272,-0.003620352102250868
0.6,14.399999999999999,9.600000000000001,13,0.9165753424657518,0.7782105624928399,6793,8351.0,9.97298253893346,9.978004353305074,0.028983846946958415,8729,8476,8729,253,0,1064,619,0,0.780743565300286,0.7743972445464983,0.006346320753787715
0.6,14.399999999999999,9.600000000000001,14,0.9236986301369841,0.7803073420603301,6855,8402.0,10.79468259545561,10.791348890153671,0.028116107000569154,8785,8538,8785,247,0,1129,554,0,0.7740338853988197,0.7896375990939978,-0.0156037136951781
0.6,14.399999999999999,9.600000000000001,15,0.9150684931506826,0.7696776398223032,6757,8337.0,10.851552431165787,10.848046474541519,0.027793598359722064,8779,8535,8779,244,0,1159,619,0,0.7614800759013283,0.7819891707039043,-0.02050909480257601
0.6,14.399999999999999,9.600000000000001,16,0.9293150684931493,0.7920711974110033,6853,8437.0,9.950202044212027,9.948682385575589,0.02750809061488673,8652,8414,8652,238,0,1038,523,0,0.8001532860701284,0.7797844450917565,0.020368840978371883
