study,w1,c,gamma,served_rate_min,best Q,strict beats FCFS?,binding constraint or main failure mode,mean strict-minus-FCFS objective
B: wait-adjusted,1.25,0.02,0.05,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.02,0.05,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.02,0.05,0.65,24,False,service-rate guardrail,0.04710322630506645
B: wait-adjusted,1.25,0.02,0.05,0.7,24,False,service-rate guardrail,0.04710322630506645
B: wait-adjusted,1.25,0.02,0.1,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.02,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.02,0.1,0.65,24,False,service-rate guardrail,0.04898813069232477
B: wait-adjusted,1.25,0.02,0.1,0.7,24,False,service-rate guardrail,0.04898813069232477
B: wait-adjusted,1.25,0.05,0.0,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.05,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.05,0.0,0.65,24,False,service-rate guardrail,0.022718321917808027
B: wait-adjusted,1.25,0.05,0.0,0.7,24,False,service-rate guardrail,0.022718321917808027
B: wait-adjusted,1.25,0.05,0.02,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.05,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.05,0.02,0.65,24,False,service-rate guardrail,0.02347228367271135
B: wait-adjusted,1.25,0.05,0.02,0.7,24,False,service-rate guardrail,0.02347228367271135
B: wait-adjusted,1.25,0.05,0.05,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.05,0.05,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.25,0.05,0.05,0.65,24,False,service-rate guardrail,0.024603226305066263
B: wait-adjusted,1.25,0.05,0.05,0.7,24,False,service-rate guardrail,0.024603226305066263
