background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component,classification
H8B0068,S037,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.2,0.0,0.5,0.3,9,9,0.0,0.0,0.3,0.3,0.3,0.2,0.2,0.5,0.0,0.3,20,0.7618678278479616,0.23813217215203827,0.21387156862517326,True,0.018254031128810348,0.015290544420947662,0.021217517836673035,0.018254031128810348,-0.0008877814691610336,-0.0034906373188726757,0.0017150743805506084,0.004262335563262313,-0.013991695565548037,-0.01786653711954437,-0.010116854011551706,0.1,within_class_effect_larger,reversed
H8B0069,S038,sobol_symmetric,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.2,0.0,0.5,0.2,4,4,0.3,0.3,0.7,0.7,0.3,0.3,0.2,0.5,0.0,0.2,20,0.5906221893144138,0.40937781068558615,0.3988041346323649,True,-0.0016231547305671043,-0.0048830710322435005,0.0016367615711092916,0.004919146696562711,-0.008119973619449484,-0.010808686075302788,-0.00543126116359618,0.008386486191159734,0.003467339494597023,-6.4094239803423e-05,0.006998773228997468,0.85,absolute_effect_difference_inconclusive,inconclusive
H8B0079,S048,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,14,14,0.1,0.1,6,6,0.5,0.0,0.5,0.2,4,4,0.3,0.3,0.3,0.3,0.0,0.3,0.5,0.5,0.0,0.2,20,0.2534132425605579,0.746586757439442,0.736862960742734,True,0.00702060896696851,0.005113440580646011,0.008927777353291009,0.00702060896696851,-0.006452367743784104,-0.007981988112608408,-0.0049227473749598,0.006452367743784104,-0.0005682412231844056,-0.0032588031419283916,0.0021223206955595804,0.45,absolute_effect_difference_inconclusive,inconclusive
H8B0082,S051,sobol_symmetric,2.0,0.1,64,128.0,12.8,115.2,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.7,0.7,0.1,0.1,0.4,0.5,0.0,0.4,20,0.5079237010142948,0.49207629898570504,0.5425857268768792,True,0.02877097069626903,0.023729594092788006,0.03381234729975005,0.02877097069626903,-0.034877018836797766,-0.03909249580537957,-0.03066154186821596,0.034877018836797766,0.006106048140528754,-0.0018212781189816058,0.014033374400039114,0.6,absolute_effect_difference_inconclusive,inconclusive
H8B0096,S065,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.1,0.1,9,9,0.1,0.0,0.5,0.5,12,12,0.3,0.3,0.5,0.5,0.4,0.0,0.1,0.5,0.0,0.5,20,0.2921317618085304,0.7078682381914696,0.7048728430271587,True,0.015055716628731123,0.009924339866516706,0.02018709339094554,0.015861840084041564,-0.021879855322892293,-0.025335646189639804,-0.018424064456144782,0.021879855322892293,0.006018015238850731,-0.0011940736790672325,0.013230104156768695,0.65,absolute_effect_difference_inconclusive,inconclusive
H8B0098,S067,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.3,4,4,0.0,0.0,0.5,0.5,0.4,0.2,0.1,0.5,0.0,0.3,20,0.9337867577293448,0.06621324227065528,0.03825865904297594,True,0.019791210178674693,0.017827490824884197,0.02175492953246519,0.019791210178674693,-0.0024105483733325578,-0.004527442156247948,-0.00029365459041716694,0.004140369699621812,-0.01565084047905288,-0.01819710304673399,-0.01310457791137177,0.0,within_class_effect_larger,reversed
H8B0106,S075,sobol_symmetric,1.25,0.1,32,40.0,4.0,36.0,14,14,0.0,0.0,6,6,0.4,0.0,0.5,0.5,12,12,0.5,0.5,0.5,0.5,0.1,0.0,0.4,0.5,0.0,0.5,20,0.6456876585549958,0.3543123414450043,0.39175277222803384,True,0.04105103501938019,0.0326102805274291,0.049491789511331284,0.04105103501938019,0.00010140762247262402,-0.008491620345551617,0.008694435590496864,0.013798094084575815,-0.02725294093480437,-0.038120295855752606,-0.016385586013856132,0.05,within_class_effect_larger,reversed
H8B0111,S080,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,7,7,0.5,0.5,4,4,0.3,0.0,0.5,0.5,4,4,0.5,0.5,0.7,0.7,0.2,0.0,0.3,0.5,0.0,0.5,20,0.9311400422843846,0.06885995771561534,0.03459478003489228,True,0.007987613135136186,0.006726823718328988,0.009248402551943384,0.007987613135136186,0.0005049996729555792,-0.0004674079821843747,0.001477407328095533,0.001677414791689051,-0.006310198343447135,-0.007602880247165704,-0.005017516439728566,0.0,within_class_effect_larger,reversed
H8B0115,S084,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,7,7,0.1,0.1,4,4,0.3,0.0,0.5,0.1,4,4,0.3,0.3,0.7,0.7,0.2,0.4,0.3,0.5,0.0,0.1,20,0.21528035928367584,0.7847196407163242,0.7743621071910332,True,0.0025967581086651904,0.001486228942356292,0.0037072872749740887,0.0030278578991497196,-0.00176942648782331,-0.0025134818015483643,-0.0010253711740982555,0.001901255248325001,-0.0011266026508247185,-0.0024440585829836417,0.00019085328133420457,0.35,absolute_effect_difference_inconclusive,inconclusive
H8B0123,S092,sobol_symmetric,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,0.5,0.5,4,4,0.1,0.0,0.5,0.3,9,9,0.0,0.0,0.5,0.5,0.4,0.2,0.1,0.5,0.0,0.3,20,0.7710104455075928,0.22898955449240727,0.19226114895475507,True,0.009900920391511286,0.008571365106606249,0.011230475676416322,0.009900920391511286,-0.0006994537488439728,-0.0018438602821599437,0.0004449527844719982,0.00195928093469184,-0.007941639456819447,-0.009530984443712236,-0.006352294469926658,0.0,within_class_effect_larger,reversed
H8B0124,S093,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,14,14,0.5,0.5,6,6,0.1,0.0,0.5,0.2,4,4,0.7,0.7,0.7,0.7,0.4,0.3,0.1,0.5,0.0,0.2,20,0.826530592346448,0.17346940765355204,0.15762014155076526,True,0.00642585436038082,0.005148815752735256,0.007702892968026383,0.006429174660998691,0.0007673150399963739,-0.0008180976802598198,0.0023527277602525677,0.003060079170171174,-0.0033690954908275174,-0.004755939813489155,-0.0019822511681658796,0.2,within_class_effect_larger,reversed
H8B0125,S094,sobol_symmetric,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,9,9,0.1,0.0,0.5,0.1,9,9,0.0,0.0,0.7,0.7,0.4,0.4,0.1,0.5,0.0,0.1,20,0.7846695801876469,0.21533041981235312,0.17883265125726128,True,-0.0017654214908308596,-0.0069768089877962035,0.003445966006134485,0.008828923144920748,-0.012515653645724212,-0.016607468822586617,-0.008423838468861806,0.013078419917406891,0.004249496772486145,-0.0009382209661725101,0.0094372145111448,0.6,absolute_effect_difference_inconclusive,inconclusive
H8B0126,S095,sobol_symmetric,1.25,0.1,64,80.0,8.0,72.0,7,7,0.0,0.0,4,4,0.5,0.0,0.5,0.5,4,4,0.0,0.0,0.3,0.3,0.0,0.0,0.5,0.5,0.0,0.5,20,0.6612122846867357,0.33878771531326424,0.37632530683021453,True,0.06387581178897768,0.05789031856033122,0.06986130501762414,0.06387581178897768,-0.014009091858278217,-0.01930777579858607,-0.008710407917970363,0.014840643850119817,-0.04903516793885785,-0.05739766351155377,-0.04067267236616193,0.0,within_class_effect_larger,reversed
H8B0127,S096,sobol_symmetric,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.5,0.0,0.5,0.4,6,6,0.3,0.3,0.7,0.7,0.0,0.1,0.5,0.5,0.0,0.4,20,0.9175780028505999,0.08242199714940004,0.017413335415271285,True,0.006168772335495715,0.004198395962640791,0.008139148708350639,0.006300090584921305,-0.0010368932604767234,-0.002768163618542498,0.0006943770975890514,0.0028119263267621874,-0.0034881642581591184,-0.005827785413068198,-0.0011485431032500393,0.25,within_class_effect_larger,reversed
H8B0135,S104,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.1,12,12,0.5,0.5,0.7,0.7,0.1,0.4,0.4,0.5,0.0,0.1,20,0.8787467810014273,0.12125321899857244,0.04454632412754095,True,0.012139052268017553,0.008972934649777008,0.015305169886258099,0.012377984789600404,-0.0016908007098895713,-0.004094720037084096,0.0007131186173049528,0.004409128291840629,-0.007968856497759774,-0.011486266010694706,-0.004451446984824843,0.1,within_class_effect_larger,reversed
H8B0138,S107,sobol_symmetric,1.25,0.5,32,40.0,20.0,20.0,28,28,0.0,0.0,12,12,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.5,0.5,0.2,0.2,0.3,0.5,0.0,0.3,20,0.8127335076456695,0.1872664923543304,0.12392732330088181,True,-0.024837977054372108,-0.03986422143453683,-0.009811732674207386,0.034228476839877175,-0.00633236253658945,-0.009825776539055872,-0.0028389485341230284,0.007120931622346974,-0.027107545217530206,-0.0359906408072396,-0.018224449627820813,0.0,within_class_effect_larger,reversed
