background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component,classification
H8B0033,S001,sobol_symmetric,3.1,0.3,16,49.6,14.88,34.72,21,21,0.5,0.5,12,12,0.4,0.0,0.5,0.3,12,12,0.0,0.0,0.3,0.3,0.1,0.2,0.4,0.5,0.0,0.3,20,1.0,0.0,0.0,False,0.03169524508739569,0.028970513574485327,0.03441997660030606,0.03169524508739569,0.0,0.0,0.0,0.0,-0.03169524508739569,-0.03441997660030606,-0.028970513574485327,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0034,S002,sobol_symmetric,1.25,0.7,64,80.0,56.0,24.000000000000004,7,7,0.1,0.1,4,4,0.4,0.0,0.5,0.2,4,4,0.3,0.3,0.7,0.7,0.1,0.3,0.4,0.5,0.0,0.2,20,1.0,0.0,0.0,False,0.06929366868084531,0.06750075433073675,0.07108658303095387,0.06929366868084531,0.0,0.0,0.0,0.0,-0.06929366868084531,-0.07108658303095387,-0.06750075433073675,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0035,S003,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.4,0.0,0.5,0.1,4,4,0.7,0.7,0.7,0.7,0.1,0.4,0.4,0.5,0.0,0.1,20,0.0,1.0,1.0,False,-0.0009707900728823556,-0.004307290512437112,0.0023657103666724004,0.0055421232705747964,-0.008602975725600455,-0.01393207591428415,-0.003273875536916759,0.011860525709854216,0.006318402439279419,0.002853094298866518,0.00978371057969232,0.8,insufficient_offer_exposure:class1_pre_threshold,inactive
H8B0036,S004,sobol_symmetric,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.3,0.3,9,9,0.3,0.0,0.5,0.5,9,9,0.3,0.3,0.3,0.3,0.2,0.0,0.3,0.5,0.0,0.5,20,0.9966818633199679,0.0033181366800320126,0.0,False,0.002814512615287651,0.002099906449810075,0.003529118780765227,0.002814512615287651,0.0,0.0,0.0,0.0,-0.002814512615287651,-0.003529118780765227,-0.002099906449810075,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0037,S005,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,12,12,0.3,0.0,0.5,0.4,4,4,0.5,0.5,0.7,0.7,0.2,0.1,0.3,0.5,0.0,0.4,20,1.0,0.0,0.0,False,0.012767231032446156,0.010983185036578214,0.014551277028314097,0.012767231032446156,0.0,0.0,0.0,0.0,-0.012767231032446156,-0.014551277028314097,-0.010983185036578214,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0038,S006,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.3,0.0,0.5,0.3,9,9,0.0,0.0,0.5,0.5,0.2,0.2,0.3,0.5,0.0,0.3,20,0.9687972567156272,0.031202743284372815,0.0,False,0.07854953155360112,0.07314545442168051,0.08395360868552172,0.07854953155360112,0.0,0.0,0.0,0.0,-0.07854953155360112,-0.08395360868552172,-0.07314545442168051,0.0,insufficient_offer_exposure:class2_post_threshold,inactive
H8B0039,S007;X083,sobol_symmetric,0.8,0.5,32,25.6,12.8,12.8,7,7,0.1,0.1,4,4,0.3,0.0,0.5,0.2,4,4,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.5,0.0,0.2,20,1.0,0.0,0.0,False,0.10166495515159366,0.09772974761166998,0.10560016269151733,0.10166495515159366,0.0,0.0,0.0,0.0,-0.10166495515159366,-0.10560016269151733,-0.09772974761166998,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0040,S008,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,21,21,0.5,0.5,9,9,0.3,0.0,0.5,0.1,6,6,0.3,0.3,0.5,0.5,0.2,0.4,0.3,0.5,0.0,0.1,20,1.0,0.0,0.0,False,0.009119197671720602,0.007252501355181755,0.010985893988259448,0.009119197671720602,0.0,0.0,0.0,0.0,-0.009119197671720602,-0.010985893988259448,-0.007252501355181755,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
H8B0041,S009,sobol_symmetric,2.0,0.3,32,64.0,19.2,44.8,28,28,0.1,0.1,9,9,0.2,0.0,0.5,0.5,4,4,0.5,0.5,0.5,0.5,0.3,0.0,0.2,0.5,0.0,0.5,20,0.8794690899409054,0.12053091005909451,0.10209424492310055,True,0.016644624458300582,0.013887162182180278,0.019402086734420884,0.016644624458300582,-0.0030287295832489166,-0.005770147718822237,-0.0002873114476755964,0.005506844427077974,-0.01113778003122261,-0.014979840428968825,-0.007295719633476394,0.1,within_class_effect_larger,reversed
H8B0042,S010;X053,sobol_symmetric,0.8,0.9,32,25.6,23.040000000000003,2.56,14,14,0.5,0.5,6,6,0.2,0.0,0.5,0.4,9,9,0.0,0.0,0.7,0.7,0.3,0.1,0.2,0.5,0.0,0.4,20,1.0,0.0,0.0,False,0.10038635421323423,0.09785089836748387,0.1029218100589846,0.10038635421323423,0.0,0.0,0.0,0.0,-0.10038635421323423,-0.1029218100589846,-0.09785089836748387,0.0,"insufficient_offer_exposure:class1_post_threshold,class2_post_threshold",inactive
