comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00023,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00023,strict
both_flexible_vs_baseline,10,-0.027232876712328623,-0.0299794520547944,-0.024513527397260298,contradicted,0.06713973090402112,0.06319828068063792,0.0712053710937253,supported,BG00024,strict
both_flexible_vs_reservation_only,10,-0.00045890410958912,-0.00499999999999996,0.003650684931506832,inconclusive,0.0009124109766598498,-0.0027265427350668947,0.0050566416959063765,inconclusive,BG00024,strict
both_flexible_vs_horizon_only,10,-0.027232876712328623,-0.030164554794520435,-0.02447945205479428,contradicted,0.06713973090402112,0.063079661410772,0.0711777743898925,supported,BG00024,strict
both_flexible_vs_baseline,10,-0.0021369863013698366,-0.006506849315068408,0.0016167808219177781,inconclusive,0.001626074355193219,-0.00189654146742499,0.004864373576877013,inconclusive,BG00025,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00025,strict
both_flexible_vs_horizon_only,10,-0.0021369863013698366,-0.0065616438356163945,0.0016030821917807606,inconclusive,0.001626074355193219,-0.0017526795921678521,0.00479561731938756,inconclusive,BG00025,strict
both_flexible_vs_baseline,10,-0.0002648401826477298,-0.002895205479451871,0.0023013698630144244,inconclusive,0.21792031841938958,0.21573486994702132,0.21981953897056553,supported,BG00026,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00026,strict
both_flexible_vs_horizon_only,10,-0.0002648401826477298,-0.0028312785388124526,0.0022744292237451367,inconclusive,0.21792031841938958,0.215742158003183,0.2198761081023495,supported,BG00026,strict
both_flexible_vs_baseline,10,0.0007534246575339965,-0.0012261986301373288,0.0031030821917806956,inconclusive,0.10145265703700956,0.09953470806346872,0.10336526320957667,supported,BG00027,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00027,strict
both_flexible_vs_horizon_only,10,0.0007534246575339965,-0.0012880136986304273,0.00314400684931489,inconclusive,0.10145265703700956,0.09957920239866754,0.10337154702742932,supported,BG00027,strict
both_flexible_vs_baseline,10,-0.002027397260274055,-0.0060618150684931945,0.002336301369862766,inconclusive,0.0019080198737850829,0.00021664754288269278,0.003682619564305041,inconclusive,BG00028,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00028,strict
both_flexible_vs_horizon_only,10,-0.002027397260274055,-0.006116952054794845,0.0022537671232877752,inconclusive,0.0019080198737850829,0.0001867877826874334,0.0037261082107289734,inconclusive,BG00028,strict
both_flexible_vs_baseline,10,-0.0007488584474886872,-0.0035710045662101573,0.0026945205479451287,inconclusive,0.0012856276545657685,-0.000850766625647674,0.004313025835320978,inconclusive,BG00029,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00029,strict
both_flexible_vs_horizon_only,10,-0.0007488584474886872,-0.0035162100456621746,0.0025118721461186025,inconclusive,0.0012856276545657685,-0.0008382264445628477,0.004254395513206428,inconclusive,BG00029,strict
both_flexible_vs_baseline,10,-0.004018264840182651,-0.010210502283104815,0.0027127853881277588,inconclusive,0.0005568221297419851,-0.0025448815217218295,0.003257069264539628,inconclusive,BG00030,strict
