class1_low_balk,mean,std,n,se,ci95,metric
0.3,9817.39,41.313508197633816,100,4.131350819763382,8.097447606736228,total_served
0.35,9816.28,44.974982945066785,100,4.497498294506679,8.81509665723309,total_served
0.4,9815.39,40.88809438731836,100,4.088809438731836,8.0140664999144,total_served
0.45,9817.32,34.94292026673893,100,3.494292026673893,6.84881237228083,total_served
0.5,9819.25,38.98157425391055,100,3.898157425391055,7.640388553766468,total_served
0.0,36521.64,200.34165363652625,100,20.034165363652626,39.26696411275915,total_arrivals
0.05,36479.63,185.89361870367608,100,18.589361870367608,36.43514926592051,total_arrivals
0.1,36535.91,199.59768095452523,100,19.959768095452525,39.12114546708695,total_arrivals
0.15,36489.61,189.53158074846306,100,18.953158074846307,37.14818982669876,total_arrivals
0.2,36511.71,194.0016294318744,100,19.40016294318744,38.02431936864738,total_arrivals
0.25,36501.33,198.79592373318246,100,19.879592373318246,38.96400105170376,total_arrivals
0.3,36519.03,205.9071309247355,100,20.59071309247355,40.357797661248156,total_arrivals
0.35,36511.76,194.81636626745822,100,19.48163662674582,38.18400778842181,total_arrivals
0.4,36501.66,184.81698400243903,100,18.481698400243904,36.22412886447805,total_arrivals
0.45,36511.9,190.63914295936803,100,19.063914295936804,37.36527202003614,total_arrivals
0.5,36517.76,177.09770857873437,100,17.709770857873437,34.711150881431934,total_arrivals
0.0,23529.24,132.4694834307292,100,13.246948343072921,25.964018752422923,total_booked
0.05,23361.09,112.50239907655238,100,11.250239907655239,22.050470219004268,total_booked
0.1,23267.46,134.14942821685494,100,13.414942821685495,26.29328793050357,total_booked
0.15,23110.75,120.02654378145378,100,12.002654378145378,23.52520258116494,total_booked
0.2,22978.36,114.65200047151922,100,11.46520004715192,22.471792092417765,total_booked
0.25,22852.06,116.71850103924587,100,11.671850103924587,22.87682620369219,total_booked
0.3,22715.07,114.39036964127075,100,11.439036964127075,22.420512449689067,total_booked
0.35,22582.65,104.19168184484072,100,10.419168184484072,20.42156964158878,total_booked
0.4,22446.07,97.16041666057541,100,9.71604166605754,19.04344166547278,total_booked
0.45,22350.73,95.93820138426901,100,9.593820138426901,18.803887471316727,total_booked
0.5,22222.98,86.4213287366381,100,8.64213287366381,16.938580432381066,total_booked
0.0,36521.56,200.39402196773187,100,20.03940219677319,39.27722830567545,total_offered
0.05,36479.51,185.86105894544875,100,18.586105894544875,36.42876755330796,total_offered
0.1,36535.91,199.59768095452523,100,19.959768095452525,39.12114546708695,total_offered
0.15,36489.55,189.56789647442608,100,18.95678964744261,37.155307708987515,total_offered
0.2,36511.71,194.0016294318744,100,19.40016294318744,38.02431936864738,total_offered
0.25,36501.33,198.79592373318246,100,19.879592373318246,38.96400105170376,total_offered
0.3,36519.03,205.9071309247355,100,20.59071309247355,40.357797661248156,total_offered
0.35,36511.76,194.81636626745822,100,19.48163662674582,38.18400778842181,total_offered
0.4,36501.66,184.81698400243903,100,18.481698400243904,36.22412886447805,total_offered
0.45,36511.9,190.63914295936803,100,19.063914295936804,37.36527202003614,total_offered
0.5,36517.76,177.09770857873437,100,17.709770857873437,34.711150881431934,total_offered
0.0,12992.32,137.39009418367155,100,13.739009418367155,26.928458459999625,total_balked
0.05,13118.42,143.01904796497578,100,14.301904796497578,28.031733401135252,total_balked
0.1,13268.45,136.02386711251236,100,13.602386711251237,26.660677954052424,total_balked
0.15,13378.8,129.64247651588474,100,12.964247651588474,25.40992539711341,total_balked
0.2,13533.35,143.38423162533545,100,14.338423162533545,28.103309398565745,total_balked
0.25,13649.27,142.99974252996537,100,14.299974252996538,28.027949535873216,total_balked
0.3,13803.96,152.9424477482698,100,15.294244774826982,29.976719758660884,total_balked
0.35,13929.11,163.2230855503154,100,16.32230855503154,31.991724767861818,total_balked
0.4,14055.59,145.24914819201203,100,14.524914819201204,28.46883304563436,total_balked
0.45,14161.17,147.17289049607447,100,14.717289049607448,28.845886537230598,total_balked
0.5,14294.78,153.9489998195979,100,15.39489998195979,30.174003964641187,total_balked
