class1_low_balk,class_id,mean,std,n,se,ci95,metric
0.15,2,18222.65,138.78108442413688,100,13.878108442413687,27.201092547130827,arrivals
0.2,1,18254.58,127.17554716996422,100,12.717554716996421,24.926407245312983,arrivals
0.2,2,18257.13,146.4231901239029,100,14.642319012390292,28.698945264284973,arrivals
0.25,1,18247.82,142.96318520245796,100,14.296318520245796,28.02078429968176,arrivals
0.25,2,18253.51,114.90887869977888,100,11.490887869977888,22.522140225156658,arrivals
0.3,1,18255.46,129.65326097251906,100,12.965326097251907,25.412039150613737,arrivals
0.3,2,18263.57,144.2530223061009,100,14.42530223061009,28.273592371995775,arrivals
0.35,1,18251.68,146.2237029798228,100,14.62237029798228,28.65984578404527,arrivals
0.35,2,18260.08,116.59042357195054,100,11.659042357195053,22.851723020102305,arrivals
0.4,1,18232.27,125.04979654586242,100,12.504979654586242,24.509760122989032,arrivals
0.4,2,18269.39,132.6126656504162,100,13.26126656504162,25.992082467481573,arrivals
0.45,1,18258.87,137.66579756127533,100,13.766579756127532,26.98249632200996,arrivals
0.45,2,18253.03,115.1250927022296,100,11.51250927022296,22.564518169637,arrivals
0.5,1,18251.64,123.24972760024784,100,12.324972760024783,24.156946609648575,arrivals
0.5,2,18266.12,134.8833600118296,100,13.488336001182962,26.437138562318605,arrivals
0.0,1,11772.05,97.7623768288819,100,9.77623768288819,19.161425858460852,booked
0.0,2,11757.19,103.22542704139681,100,10.322542704139682,20.232183700113776,booked
0.05,1,11541.05,95.75889071786077,100,9.575889071786076,18.768742580700707,booked
0.05,2,11820.04,99.12535885270093,100,9.912535885270092,19.42857033512938,booked
0.1,1,11355.88,105.15810895403119,100,10.515810895403119,20.610989354990114,booked
0.1,2,11911.58,89.4775159388426,100,8.94775159388426,17.53759312401315,booked
0.15,1,11144.83,96.14782967657241,100,9.614782967657241,18.844974616608194,booked
0.15,2,11965.92,95.77843539580658,100,9.577843539580659,18.77257333757809,booked
0.2,1,10896.33,95.51160012048679,100,9.55116001204868,18.720273623615412,booked
0.2,2,12082.03,105.43009125204352,100,10.543009125204353,20.664297885400533,booked
0.25,1,10662.96,85.58555528082583,100,8.558555528082582,16.77476883504186,booked
0.25,2,12189.1,89.19012718837658,100,8.919012718837658,17.48126492892181,booked
0.3,1,10399.39,90.85385033784814,100,9.085385033784814,17.807354666218234,booked
0.3,2,12315.68,91.71947569748872,100,9.171947569748871,17.977017236707788,booked
0.35,1,10127.62,100.12363871885123,100,10.012363871885123,19.62423318889484,booked
0.35,2,12455.03,87.97112186864655,100,8.797112186864656,17.242339886254726,booked
0.4,1,9810.79,95.46370562108453,100,9.546370562108454,18.710886301732568,booked
0.4,2,12635.28,91.86420368779117,100,9.186420368779117,18.00538392280707,booked
0.45,1,9511.25,100.44249322096869,100,10.044249322096869,19.68672867130986,booked
0.45,2,12839.48,102.06439638826573,100,10.206439638826573,20.004621692100084,booked
0.5,1,9129.34,97.34985538476333,100,9.734985538476334,19.080571655413614,booked
0.5,2,13093.64,92.32327042856662,100,9.232327042856662,18.095361003999056,booked
0.0,1,6503.14,91.14856559541137,100,9.114856559541137,17.865118856700626,balked
0.0,2,6489.18,87.50265565955546,100,8.750265565955546,17.15052050927287,balked
0.05,1,6693.75,95.67826716700506,100,9.567826716700505,18.75294036473299,balked
0.05,2,6424.67,93.28744055689675,100,9.328744055689675,18.284338349151763,balked
0.1,1,6905.44,93.47200953042885,100,9.347200953042885,18.320513867964053,balked
0.1,2,6363.01,81.2324877786412,100,8.12324877786412,15.921567604613674,balked
0.15,1,7122.11,86.51407254010624,100,8.651407254010625,16.956758217860823,balked
0.15,2,6256.69,98.06148298105862,100,9.806148298105862,19.220050664287488,balked
0.2,1,7358.25,86.83891682159262,100,8.683891682159262,17.02042769703215,balked
0.2,2,6175.1,96.08135231472477,100,9.608135231472477,18.831945053686056,balked
0.25,1,7584.86,101.21753950294548,100,10.121753950294549,19.838637742577315,balked
0.25,2,6064.41,87.67318733670962,100,8.767318733670962,17.183944717995086,balked
0.3,1,7856.07,95.88632316288381,100,9.58863231628838,18.793719339925225,balked
0.3,2,5947.89,97.56716360610977,100,9.756716360610977,19.123164066797514,balked
0.35,1,8124.06,93.42385437165703,100,9.342385437165703,18.311075456844776,balked
