class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
3,57,2,18183,12383,5800,18183,0,5904,960,5514,7.760881854154889,8.614365066270693,0.30325028873123244,0.4720890410958904,0.3189792663476874,96103.0,156635.0
3,58,1,18325,10118,8207,18325,0,4893,860,4361,7.996837319628385,8.58406548431105,0.23798090040927694,0.3733732876712329,0.4478581173260573,80912.0,157303.0
3,58,2,18298,12473,5825,18298,0,6009,1057,5403,7.735107832919105,8.583724997267462,0.2952781724778664,0.46258561643835616,0.3183408022734725,96480.0,157065.0
3,59,1,18372,10096,8276,18372,0,4884,868,4343,7.919374009508716,8.49678859133464,0.2363923361637274,0.37183219178082194,0.4504681036359678,79954.0,156103.0
3,59,2,18215,12447,5768,18215,0,5965,1031,5450,7.689965453522937,8.519571781498765,0.29920395278616524,0.4666095890410959,0.3166620916826791,95717.0,155184.0
3,60,1,18326,10194,8132,18326,0,5030,837,4325,8.058171473415735,8.611644657863145,0.2360034923060133,0.370291095890411,0.4437411328167631,82145.0,157817.0
3,60,2,18137,12393,5744,18137,0,5863,1013,5515,7.723553618978456,8.573137784639135,0.3040745437503446,0.4721746575342466,0.3167006671445112,95718.0,155491.0
3,61,1,18183,10052,8131,18183,0,4973,809,4266,8.018304814962196,8.577077489963152,0.23461475004124732,0.36523972602739724,0.44717593356431834,80600.0,155957.0
3,61,2,18409,12640,5769,18409,0,6052,1026,5561,7.76123417721519,8.597859742517247,0.3020805041012548,0.4761130136986301,0.3133793253300016,98102.0,158278.0
3,62,1,18202,9901,8301,18202,0,4770,820,4311,7.902939097060903,8.497802439292386,0.23684210526315788,0.36909246575342464,0.456048785847709,78247.0,154677.0
3,62,2,18201,12536,5665,18201,0,6003,1028,5504,7.685067007019783,8.497994615680458,0.30240096697983626,0.4712328767123288,0.3112466348002857,96340.0,154672.0
3,63,1,18291,10141,8150,18291,0,5007,837,4295,8.028794004536042,8.578754578754578,0.23481493630747363,0.367722602739726,0.4455743261713411,81420.0,156914.0
3,63,2,18310,12452,5858,18310,0,5891,1018,5543,7.719402505621587,8.575150191152376,0.30273074822501367,0.47457191780821917,0.3199344620425997,96122.0,157011.0
