class1_balk_threshold,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
3,76,0.8386986301369863,0.2679440223036134,9803,10936.0,7.867556148543473,8.595091018422348,0.38542065270868636,36586,22485,36586,14101,0,10815,1867,0
3,77,0.8412671232876713,0.26791115955852296,9831,10959.0,7.815749711136788,8.544515601580597,0.38678294045510286,36695,22502,36695,14193,0,10825,1846,0
3,78,0.8404965753424658,0.27081952728075986,9808,10958.0,7.779279679857715,8.474928208526618,0.3790037552463,36216,22490,36216,13726,0,10821,1861,0
3,79,0.8474315068493151,0.2721095920556763,9892,11045.0,7.770527436454775,8.49123868731604,0.3798861166891316,36353,22543,36353,13810,0,10874,1772,5
3,80,0.8417808219178082,0.26907817331107886,9834,10974.0,7.918403705683235,8.649082003994856,0.3856677702684215,36547,22452,36547,14095,0,10763,1855,0
3,81,0.8455479452054795,0.2713498622589532,9850,11004.0,7.769721009002585,8.477988980716253,0.3818732782369146,36300,22438,36300,13862,0,10783,1804,1
3,82,0.8359589041095891,0.26858993714144547,9785,10918.0,7.713776510425949,8.43254371277209,0.3839312673272762,36431,22444,36431,13987,0,10744,1905,10
3,83,0.8380993150684931,0.26872790066606367,9804,10937.0,7.83488930381435,8.563933887015871,0.3834388619356961,36483,22494,36483,13989,0,10812,1872,6
3,84,0.8391267123287671,0.26669753758988884,9791,10940.0,7.855023690386574,8.582861189801699,0.38486053606450205,36712,22583,36712,14129,0,10912,1878,2
3,85,0.8391267123287671,0.2692772076175841,9813,10938.0,7.837812583429741,8.556363536578672,0.383294001426925,36442,22474,36442,13968,0,10792,1866,3
3,86,0.8423801369863013,0.2692465248381899,9859,10984.0,7.837248396372484,8.55550700494306,0.38266379004287626,36617,22605,36617,14012,0,10916,1830,0
3,87,0.8494006849315069,0.27106407416523093,9912,11066.0,7.778434072034463,8.488391172368528,0.38422621489320974,36567,22517,36567,14050,0,10841,1758,6
3,88,0.8421232876712329,0.2698556203939618,9850,10977.0,7.749380969225327,8.462864031122434,0.3804005369715898,36501,22616,36501,13885,0,10926,1836,4
3,89,0.8350171232876712,0.2681237113402062,9753,10883.0,7.7847571562124385,8.496797250859107,0.38246048109965636,36375,22463,36375,13912,0,10778,1931,1
3,90,0.8420376712328768,0.2675684502748898,9831,10963.0,7.8610299973453674,8.59267323498993,0.3848456806923956,36742,22602,36742,14140,0,10915,1845,11
3,91,0.8428082191780822,0.2717820007171029,9854,10977.0,7.738604240282686,8.43235788951099,0.3755688556692501,36257,22640,36257,13617,0,10951,1833,2
3,92,0.8453767123287671,0.2711892337269981,9874,11003.0,7.745198749441715,8.45633067838506,0.3850590497116177,36410,22390,36410,14020,0,10713,1803,0
3,93,0.8404965753424658,0.2691190971841788,9825,10965.0,7.789959378311551,8.491810014243454,0.3796428180124904,36508,22648,36508,13860,0,10970,1849,4
3,94,0.8435787671232877,0.26967830253251196,9850,10982.0,7.831870119557065,8.543928815879534,0.3794113620807666,36525,22667,36525,13858,0,10994,1816,7
3,95,0.8430650684931507,0.27139236321560417,9851,10965.0,7.771790315415371,8.484021158190535,0.37985563942916967,36298,22510,36298,13788,0,10825,1824,10
3,96,0.8404965753424658,0.2685765933554271,9806,10945.0,7.822681233137247,8.5467941168415,0.38076196214839364,36511,22609,36511,13902,0,10934,1869,0
3,97,0.8440924657534247,0.2719746101835242,9855,10981.0,7.858843915226374,8.569173451083207,0.3788602180212502,36235,22507,36235,13728,0,10827,1822,3
3,98,0.8425513698630137,0.26912871016276846,9838,10974.0,7.800354924578527,8.505649022021611,0.3833948844207359,36555,22540,36555,14015,0,10860,1835,7
3,99,0.841181506849315,0.2688354291962821,9834,10957.0,7.8620290886447535,8.580207763805358,0.3853745215965008,36580,22483,36580,14097,0,10774,1856,19
3,100,0.8361301369863013,0.2671343177661926,9787,10905.0,7.838098610250509,8.571362284029806,0.3833010344733466,36637,22594,36637,14043,0,10913,1894,0
4,1,0.8452054794520548,0.2712385132354958,9888,11013.0,7.86180405315908,8.64177753394596,0.3787134823755315,36455,22649,36455,13806,0,10961,1789,11
4,2,0.8361301369863013,0.26736519574316747,9773,10910.0,7.862364363221016,8.634640111618745,0.37726041638169233,36553,22763,36553,13790,0,11073,1912,5
4,3,0.8448630136986301,0.2696958091694934,9859,11007.0,7.878627735940459,8.660302002407265,0.37884341831710255,36556,22707,36556,13849,0,11012,1826,10
4,4,0.8356164383561644,0.26912173506178955,9778,10894.0,7.901769560037068,8.666116202900945,0.37629703024798394,36333,22661,36333,13672,0,10969,1904,10
4,5,0.8398972602739726,0.27097665423401024,9808,10944.0,7.80787037037037,8.574361099599392,0.379361790302528,36195,22464,36195,13731,0,10787,1860,9
4,6,0.842722602739726,0.2696007234660601,9838,10976.0,7.91486911458564,8.702639006878409,0.38129949850648104,36491,22577,36491,13914,0,10910,1829,0
4,7,0.8455479452054795,0.27044663175499684,9864,10998.0,7.940342796403738,8.719025032215612,0.3809393249801223,36473,22579,36473,13894,0,10904,1809,2
4,8,0.8433219178082192,0.27007419620774936,9828,10989.0,7.962838286752004,8.751525144270405,0.3795823028304479,36390,22577,36390,13813,0,10913,1831,5
4,9,0.8386986301369863,0.2697543936851949,9808,10922.0,7.848708977368351,8.62754751230782,0.3789983222860915,36359,22579,36359,13780,0,10896,1875,0
4,10,0.8414383561643836,0.2687534171678513,9831,10953.0,7.865734204024003,8.65677966101695,0.38042646254784035,36580,22664,36580,13916,0,10975,1854,4
4,11,0.8398116438356165,0.2683606557377049,9822,10929.0,7.959247648902822,8.735136612021858,0.3811748633879781,36600,22649,36600,13951,0,10946,1868,13
4,12,0.8467465753424658,0.27307342107441435,9897,11028.0,7.7961070988198,8.555721104765057,0.37345142510277846,36243,22708,36243,13535,0,11027,1783,1
4,13,0.841181506849315,0.2685927865990069,9845,10971.0,7.873706004140787,8.652016151033994,0.38066786708135536,36654,22701,36654,13953,0,11017,1834,5
4,14,0.8416095890410958,0.268355329671831,9821,10946.0,7.860070515645659,8.647594065087302,0.3800038254501735,36597,22690,36597,13907,0,11011,1851,7
4,15,0.8355308219178083,0.26665390505359876,9751,10892.0,7.873739607288165,8.65385036097134,0.3816451542332094,36568,22612,36568,13956,0,10935,1923,3
4,16,0.8406678082191781,0.267081084028573,9796,10968.0,7.962298183097972,8.750368068051694,0.3802551938491739,36678,22731,36678,13947,0,11085,1850,0
