class1_balk_threshold,seed,average_utilization,overall_percent_serviced,total_served,total_value
7,37,0.8450342465753424,0.2709145839055205,9864,10998.0
7,38,0.8360445205479452,0.2660500246291938,9722,10874.0
7,39,0.8452054794520548,0.26948787209080244,9877,11012.0
7,40,0.8388698630136986,0.2673634800644052,9797,10928.0
7,41,0.8415239726027397,0.2705357879963675,9831,10942.0
7,42,0.836472602739726,0.2686747983149316,9758,10897.0
7,43,0.8355308219178083,0.2663472070098576,9727,10891.0
7,44,0.8404109589041096,0.26921596657136576,9793,10946.0
7,45,0.8413527397260274,0.2676017976303963,9825,10946.0
7,46,0.8368150684931507,0.2660478031251701,9773,10898.0
7,47,0.835445205479452,0.2681769561997751,9778,10887.0
7,48,0.8370719178082192,0.2683636763050224,9773,10936.0
7,49,0.8464897260273972,0.27060371771672975,9870,11011.0
7,50,0.8457191780821918,0.26949619486647935,9880,11030.0
7,51,0.8459760273972603,0.27092299679267523,9883,11020.0
7,52,0.8396404109589041,0.26892785598638896,9800,10958.0
7,53,0.8408390410958904,0.2696101327032448,9813,10939.0
7,54,0.8394691780821918,0.2706333443672073,9811,10953.0
7,55,0.834931506849315,0.26890408692294965,9751,10875.0
7,56,0.8472602739726027,0.27289048473967686,9880,11021.0
7,57,0.8452054794520548,0.26823561420214936,9859,10990.0
7,58,0.834931506849315,0.26951179010295584,9738,10867.0
7,59,0.8365582191780822,0.26883938393839385,9775,10902.0
7,60,0.8404109589041096,0.269989529949854,9799,10941.0
7,61,0.8366438356164384,0.265033346944331,9736,10910.0
7,62,0.8373287671232876,0.2680316426244765,9792,10906.0
7,63,0.8416952054794521,0.27290665036267125,9820,10961.0
7,64,0.8457191780821918,0.27086198360745917,9848,11008.0
7,65,0.8455479452054795,0.2680546519193234,9888,11010.0
7,66,0.8423801369863013,0.27121633913067444,9840,10972.0
7,67,0.8481164383561643,0.2730830714955074,9908,11033.0
7,68,0.8464897260273972,0.26939031712242784,9871,11005.0
7,69,0.8407534246575342,0.2715165916061117,9827,10958.0
7,70,0.8451198630136987,0.2692192069088027,9851,10988.0
7,71,0.8417808219178082,0.26778642632800764,9805,10980.0
7,72,0.8379280821917808,0.26644163763066203,9788,10900.0
7,73,0.8422945205479452,0.26777844278796453,9843,10959.0
7,74,0.8417808219178082,0.269394130381169,9831,10951.0
7,75,0.841181506849315,0.27095049068254495,9829,10960.0
7,76,0.8428082191780822,0.26766396904547807,9823,10942.0
7,77,0.8376712328767123,0.26843851998134893,9787,10912.0
7,78,0.836472602739726,0.26775253216534356,9781,10908.0
7,79,0.8392123287671233,0.266284409902443,9799,10933.0
7,80,0.8397260273972603,0.2681036834924966,9826,10942.0
7,81,0.8386986301369863,0.2685370741482966,9782,10919.0
7,82,0.8378424657534247,0.26931445726719366,9778,10909.0
7,83,0.8404109589041096,0.27038792153405333,9814,10951.0
7,84,0.8454623287671232,0.27110121991427627,9867,11013.0
7,85,0.8345890410958904,0.2657025920873124,9738,10885.0
7,86,0.848458904109589,0.27252735169608006,9914,11030.0
7,87,0.8426369863013699,0.2697301600373329,9826,10976.0
7,88,0.8381849315068494,0.26592594604873543,9789,10925.0
7,89,0.8464897260273972,0.2704767642467892,9877,11015.0
7,90,0.8446917808219178,0.269104892816233,9867,11014.0
7,91,0.8402397260273973,0.2656610325836295,9792,10951.0
7,92,0.8409246575342466,0.2695886049894338,9823,10938.0
7,93,0.8441780821917808,0.2714266023432116,9846,10981.0
7,94,0.835445205479452,0.2651449354033221,9769,10886.0
7,95,0.8419520547945205,0.26967646494808645,9844,10984.0
7,96,0.8404109589041096,0.27049768263076585,9805,10923.0
7,97,0.8422945205479452,0.27089923802712296,9848,10964.0
7,98,0.8374143835616439,0.26901777104284336,9764,10911.0
7,99,0.8406678082191781,0.2687383740015319,9824,10936.0
7,100,0.8376712328767123,0.2668158986678314,9774,10915.0
8,1,0.8439212328767123,0.26862333269687133,9848,10985.0
8,2,0.8425513698630137,0.2677137490813077,9835,10975.0
8,3,0.8409246575342466,0.2683992138021402,9832,10947.0
8,4,0.8375856164383562,0.2689727232732072,9782,10890.0
8,5,0.8436643835616439,0.26888234010041473,9854,10979.0
8,6,0.8408390410958904,0.2691070986890923,9792,10962.0
8,7,0.8417808219178082,0.27044128975459447,9830,10947.0
8,8,0.8422945205479452,0.2681896246217594,9838,10964.0
8,9,0.8395547945205479,0.26851775787946003,9806,10937.0
8,10,0.8394691780821918,0.27016451266223923,9804,10941.0
8,11,0.8396404109589041,0.27117425917735516,9810,10950.0
8,12,0.8393835616438357,0.26857927247769386,9783,10933.0
8,13,0.8379280821917808,0.2673050615595075,9770,10909.0
8,14,0.8381849315068494,0.2686673812075741,9776,10895.0
8,15,0.8386130136986302,0.26722184300341295,9787,10931.0
8,16,0.8409246575342466,0.2692107498013862,9827,10965.0
8,17,0.8393835616438357,0.2691990544774889,9794,10931.0
8,18,0.8369006849315068,0.2685315070000275,9763,10899.0
8,19,0.8402397260273973,0.26935740547659554,9817,10951.0
8,20,0.8438356164383561,0.2696243860948775,9827,10984.0
8,21,0.8438356164383561,0.27023609927713493,9832,10962.0
8,22,0.8414383561643836,0.2710618662098312,9810,10935.0
8,23,0.8392979452054794,0.2691281994886317,9789,10924.0
8,24,0.8439212328767123,0.2694655026136457,9846,10983.0
8,25,0.8352739726027397,0.26887052341597795,9760,10897.0
8,26,0.8441780821917808,0.2693840777547232,9867,10984.0
8,27,0.8393835616438357,0.26493964464939646,9767,10920.0
8,28,0.8392979452054794,0.26849006913200923,9787,10932.0
8,29,0.8397260273972603,0.2665813896524508,9795,10928.0
8,30,0.8418664383561644,0.26717806430553287,9822,10980.0
8,31,0.8435787671232877,0.27176460855417367,9855,10995.0
8,32,0.842208904109589,0.27051838821395197,9842,10954.0
8,33,0.8387842465753425,0.2692615376127555,9761,10926.0
8,34,0.841181506849315,0.2661874406618744,9813,10946.0
