class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
3,21,2,18338,12535,5803,18338,0,6015,1077,5443,7.739130434782608,8.574381066637583,0.2968153560911768
3,22,1,18311,9908,8403,18311,0,4903,826,4179,7.916229309648768,8.476489541805472,0.2282234722298072
3,22,2,18420,12647,5773,18420,0,5979,999,5669,7.610342373685459,8.445494028230184,0.30776330076004343
3,23,1,18143,9842,8301,18143,0,4790,837,4215,7.876346271083113,8.4731301328336,0.2323210053464146
3,23,2,18321,12679,5642,18321,0,6060,1067,5552,7.631437810552883,8.448392554991539,0.3030402270618416
3,24,1,18149,9926,8223,18149,0,4838,790,4298,7.886762039089261,8.475232795195328,0.23681745550719047
3,24,2,18102,12484,5618,18102,0,5903,1042,5539,7.682954181352131,8.489835377306376,0.3059882885868965
3,25,1,18307,10172,8135,18307,0,5020,838,4313,7.912504915454188,8.475501174414159,0.23559294259026603
3,25,2,17965,12426,5539,17965,0,5893,1007,5526,7.660872364397232,8.481269134428054,0.30759810743111604
3,26,1,18183,9972,8211,18183,0,4851,836,4283,7.93672282390694,8.514051586646868,0.23554968927019743
3,26,2,18270,12696,5574,18270,0,6127,1062,5506,7.672180214240706,8.485002736726875,0.301368363437329
3,27,1,18384,10109,8275,18384,0,4941,870,4298,8.190721139578594,8.745757180156659,0.23379025239338555
3,27,2,18411,12509,5902,18411,0,5991,1002,5515,7.806059637061316,8.679865297919722,0.299549182553908
3,28,1,18335,9981,8354,18335,0,4844,836,4298,7.949203486624587,8.5301881647123,0.2344150531769839
3,28,2,18291,12532,5759,18291,0,5984,999,5545,7.67235876157038,8.510196271390301,0.30315455688590015
3,29,1,18147,9907,8240,18147,0,4794,790,4323,7.952054103159382,8.531658125309969,0.23822119358571664
3,29,2,18329,12610,5719,18329,0,6054,1008,5548,7.673988897700238,8.508920290250423,0.30268972666266575
3,30,1,18321,10150,8171,18321,0,4910,893,4344,8.081083743842365,8.62174553790732,0.2371049615195677
3,30,2,18249,12387,5862,18249,0,5953,1032,5398,7.784612900621619,8.637788371965588,0.2957970299742452
3,31,1,18220,10014,8206,18220,0,4873,824,4317,8.02087078090673,8.5884193194292,0.23693743139407245
3,31,2,18117,12473,5644,18117,0,5945,987,5540,7.7444880942836525,8.570734669095325,0.3057901418557156
3,32,1,17961,9972,7989,17961,0,4838,839,4289,7.929502607300441,8.484661210400311,0.2387951673069428
3,32,2,18164,12560,5604,18164,0,6007,1038,5514,7.661624203821656,8.47676723188725,0.3035674961462233
3,33,1,18210,9860,8350,18210,0,4831,807,4222,7.987322515212981,8.552718286655685,0.23185063152114224
3,33,2,18369,12701,5668,18369,0,6045,989,5667,7.700889693724903,8.529206815831019,0.30850890086558874
3,34,1,18415,10067,8348,18415,0,4956,837,4274,8.135988874540578,8.671300570187347,0.23209340211783872
3,34,2,18249,12414,5835,18249,0,5847,1079,5488,7.78620911873691,8.642336566387199,0.300728807057921
3,35,1,18252,9983,8269,18252,0,4892,828,4263,7.982269858759892,8.562294543063773,0.23356344510190663
3,35,2,18207,12528,5679,18207,0,5927,1017,5582,7.697078544061303,8.526445872466633,0.3065853792497391
3,36,1,17999,9891,8108,17999,0,4851,809,4228,7.871499342836922,8.44235790877271,0.2349019389966109
3,36,2,18258,12747,5511,18258,0,6097,1042,5605,7.635129834470856,8.43997151933399,0.30698871727461935
3,37,1,18079,9957,8122,18079,0,4832,827,4293,7.9644471226272975,8.517506499253278,0.23745782399468998
3,37,2,18345,12550,5795,18345,0,5978,996,5574,7.6647808764940235,8.503461433633143,0.30384300899427635
3,38,1,18335,10171,8164,18335,0,4965,829,4376,7.962048962737194,8.535587673847832,0.2386692118898282
