background_id,variant,selection_objective,comparison,first_policy,second_policy,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_change_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_change_status,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,class_1_percent_serviced_change_status,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,class_2_percent_serviced_change_status,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,class_1_slot_utilization_change_status,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,class_2_slot_utilization_change_status,n_paired_seeds,class_1_served_rate_direction,class_2_served_rate_direction,patient_group_tradeoff,patient_group_supported_tradeoff,design_note,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2
BG00090,strict,average_utilization,both_flexible_vs_reservation_only,both_flexible,reservation_only,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00090,strict,average_utilization,reservation_only_vs_horizon_only,reservation_only,horizon_only,0.002091324200913325,-0.0014885844748858594,0.005772602739726326,practical_tie,-0.00022518067843740885,-0.001931800381939955,0.0014334297119057739,practical_tie,-0.0011025876818585134,-0.00431144207542536,0.0018395033303316936,practical_tie,0.0015296333284048002,-0.0008878873475521576,0.004236132231796132,practical_tie,-0.000493150684931501,-0.0018356164383561474,0.0005664383561644112,practical_tie,0.002566210045662087,-0.0011148401826483955,0.006639497716894949,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00090,strict,weighted_utilization,horizon_only_vs_baseline,horizon_only,baseline,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00090,strict,weighted_utilization,reservation_only_vs_baseline,reservation_only,baseline,-0.0018264840182648733,-0.006146347031963489,0.002283105022831102,practical_tie,0.0019405965272161873,-0.0013472651398066836,0.005537268630533746,practical_tie,0.0018896260612024651,-0.0035941148947979474,0.007811342775980083,practical_tie,0.00204253745924361,-0.000433443073843183,0.004909282377671615,practical_tie,-0.001187214611872134,-0.0037627853881278496,0.0015257990867580315,practical_tie,-0.0007397260273972472,-0.004475114155251116,0.0033703196347031794,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00090,strict,weighted_utilization,both_flexible_vs_baseline,both_flexible,baseline,-0.005105022831050443,-0.009507534246576056,-0.0014424657534244374,supported_decrease,0.0021551678187005986,-0.0013735008024743267,0.006180730545898655,practical_tie,0.0044156280422846805,-0.0012871170873973237,0.01078347666899444,practical_tie,-0.0023657526284674877,-0.004998416642249826,0.00016632432739751494,practical_tie,-0.0014977168949771662,-0.0035525114155251112,0.0005762557077625633,practical_tie,-0.0034885844748858584,-0.006739954337899569,-0.00020981735159818451,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00090,strict,weighted_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,-0.005105022831050443,-0.009434474885845404,-0.0016255707762558897,supported_decrease,0.0021551678187005986,-0.001427211107509338,0.006210528136751346,practical_tie,0.0044156280422846805,-0.0012752844212634928,0.010771770790066715,practical_tie,-0.0023657526284674877,-0.005068761554794256,0.0001603895778784148,practical_tie,-0.0014977168949771662,-0.003543607305936058,0.0005673515981735217,practical_tie,-0.0034885844748858584,-0.006603424657534267,-0.0001815068493150708,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00090,strict,weighted_utilization,both_flexible_vs_reservation_only,both_flexible,reservation_only,-0.00327853881278557,-0.006986986301370353,0.0003570776255708308,practical_tie,0.00021457129148441111,-0.0034263192887477967,0.0036963972927787675,practical_tie,0.0025260019810822154,-0.0036446338267574823,0.008522090375673374,practical_tie,-0.0044082900877110975,-0.00754182690880208,-0.001754951900873763,practical_tie,-0.00031050228310503246,-0.004219178082191742,0.003251369863013676,practical_tie,-0.002748858447488611,-0.00562557077625574,5.5022831050210584e-05,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00090,strict,weighted_utilization,reservation_only_vs_horizon_only,reservation_only,horizon_only,-0.0018264840182648733,-0.0058721461187215915,0.0023472602739726387,practical_tie,0.0019405965272161873,-0.001313389590855799,0.005471599122400239,practical_tie,0.0018896260612024651,-0.003925331954151849,0.007958345241139158,practical_tie,0.00204253745924361,-0.0005285996285860201,0.004932401943636999,practical_tie,-0.001187214611872134,-0.0037260273972602675,0.0017353881278538803,practical_tie,-0.0007397260273972472,-0.00451232876712327,0.003115068493150676,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,1.0,0.3,30,9.0,21.0,0.2,0.1,24,0.1,0.3,24,0.05,0.1,20,0.05,0.4,14,0.2,0.3
BG00091,strict,average_utilization,horizon_only_vs_baseline,horizon_only,baseline,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,0.8,0.5,30,12.0,12.0,0.1,0.2,16,0.1,0.2,22,0.1,0.4,4,0.05,0.2,4,0.05,0.3
BG00091,strict,average_utilization,reservation_only_vs_baseline,reservation_only,baseline,0.0009771689497716674,-0.0013426940639269327,0.0034431506849314105,practical_tie,0.0003757092005953311,-0.00027644088799150534,0.0009975561840467025,practical_tie,0.0009939518749450759,-2.824656540673098e-05,0.0020469112752346725,practical_tie,-0.0008607761481040699,-0.0025782050640857455,0.0006366690325194809,practical_tie,0.0008036529680365279,-0.0004200913242009219,0.0021554794520548043,practical_tie,0.0001735159817351728,-0.001534474885844729,0.0019269406392693979,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,0.8,0.5,30,12.0,12.0,0.1,0.2,16,0.1,0.2,22,0.1,0.4,4,0.05,0.2,4,0.05,0.3
BG00091,strict,average_utilization,both_flexible_vs_baseline,both_flexible,baseline,0.0009771689497716674,-0.0014794520547945402,0.0034611872146118163,practical_tie,0.0003757092005953311,-0.0002868097502473279,0.0009683837197510052,practical_tie,0.0009939518749450759,-6.908389206107199e-05,0.002056653445457286,practical_tie,-0.0008607761481040699,-0.002666778350289484,0.0008262595459905817,practical_tie,0.0008036529680365279,-0.00042922374429223993,0.0020821917808219238,practical_tie,0.0001735159817351728,-0.0015440639269406185,0.00195456621004565,practical_tie,10,tie,tie,both_groups_tied,both_groups_tied,sobol,2,0.8,0.5,30,12.0,12.0,0.1,0.2,16,0.1,0.2,22,0.1,0.4,4,0.05,0.2,4,0.05,0.3
