class1_high_balk,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
0.0,65,1,18349,15447,0,15447,2902,8762,1157,5506,9.953324270084806,9.953324270084806,0.3000708485476048
0.0,65,2,18063,10222,4986,15208,2855,5214,698,4299,8.690178047348855,9.940820620725933,0.23800033217073577
0.0,66,1,18101,15353,0,15353,2748,8780,1166,5380,10.013026770012376,10.013026770012376,0.29722114800287275
0.0,66,2,18317,10247,5160,15407,2910,5142,719,4373,8.73484922416317,9.998701888751865,0.2387399683354261
0.0,67,1,18197,15358,0,15358,2839,8820,1176,5338,9.953639796848549,9.953639796848549,0.2933450568775073
0.0,67,2,18310,10415,5080,15495,2815,5272,739,4398,8.653864618338934,9.926556953856082,0.24019661387220098
0.0,68,1,18247,15276,0,15276,2971,8682,1130,5445,9.935388845247447,9.935388845247447,0.29840521729599384
0.0,68,2,18355,10352,5032,15384,2971,5272,687,4381,8.742948222565687,9.982124284971398,0.23868155815853992
0.0,69,1,18254,15327,0,15327,2927,8689,1136,5479,9.929405624062113,9.929405624062113,0.3001533910375808
0.0,69,2,18179,10282,4943,15225,2954,5217,704,4345,8.777183427348765,10.001182266009852,0.23901204686726443
0.0,70,1,18539,15556,0,15556,2983,8918,1155,5467,9.887567498071483,9.887567498071483,0.2948918496143266
0.0,70,2,18067,10293,4941,15234,2833,5269,629,4385,8.62829107160206,9.889195221215703,0.24270769911994244
0.0,71,1,18441,15434,0,15434,3007,8704,1138,5571,9.922508746922379,9.922508746922379,0.3020985846754514
0.0,71,2,18317,10222,5030,15252,3065,5270,687,4251,8.64361181764821,9.93181222134802,0.2320794889992903
0.0,72,1,18213,15439,0,15439,2774,8762,1119,5533,9.917157847010817,9.917157847010817,0.30379399330148793
0.0,72,2,18125,10295,5050,15345,2780,5297,678,4310,8.712578921806703,9.95822743564679,0.23779310344827587
0.0,73,1,18228,15435,0,15435,2793,8838,1092,5488,9.913961775186266,9.913961775186266,0.3010752688172043
0.0,73,2,18263,10361,5054,15415,2848,5285,701,4364,8.676768651674548,9.93960428154395,0.2389530745222581
0.0,74,1,18326,15410,0,15410,2916,8846,1129,5412,9.951200519143413,9.951200519143413,0.29531812725090034
0.0,74,2,18315,10262,5094,15356,2959,5135,735,4378,8.662346521145976,9.94634019275853,0.23903903903903903
0.0,75,1,18290,15512,0,15512,2778,8863,1143,5481,9.944559051057245,9.944559051057245,0.29967195188627666
0.0,75,2,18026,10175,5013,15188,2838,5119,660,4384,8.68992628992629,9.954306031077166,0.24320426051259292
0.0,76,1,18191,15281,0,15281,2910,8779,1120,5357,10.000130881486813,10.000130881486813,0.2944862844263647
0.0,76,2,18415,10295,5058,15353,3062,5104,694,4488,8.662943176299175,9.929981111183482,0.24371436329079554
0.0,77,1,18223,15274,0,15274,2949,8706,1128,5422,9.934070970276286,9.934070970276286,0.29753608077704
0.0,77,2,18324,10305,5197,15502,2822,5188,759,4343,8.730422125181951,9.996774609727778,0.2370115695263043
0.0,78,1,18343,15333,0,15333,3010,8794,1130,5385,9.9311289375856,9.9311289375856,0.2935724799651093
0.0,78,2,18527,10378,5180,15558,2969,5227,716,4417,8.715070341106186,9.981102969533358,0.23840880876558537
0.0,79,1,18342,15450,0,15450,2892,8812,1197,5420,9.95598705501618,9.95598705501618,0.2954966742994221
0.0,79,2,18254,10195,5022,15217,3037,5141,704,4334,8.677587052476705,9.938818426759545,0.23742741316971622
0.0,80,1,18132,15268,0,15268,2864,8601,1153,5493,9.936140948388786,9.936140948388786,0.30294506949040373
0.0,80,2,18151,10260,5032,15292,2859,5260,697,4293,8.767056530214425,10.006604760659169,0.23651589444107762
0.0,81,1,18234,15401,0,15401,2833,8714,1211,5452,9.953379650672034,9.953379650672034,0.2990018646484589
0.0,81,2,18188,10257,4961,15218,2970,5260,688,4299,8.724968314321927,9.963530030227362,0.23636463602375193
0.0,82,1,18498,15419,0,15419,3079,8793,1146,5453,9.920617420066153,9.920617420066153,0.2947886257973835
0.0,82,2,18234,10250,4991,15241,2993,5179,725,4337,8.700682926829268,9.9551866675415,0.2378523637161347
0.0,83,1,18158,15272,0,15272,2886,8678,1138,5435,9.984350445259299,9.984350445259299,0.2993171054080846
0.0,83,2,18374,10351,5073,15424,2950,5271,675,4395,8.713650854989856,9.968620331950207,0.23919669097637966
0.0,84,1,18305,15398,0,15398,2907,8810,1144,5418,9.93057539940252,9.93057539940252,0.2959847036328872
0.0,84,2,18240,10284,4978,15262,2978,5166,689,4416,8.66656942823804,9.915672913117547,0.24210526315789474
0.0,85,1,18333,15421,0,15421,2912,8827,1129,5445,9.946566370533688,9.946566370533688,0.2970054000981836
0.0,85,2,18256,10356,5080,15436,2820,5268,679,4396,8.653341058323678,9.9282197460482,0.24079754601226994
0.0,86,1,18027,15202,0,15202,2825,8676,1112,5387,9.948164715169057,9.948164715169057,0.2988295334775614
0.0,86,2,18323,10502,5018,15520,2803,5337,711,4439,8.653113692629976,9.905863402061856,0.24226382142662228
0.0,87,1,18096,15372,0,15372,2724,8832,1118,5405,9.944379391100703,9.944379391100703,0.29868479221927496
0.0,87,2,18127,10384,5071,15455,2672,5255,697,4422,8.700308166409862,9.95606599805888,0.24394549566944337
0.0,88,1,18220,15314,0,15314,2906,8758,1098,5427,9.994057724957555,9.994057724957555,0.29785949506037324
0.0,88,2,18576,10458,5080,15538,3038,5312,719,4415,8.63970166379805,9.908224996782083,0.23767226528854435
0.0,89,1,18265,15321,0,15321,2944,8754,1142,5405,9.91077605900398,9.91077605900398,0.295921160689844
