background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,noshow_high_low_focal,noshow_high_high_focal,noshow_threshold_class1_focal,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,utilization_loss_magnitude,delta_realized_class1_noshow_rate,delta_realized_class1_noshow_rate_ci_low,delta_realized_class1_noshow_rate_ci_high,realized_exposure_active,direction_component
H3B0197,S165,sobol_symmetric,3.1,0.1,16,49.6,4.960000000000001,44.64,28,28,0.1,0.1,9,9,0.7,0.7,0.7,0.7,0,9,0.0,0.0,0.0,0.1,0.0,0.7,6,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0197,S165,sobol_symmetric,3.1,0.1,16,49.6,4.960000000000001,44.64,28,28,0.1,0.1,9,9,0.7,0.7,0.7,0.7,0,9,0.0,0.0,0.0,0.1,0.0,0.7,9,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0197,S165,sobol_symmetric,3.1,0.1,16,49.6,4.960000000000001,44.64,28,28,0.1,0.1,9,9,0.7,0.7,0.7,0.7,0,9,0.0,0.0,0.0,0.1,0.0,0.7,12,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0198,S166,sobol_symmetric,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.5,0.5,6,6,0.0,0.0,0.5,0.5,0,4,0.3,0.3,0.3,0.7,0.3,0.7,4,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0198,S166,sobol_symmetric,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.5,0.5,6,6,0.0,0.0,0.5,0.5,0,4,0.3,0.3,0.3,0.7,0.3,0.7,6,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0198,S166,sobol_symmetric,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.5,0.5,6,6,0.0,0.0,0.5,0.5,0,4,0.3,0.3,0.3,0.7,0.3,0.7,9,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0198,S166,sobol_symmetric,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,0.5,0.5,6,6,0.0,0.0,0.5,0.5,0,4,0.3,0.3,0.3,0.7,0.3,0.7,12,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0201,S169,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,14,14,0.3,0.3,12,12,0.5,0.5,0.7,0.7,0,9,0.0,0.0,0.0,0.3,0.0,0.7,4,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0201,S169,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,14,14,0.3,0.3,12,12,0.5,0.5,0.7,0.7,0,9,0.0,0.0,0.0,0.3,0.0,0.7,6,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0201,S169,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,14,14,0.3,0.3,12,12,0.5,0.5,0.7,0.7,0,9,0.0,0.0,0.0,0.3,0.0,0.7,9,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0201,S169,sobol_symmetric,2.0,0.1,16,32.0,3.2,28.8,14,14,0.3,0.3,12,12,0.5,0.5,0.7,0.7,0,9,0.0,0.0,0.0,0.3,0.0,0.7,12,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
H3B0202,S170,sobol_symmetric,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,0,4,0.3,0.3,0.3,0.5,0.3,0.7,4,20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,False,inconclusive
