sweep,point,low,high,step,label,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
fixed_step,1,0.0,0.3,0.3,b₁=0.30,26,1,18419,14061,3769,17830,589,7835,998,5204,9.58687148851433,10.160403813796972,0.2825343395406917,0.44554794520547947,0.2113853056646102,134801.0,181160.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,26,2,18110,11445,6077,17522,588,5959,836,4636,8.96871996505024,10.126926149982879,0.25599116510215353,0.3969178082191781,0.34682113913936763,102647.0,177444.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,27,1,18473,13947,3806,17753,720,7690,1011,5225,9.628378862837886,10.220244465724104,0.2828452335841498,0.4473458904109589,0.21438630090688898,134287.0,181440.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,27,2,18269,11376,6160,17536,733,5943,827,4591,8.993758790436006,10.18978102189781,0.25130001642126004,0.3930650684931507,0.3512773722627737,102313.0,178688.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,28,1,18041,13879,3691,17570,471,7709,1063,5089,9.485121406441387,10.076038702333523,0.2820797073332964,0.43570205479452057,0.21007398975526465,131644.0,177036.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,28,2,18274,11628,6148,17776,498,6126,791,4696,8.938682490540076,10.102779027902791,0.2569771259713254,0.40205479452054793,0.34585958595859584,103939.0,179587.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,29,1,18252,13881,3741,17622,630,7642,1037,5192,9.547943231755637,10.132731812507094,0.28446197676966906,0.44452054794520546,0.21229145386448758,132535.0,178559.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,29,2,18155,11486,6073,17559,596,6062,822,4592,8.944715305589414,10.109060880460163,0.2529330762875241,0.39315068493150684,0.34586252064468365,102739.0,177505.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,30,1,18035,13944,3564,17508,527,7691,1083,5152,9.606640849110729,10.15798492117889,0.2856667590795675,0.4410958904109589,0.20356408498971898,133955.0,177846.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,30,2,17896,11285,6075,17360,536,5855,777,4639,8.972352680549402,10.147465437788018,0.2592199374161824,0.3971746575342466,0.34994239631336405,101253.0,176160.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,31,1,17874,13678,3653,17331,543,7461,1058,5132,9.526319637373884,10.115227049795164,0.28712095781582186,0.43938356164383563,0.2107783740118862,130301.0,175307.0
