background_id,policy,point_type,comparison,lhs_horizon_days,lhs_Q,lhs_window,rhs_horizon_days,rhs_Q,rhs_window,n_eval_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,delta_priority_weighted_utilization,delta_priority_weighted_utilization_ci_low,delta_priority_weighted_utilization_ci_high,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,utilization_status,access_status,c1_supported_gain,c2_supported_gain,c1_supported_neutral,c2_supported_neutral,utilization_within_0_5pp_budget_mean,utilization_budget_supported_by_ci,rho,class1_share,capacity,noshow_level,balk_level
PBF_NS_LOW_BK_LOW_C002,both_flexible,avg_util_optimum,vs_baseline,3,25,3,100,0,-1,10,0.0002465753424659156,-0.0011180821917807456,0.0014904109589041095,0.0015698630136986359,0.0005616438356164432,0.002537123287671261,0.025496700624035383,0.015504034767244134,0.036039108861063235,0.0019410963195944596,-0.00023776475813047258,0.0037480657527756236,Supported neutral,C1 win / C2 neutral,True,False,False,True,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,both_flexible,access_recovery,vs_avg_util_optimum,8,45,8,3,25,3,10,-0.0032328767123292247,-0.0048065753424660455,-0.0019342465753430565,0.0013452054794520717,-2.493150684928112e-05,0.00283835616438356,0.04609932063541015,0.039026425641102,0.05256329790242874,-0.009862024885459907,-0.013822599349274444,-0.005894960495719976,Supported neutral,C1 gain / C2 harm,True,False,False,False,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,both_flexible,access_recovery,vs_baseline,8,45,8,100,0,-1,10,-0.002986301369863309,-0.004553561643835789,-0.0015123287671238814,0.0029150684931507076,0.0013040410958904177,0.004411301369863041,0.07159602125944553,0.06494659647136032,0.07851558188341871,-0.007920928565865449,-0.01268809489124932,-0.0028743185380283253,Supported neutral,C1 gain / C2 harm,True,False,False,False,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,both_flexible,c1_win_c2_neutral_if_better,vs_avg_util_optimum,3,40,3,3,25,3,10,-0.0005972602739728993,-0.002016575342465951,0.000783561643835231,0.0018712328767123254,0.0013150000000000095,0.002487808219178089,0.03663093175176735,0.029621280054954714,0.04390648666012872,-0.0015018798633682606,-0.006126059206845685,0.002775450810741424,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C002,both_flexible,c1_win_c2_neutral_if_better,vs_baseline,3,40,3,100,0,-1,10,-0.0003506849315069838,-0.001764383561643914,0.0009808219178079395,0.003441095890410961,0.00232856164383559,0.004326095890410986,0.06212763237580273,0.053480586207532405,0.06979531528925775,0.0004392164562261991,-0.005744313541102662,0.005278685637069353,Supported neutral,Uncertain / mixed,True,False,False,False,True,True,1.2,0.1,50,low,low
PBF_NS_LOW_BK_LOW_C003,horizon_only,avg_util_optimum,vs_baseline,2,0,-1,100,0,-1,10,0.0008767123287671374,-0.0003198630136980709,0.0021004566210040673,0.0008219178082191747,-0.0013061643835616382,0.0030503424657534303,-0.0017659773089195863,-0.011174167720242685,0.005430332280906074,-0.0009822490277439978,-0.008976745816356789,0.0067623153565118145,Supported neutral,Uncertain / mixed,False,False,False,False,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,horizon_only,access_recovery,vs_avg_util_optimum,3,0,-1,2,0,-1,10,-0.0008036529680365944,-0.0019178082191779536,0.00035616438356118137,-0.0009223744292237379,-0.0031187214611872022,0.001237671232876714,0.002170805133628828,-0.004926812401750409,0.011240892888168267,0.0018352827139341277,-0.004991569473399818,0.009030649322880306,Supported neutral,Uncertain / mixed,False,False,False,False,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,horizon_only,access_recovery,vs_baseline,3,0,-1,100,0,-1,10,7.305936073054298e-05,0.0,0.00021917808219162893,-0.0001004566210045632,-0.0003013698630136896,0.0,0.00040482782470924183,0.0,0.0012144834741277255,0.00085303368619013,0.0,0.00255910105857039,Supported neutral,Both neutral,False,False,True,True,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,reservation_only,avg_util_optimum,vs_baseline,100,0,-1,100,0,-1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Supported neutral,Both neutral,False,False,True,True,True,True,1.2,0.30000000000000004,30,low,low
PBF_NS_LOW_BK_LOW_C003,reservation_only,access_recovery,vs_avg_util_optimum,100,27,7,100,0,-1,10,-0.005132420091324097,-0.007013926940638896,-0.0031780821917809223,0.008461187214611865,0.005629794520547946,0.0112695205479452,0.06795135387739262,0.0621659247597402,0.07398375438012046,-0.02791118627109168,-0.03849927777112672,-0.017690506723017987,Meaningful decrease,C1 gain / C2 harm,True,False,False,False,False,False,1.2,0.30000000000000004,30,low,low
