policy,noshow_level,balk_level,analysis_range,backgrounds,median_delta_average_utilization,mean_delta_average_utilization,median_delta_class_1_percent_serviced,mean_delta_class_1_percent_serviced,median_delta_class_2_percent_serviced,mean_delta_class_2_percent_serviced,share_c1_positive,share_c1_ge_0_5pp,share_c1_supported_gain,share_util_within_0_5pp_budget_mean,share_util_budget_supported_by_ci
both_flexible,low,high,headline_rho_le_2_5,50,-0.0006429223744292056,-0.0009160547945205495,0.036949473290652,0.053643285923117574,-0.04829020320218877,-0.09562199097298114,0.98,0.98,0.98,1.0,0.98
both_flexible,low,low,headline_rho_le_2_5,50,-0.0007506849315066344,-0.0009472876712328844,0.03777119269716232,0.05482224730060525,-0.04829020320218877,-0.10201121356296775,1.0,1.0,1.0,1.0,0.98
both_flexible,low,medium,headline_rho_le_2_5,50,-0.0006429223744292056,-0.0009007123287671326,0.03777119269716232,0.05544824177379928,-0.044995630540788784,-0.10218910628288945,0.98,0.98,0.98,1.0,0.98
both_flexible,medium,high,headline_rho_le_2_5,50,-0.0006164383561645337,-0.0008538447488584707,0.034982714512349924,0.04021526764763718,-0.037182604654481505,-0.07949418760457842,1.0,0.96,0.96,1.0,1.0
both_flexible,medium,low,headline_rho_le_2_5,50,-0.0006164383561645337,-0.0008532968036529839,0.036329185298037955,0.04177474305540086,-0.03838278472146654,-0.08019331027012067,1.0,0.96,0.96,1.0,0.98
both_flexible,medium,medium,headline_rho_le_2_5,50,-0.0006164383561645337,-0.0008447123287671407,0.036329185298037955,0.04178499219170513,-0.03823242357366294,-0.08018729582420853,1.0,0.96,0.96,1.0,0.98
horizon_only,high,high,headline_rho_le_2_5,50,0.0,9.000913242014198e-05,0.0,0.0003298292660894563,0.0,-0.0001789565266438197,0.3,0.04,0.04,1.0,1.0
horizon_only,high,low,headline_rho_le_2_5,50,0.0,9.000913242014198e-05,0.0,0.0003298292660894563,0.0,-0.0001789565266438197,0.3,0.04,0.04,1.0,1.0
horizon_only,high,medium,headline_rho_le_2_5,50,0.0,9.000913242014198e-05,0.0,0.0003298292660894563,0.0,-0.0001789565266438197,0.3,0.04,0.04,1.0,1.0
horizon_only,low,high,headline_rho_le_2_5,50,0.0,0.00018279452054798973,0.0,0.0019094172222842974,0.0,-0.0009042387159162462,0.46,0.1,0.1,1.0,1.0
