hypothesis,background_id,stage1_classification,selection_reason,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component
H8,H8B0127,reversed,stage1_reversed,S096,sobol_symmetric,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.5,0.0,0.5,0.4,6,6,0.3,0.3,0.7,0.7,0.0,0.1,0.5,0.5,0.0,0.4,20,0.9175780028506,0.0824219971494,0.0174133354152712,True,0.0061687723354957,0.0041983959626407,0.0081391487083506,0.0063000905849213,-0.0010368932604767,-0.0027681636185424,0.000694377097589,0.0028119263267621,-0.0034881642581591,-0.0058277854130681,-0.00114854310325,0.25,within_class_effect_larger
H8,H8B0135,reversed,stage1_reversed,S104,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.1,12,12,0.5,0.5,0.7,0.7,0.1,0.4,0.4,0.5,0.0,0.1,20,0.8787467810014273,0.1212532189985724,0.0445463241275409,True,0.0121390522680175,0.008972934649777,0.015305169886258,0.0123779847896004,-0.0016908007098895,-0.004094720037084,0.0007131186173049,0.0044091282918406,-0.0079688564977597,-0.0114862660106947,-0.0044514469848248,0.1,within_class_effect_larger
H8,H8B0138,reversed,stage1_reversed,S107,sobol_symmetric,1.25,0.5,32,40.0,20.0,20.0,28,28,0.0,0.0,12,12,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.5,0.5,0.2,0.2,0.3,0.5,0.0,0.3,20,0.8127335076456695,0.1872664923543304,0.1239273233008818,True,-0.0248379770543721,-0.0398642214345368,-0.0098117326742073,0.0342284768398771,-0.0063323625365894,-0.0098257765390558,-0.002838948534123,0.0071209316223469,-0.0271075452175302,-0.0359906408072396,-0.0182244496278208,0.0,within_class_effect_larger
H8,H8B0140,reversed,stage1_reversed,S109,sobol_symmetric,4.0,0.3,16,64.0,19.2,44.8,14,14,0.3,0.3,6,6,0.3,0.0,0.5,0.1,6,6,0.0,0.0,0.7,0.7,0.2,0.4,0.3,0.5,0.0,0.1,20,0.486955919335499,0.513044080664501,0.5061204776480867,True,0.0180288817192388,0.0160161545417599,0.0200416088967176,0.0180288817192388,-0.000451340667966,-0.0027689334726985,0.0018662521367664,0.0042067330806959,-0.0138221486385429,-0.0161270460306237,-0.011517251246462,0.0,within_class_effect_larger
H8,H8B0147,reversed,stage1_reversed,S116,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,21,21,0.1,0.1,12,12,0.1,0.0,0.5,0.4,12,12,0.0,0.0,0.5,0.5,0.4,0.1,0.1,0.5,0.0,0.4,20,0.3110519697675664,0.6889480302324336,0.6775406947263554,True,0.0058864612203107,0.0045299176646689,0.0072430047759524,0.0059268743117529,-0.0019914324677999,-0.002844435442782,-0.0011384294928178,0.0021919262593249,-0.0037349480524279,-0.0055711797069137,-0.0018987163979421,0.15,within_class_effect_larger
H8,H8B0151,reversed,stage1_reversed,S120,sobol_symmetric,2.0,0.9,32,64.0,57.6,6.399999999999999,14,14,0.0,0.0,12,12,0.5,0.0,0.5,0.5,4,4,0.3,0.3,0.7,0.7,0.0,0.0,0.5,0.5,0.0,0.5,20,0.3180872888367929,0.6819127111632071,0.5376064483374605,True,-0.0081095551995691,-0.0124367686347727,-0.0037823417643656,0.0093028940247081,-0.0010350204744751,-0.0020493623640317,-2.0678584918624272e-05,0.0017846412403261,-0.0075182527843819,-0.0112986025341784,-0.0037379030345855,0.0,within_class_effect_larger
H8,H8B0152,reversed,stage1_reversed,S121;X012,sobol_symmetric,3.1,0.3,32,99.2,29.76,69.44,7,7,0.3,0.3,4,4,0.5,0.0,0.5,0.4,4,4,0.5,0.5,0.7,0.7,0.0,0.1,0.5,0.5,0.0,0.4,20,0.4791147486306218,0.5208852513693781,0.5215490451320048,True,0.0132643161066666,0.0117753649070925,0.0147532673062406,0.0132643161066666,-0.0015617288290031,-0.0034030349014043,0.000279577243398,0.0034259365881849,-0.0098383795184816,-0.0120251112072135,-0.0076516478297497,0.05,within_class_effect_larger
H8,H8B0157,reversed,stage1_reversed,S126,sobol_symmetric,2.0,0.9,64,128.0,115.2,12.799999999999995,14,14,0.1,0.1,4,4,0.4,0.0,0.5,0.4,4,4,0.3,0.3,0.3,0.3,0.1,0.1,0.4,0.5,0.0,0.4,20,0.8381298518055796,0.1618701481944202,0.0274718212669729,True,0.0088828346484702,0.0075228727345048,0.0102427965624356,0.0088828346484702,-0.0003643256903648,-0.0016238860579701,0.0008952346772405,0.0019484498495516,-0.0069343847989185,-0.0086189130420914,-0.0052498565557457,0.05,within_class_effect_larger
H8,H8B0158,inconclusive,uncertainty_limited_inconclusive,S127,sobol_symmetric,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.4,0.0,0.5,0.3,6,6,0.5,0.5,0.7,0.7,0.1,0.2,0.4,0.5,0.0,0.3,20,0.6475723311967145,0.3524276688032854,0.379881073252126,True,0.0179182105592353,0.011990694357251,0.0238457267612197,0.0186366927825237,-0.0220310139199436,-0.0287820463932847,-0.0152799814466025,0.022901172268015,0.0042644794854912,-0.0062715104002563,0.0148004693712389,0.6,absolute_effect_difference_inconclusive
H8,H8B0159,reversed,stage1_reversed,S128,sobol_symmetric,3.1,0.5,64,198.4,99.2,99.2,7,7,0.3,0.3,4,4,0.4,0.0,0.5,0.2,4,4,0.0,0.0,0.3,0.3,0.1,0.3,0.4,0.5,0.0,0.2,20,0.4785810261356443,0.5214189738643555,0.5087846562762058,True,0.0175119401672492,0.0161291258133509,0.0188947545211475,0.0175119401672492,-0.0042684619338623,-0.0055270130310564,-0.0030099108366682,0.0044596145417697,-0.0130523256254795,-0.0153192441973844,-0.0107854070535746,0.0,within_class_effect_larger
H8,H8B0172,reversed,stage1_reversed,S141,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,7,7,0.5,0.5,4,4,0.1,0.0,0.5,0.4,4,4,0.0,0.0,0.1,0.1,0.4,0.1,0.1,0.5,0.0,0.4,20,0.5115733048124694,0.4884266951875305,0.4840315822941756,True,0.0203725042748675,0.0128046586688264,0.0279403498809086,0.0223032377679267,-0.0003161153198996,-0.0074435368637793,0.00681130622398,0.0117361052811423,-0.0105671324867843,-0.0170839670165117,-0.004050297957057,0.25,within_class_effect_larger
H8,H8B0175,reversed,stage1_reversed,S144,sobol_symmetric,3.1,0.5,32,99.2,49.6,49.6,28,28,0.3,0.3,4,4,0.1,0.0,0.5,0.1,9,9,0.3,0.3,0.3,0.3,0.4,0.4,0.1,0.5,0.0,0.1,20,0.3971263006599741,0.6028736993400259,0.5923133053307714,True,0.0079727941898648,0.0060904840280743,0.0098551043516553,0.0079727941898648,-0.0041908755459177,-0.0062176932826784,-0.002164057809157,0.0049906434285466,-0.0029821507613182,-0.005850796410026,-0.0001135051126103,0.35,within_class_effect_larger
H8,H8B0178,reversed,stage1_reversed,S147,sobol_symmetric,2.0,0.1,32,64.0,6.4,57.6,14,14,0.3,0.3,4,4,0.5,0.0,0.5,0.3,12,12,0.3,0.3,0.5,0.5,0.0,0.2,0.5,0.5,0.0,0.3,20,0.936960519199449,0.0630394808005511,0.0614186581938835,True,0.0312144709890945,0.0256889552881843,0.0367399866900048,0.0312144709890945,0.0044960396202453,4.001798572096475e-05,0.0089520612547696,0.0085069185692108,-0.0227075524198837,-0.0284100288396148,-0.0170050760001526,0.0,within_class_effect_larger
