hypothesis,background_id,stage1_classification,selection_reason,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,cancel_class1,cancel_class2,n_supported_targets,n_reversed_targets,n_inconclusive_targets,n_inactive_targets,n_loss_matched_targets,failure_component,lambda_total,lambda_class1,lambda_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h5_steps,n_active_primary_comparisons,n_supported_primary_comparisons,n_reversed_primary_comparisons,n_strong_selection_primary_comparisons,valid_h6_thresholds,n_transitions,n_exposed_transitions,spearman_bucket_mass_vs_jump,median_bucket_mass,largest_jump_lower_threshold,largest_jump_higher_threshold,largest_jump_bucket_delay,largest_jump_bucket_mass,largest_absolute_served_rate_jump,largest_jump_material,largest_jump_in_upper_mass_half,valid_h7_gaps,n_active_gaps,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,baseline_equal_noshow_high,mean_class1_arrivals,mean_class2_arrivals,estimated_class1_post_threshold_accepted_share,estimated_class2_post_threshold_accepted_share,mean_absolute_common_utilization_effect,mean_absolute_gap_utilization_effect,common_minus_gap_utilization_effect,common_minus_gap_utilization_effect_ci_low,common_minus_gap_utilization_effect_ci_high,mean_absolute_common_served_gap_effect,mean_absolute_between_gap_effect,gap_minus_common_served_gap_effect,gap_minus_common_served_gap_effect_ci_low,gap_minus_common_served_gap_effect_ci_high,utilization_component,served_gap_component
H1,H1B0211,reversed,stage1_reversed,S179,sobol_symmetric,2.0,boundary,0.5,64.0,28.0,28.0,0.3,20.0,0.0430532556837606,0.0396933803348745,0.0464131310326468,reversed,0.5266261514121695,0.524112474765185,0.529139828059154,-7.789302046955376,-7.908691626395292,-7.669912467515459,supported,0.5696832191780823,0.5664285583874332,0.5729378799687314,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0244,reversed,stage1_reversed,S212,sobol_symmetric,4.0,high,0.7,16.0,7.0,7.0,0.3,20.0,0.0305047964065194,0.0287258879936042,0.0322837048194347,reversed,0.1807548739502123,0.1782324968482904,0.1832772510521342,-2.134012942938776,-2.1510050336339,-2.117020852243652,supported,0.3015667808219178,0.2983848811997622,0.3047486804440735,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0252,reversed,stage1_reversed,S220,sobol_symmetric,3.1,high,0.7,64.0,14.0,14.0,0.0,20.0,0.0866487569248257,0.0853010372618245,0.0879964765878269,reversed,0.3393084185592266,0.3371601778220313,0.3414566592964219,-10.764793791672806,-10.774623061508365,-10.754964521837248,supported,0.4998994006849315,0.4984193269213975,0.5013794744484655,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0276,reversed,stage1_reversed,X021,asymmetric_stress,3.1,high,0.9,16.0,28.0,21.0,0.3,20.0,0.1130436643327169,0.1112970056677212,0.1147903229977127,reversed,0.3244604189173227,0.3200791932559814,0.3288416445786639,-23.54566424517829,-23.554867889960715,-23.536460600395863,supported,0.4023202054794521,0.3989466771580572,0.405693733800847,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0278,reversed,stage1_reversed,X023,asymmetric_stress,3.1,high,0.9,32.0,21.0,21.0,0.1,20.0,0.0417850019801298,0.0406621469978081,0.0429078569624515,reversed,0.2779349831676899,0.2755227439871891,0.2803472223481906,-16.732767904050032,-16.75397578762565,-16.711560020474415,supported,0.1951369863013698,0.1921085887989825,0.1981653838037571,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0291,reversed,stage1_reversed,X036,asymmetric_stress,4.0,high,0.9,64.0,14.0,14.0,0.1,20.0,0.0110880845559604,0.0103965082960354,0.0117796608158854,reversed,0.5803720710098517,0.5777780633941066,0.5829660786255967,-7.737535726492885,-7.749227004765697,-7.725844448220073,supported,0.2690881849315068,0.2672327438879127,0.2709436259751009,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0305,reversed,stage1_reversed,X050,asymmetric_stress,3.1,high,0.9,16.0,21.0,28.0,0.5,20.0,0.0552161767715324,0.0537817191790086,0.0566506343640562,reversed,0.1601851590929675,0.1550633925576141,0.165306925628321,-17.75470727406054,-17.801716476073903,-17.707698072047176,supported,0.2004708904109589,0.1968371278996477,0.20410465292227,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0313,reversed,stage1_reversed,X058,asymmetric_stress,3.1,high,0.9,64.0,28.0,28.0,0.1,20.0,0.1703695280028609,0.1698528877097342,0.1708861682959877,reversed,0.7339075702252745,0.731845340804391,0.735969799646158,-22.33124593367247,-22.34543241956385,-22.31705944778109,supported,0.6895569349315068,0.6879685982336652,0.6911452716293485,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0322,reversed,stage1_reversed,X067,asymmetric_stress,3.1,high,0.9,16.0,21.0,21.0,0.3,20.0,0.1127865283349079,0.1112432555733647,0.114329801096451,reversed,0.311155363685884,0.3060232385532599,0.3162874888185081,-16.072182959916347,-16.087081369546485,-16.05728455028621,supported,0.4000770547945206,0.395414917886788,0.4047391917022532,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1,H1B0343,reversed,stage1_reversed,X088,asymmetric_stress,4.0,high,0.7,32.0,21.0,14.0,0.5,20.0,0.0754419725737489,0.0742429081419971,0.0766410370055007,reversed,0.2507433115687022,0.2490684826196838,0.2524181405177205,-16.847141850468002,-16.857434907333598,-16.836848793602407,supported,0.4993279109589041,0.4969798733866784,0.5016759485311298,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
