background_id,source_scenario_ids,scenario_type,demand_regime,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,exposure_active,n_complete_seeds,curve_shape,peak_level,trough_level,spearman_level_vs_delay,delay_range,max_exposure_increase,mean_delay_level_0_0,mean_delay_level_0_1,mean_delay_level_0_3,mean_delay_level_0_5,mean_delay_level_0_7,max_exposure_increase_ci_low,max_exposure_increase_ci_high,n_exposure_paired_seeds,high_minus_low_delay,high_minus_low_delay_ci_low,high_minus_low_delay_ci_high,endpoint_n_paired_seeds,failure_component,classification,hump_rise_from_low,hump_rise_from_low_ci_low,hump_rise_from_low_ci_high,hump_fall_to_high,hump_fall_to_high_ci_low,hump_fall_to_high_ci_high,hump_n_paired_seeds,u_drop_from_low,u_drop_from_low_ci_low,u_drop_from_low_ci_high,u_rebound_to_high,u_rebound_to_high_ci_low,u_rebound_to_high_ci_high,u_n_paired_seeds
H4B0021,A021,anchor,low,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.1,12,12,0.0,0.0,0.0,0.0,12,12,0.0,0.0,0.1,0.1,False,20,flat,0.0,0.0,,0.0,0.0,0.0029181825890947253,0.0029181825890947253,0.0029181825890947253,0.0029181825890947253,0.0029181825890947253,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0022,A022,anchor,high,4.0,0.9,16,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.7,0.7,True,20,irregular,0.3,0.7,-0.6,0.2620912425196553,0.30880493639637463,3.8272803356752583,3.8887073266788037,3.956662780145014,3.8242011480787306,3.6945715376253587,0.3069828134420452,0.31062705935070406,20,-0.13270879804989957,-0.13927384930614992,-0.12614374679364923,20.0,active_but_irregular_curve,inconclusive,0.12938244446975536,0.1217919156395184,0.1369729732999923,0.2620912425196549,0.2537125852485896,0.27046989979072017,20.0,,,,,,,
H4B0023,A023,anchor,high,3.1,0.1,32,99.2,9.920000000000002,89.28,21,21,0.3,0.3,9,9,0.0,0.0,0.0,0.0,6,6,0.3,0.3,0.7,0.7,False,20,flat,0.0,0.5,-0.39999999999999997,0.00822501150410826,0.001102181909936175,5.308475873298635,5.307140284875263,5.3014422243464505,5.3002508617945265,5.307205893887341,0.000798529633816173,0.001405834186056177,20,-0.0012699794112947416,-0.02247384306803811,0.019933884245448626,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,0.00822501150410786,-0.015284015944494397,0.03173403895271012,0.006955032092813118,-0.012628720291453444,0.02653878447707968,20.0
H4B0024,A024,anchor,high,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.3,0.3,9,9,0.0,0.0,0.0,0.0,6,6,0.3,0.3,0.7,0.7,False,20,flat,0.5,0.3,0.49999999999999994,0.011909255138648156,0.0012326528484522602,5.317581572199845,5.3103426570603505,5.309914975633686,5.321824230772334,5.318970008014994,0.0009341128703517929,0.0015311928265527275,20,0.0013884358151494691,-0.016654276623077835,0.019431148253376773,20.0,insufficient_realized_balking_exposure,inactive,0.004242658572488,-0.022344483080714385,0.030829800225690387,0.0028542227573385313,-0.01678718566721662,0.022495631181893683,20.0,0.007666596566159667,-0.014672964642538802,0.030006157774858135,0.009055032381309136,-0.008552429379753495,0.02666249414237177,20.0
H4B0025,A025,anchor,high,4.0,0.5,32,128.0,64.0,64.0,28,28,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.7,0.7,True,20,decreasing,0.0,0.7,-0.9999999999999999,11.804689173514664,0.630044782047354,17.21570329204942,17.1478623626578,14.04212960125636,10.137323564033355,5.411014118534756,0.628977673040728,0.63111189105398,20,-11.804689173514664,-11.8343750158665,-11.775003331162827,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0026,A026,anchor,boundary,2.0,0.5,32,64.0,32.0,32.0,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.0,12,12,0.0,0.0,0.7,0.7,False,20,flat,0.1,0.7,-0.7999999999999999,0.039274963709699406,0.0024845483054336446,8.2189599693879,8.246117656098875,8.216684916451765,8.217967098196597,8.206842692389175,0.0018214535262261154,0.0031476430846411737,20,-0.012117276998725312,-0.056860750501587905,0.03262619650413728,20.0,insufficient_realized_balking_exposure,inactive,0.02715768671097365,-0.013043648727039434,0.06735902214898673,0.03927496370969896,0.00331914454154026,0.07523078287785767,20.0,,,,,,,
H4B0027,A027,anchor,low,1.25,0.5,16,20.0,10.0,10.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.3,0.3,True,20,decreasing,0.0,0.7,-0.9999999999999999,12.689304333679093,0.19696123403511204,18.952404208556963,18.028973067794173,6.703397491994703,6.401738093161441,6.263099874877871,0.19361300304515336,0.20030946502507072,20,-12.689304333679093,-12.798512595324338,-12.580096072033848,20.0,outside_heavy_oversubscription_scope,inactive,,,,,,,,,,,,,,
H4B0028,A028,anchor,low,1.25,0.5,64,80.0,40.0,40.0,21,21,0.0,0.0,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.3,0.3,True,20,decreasing,0.0,0.7,-0.9999999999999999,12.6754489048404,0.20104106431365962,18.96196340657209,18.02651752155409,6.6622496916241705,6.399837012401999,6.2865145017316895,0.19888579002924894,0.2031963385980703,20,-12.675448904840403,-12.732185784755014,-12.618712024925792,20.0,outside_heavy_oversubscription_scope,inactive,,,,,,,,,,,,,,
H4B0029,A029,anchor,high,3.1,0.3,32,99.2,29.76,69.44,14,14,0.5,0.5,9,9,0.0,0.0,0.0,0.0,6,6,0.0,0.0,0.0,0.0,False,20,flat,0.0,0.0,,0.0,0.0,3.4738201524982997,3.4738201524982997,3.4738201524982997,3.4738201524982997,3.4738201524982997,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0030,A030,anchor,high,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,9,9,0.0,0.0,0.0,0.0,6,6,0.5,0.5,0.7,0.7,True,20,decreasing,0.0,0.7,-0.8944271909999157,2.929297465601465,0.6775634218714679,13.0,13.0,13.0,12.999784003707731,10.070702534398535,0.6770272076675051,0.6780996360754307,20,-2.929297465601464,-2.9422649442797106,-2.9163299869232175,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0031,A031,anchor,high,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.1,0.1,True,20,hump,0.3,0.7,-0.6,3.6865512488739878,0.49382216790521605,9.45260305527162,9.617685087712372,9.908914988181927,8.034945667824434,6.222363739307939,0.49228106406434874,0.49536327174608336,20,,,,,,supported,0.45631193291030403,0.44108200804151865,0.4715418577790894,3.686551248873985,3.6747484263800945,3.6983540713678758,20.0,,,,,,,
H4B0032,A032,anchor,high,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,6,6,0.0,0.0,0.0,0.0,9,9,0.3,0.3,0.7,0.7,True,20,hump,0.3,0.7,-0.6,3.6865512488739878,0.49382216790521605,9.45260305527162,9.617685087712372,9.908914988181927,8.034945667824434,6.222363739307939,0.49228106406434874,0.49536327174608336,20,,,,,,supported,0.45631193291030403,0.44108200804151865,0.4715418577790894,3.686551248873985,3.6747484263800945,3.6983540713678758,20.0,,,,,,,
H4B0033,S001,sobol_symmetric,high,3.1,0.3,16,49.6,14.88,34.72,21,21,0.5,0.5,12,12,0.0,0.0,0.0,0.0,12,12,0.0,0.0,0.3,0.3,False,20,flat,0.0,0.0,,0.0,0.0,3.4782279124038924,3.4782279124038924,3.4782279124038924,3.4782279124038924,3.4782279124038924,0.0,0.0,20,0.0,0.0,0.0,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0034,S002,sobol_symmetric,low,1.25,0.7,64,80.0,56.0,24.000000000000004,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.7,0.7,False,20,flat,0.0,0.7,-0.8999999999999998,0.03426703608635373,0.0025927642924429097,3.164279435509716,3.1509176087206323,3.1512431393256475,3.1391734862094554,3.130012399423362,0.0018016514778730966,0.003383877107012723,20,-0.03426703608635344,-0.06350341699656102,-0.005030655176145853,20.0,insufficient_realized_balking_exposure,inactive,,,,,,,,,,,,,,
H4B0035,S003,sobol_symmetric,boundary,2.0,0.1,16,32.0,3.2,28.8,28,28,0.0,0.0,6,6,0.0,0.0,0.0,0.0,4,4,0.7,0.7,0.7,0.7,True,20,decreasing,0.0,0.7,-0.9999999999999999,20.28289184881671,0.5002435123454427,26.999786196037842,26.991366939782445,26.403356718889416,9.62769350965426,6.71689434722113,0.4981805219685753,0.5023065027223101,20,-20.28289184881671,-20.28599684059973,-20.27978685703369,20.0,outside_heavy_oversubscription_scope,inactive,,,,,,,,,,,,,,
