background_id,source_scenario_ids,scenario_type,demand_regime,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,exposure_active,n_complete_seeds,curve_shape,peak_level,trough_level,spearman_level_vs_delay,delay_range,max_exposure_increase,mean_delay_level_0_0,mean_delay_level_0_1,mean_delay_level_0_3,mean_delay_level_0_5,mean_delay_level_0_7,max_exposure_increase_ci_low,max_exposure_increase_ci_high,n_exposure_paired_seeds,high_minus_low_delay,high_minus_low_delay_ci_low,high_minus_low_delay_ci_high,endpoint_n_paired_seeds,failure_component,classification,hump_rise_from_low,hump_rise_from_low_ci_low,hump_rise_from_low_ci_high,hump_fall_to_high,hump_fall_to_high_ci_low,hump_fall_to_high_ci_high,hump_n_paired_seeds,u_drop_from_low,u_drop_from_low_ci_low,u_drop_from_low_ci_high,u_rebound_to_high,u_rebound_to_high_ci_low,u_rebound_to_high_ci_high,u_n_paired_seeds
H4B0111,S080,sobol_symmetric,high,3.1,0.7,32,99.2,69.44,29.760000000000005,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.7,0.7,True,20,flat,0.0,0.7,-0.9999999999999999,0.19358449199203642,0.16065550403709442,3.4556679710752647,3.415549630333058,3.337290816182571,3.289621429008104,3.2620834790832283,0.1589599892237879,0.16235101885040093,20,-0.19358449199203678,-0.20235988270015967,-0.1848091012839139,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0112,S081,sobol_symmetric,high,3.1,0.3,64,198.4,59.52,138.88,28,28,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.7,0.7,0.7,0.7,True,20,decreasing,0.0,0.7,-0.8944271909999157,21.994676742262754,0.6773515942470223,27.0,27.0,27.0,26.81968893413735,5.005323257737244,0.6766987244563712,0.6780044640376733,20,-21.994676742262754,-22.00267761992908,-21.986675864596428,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0115,S084,sobol_symmetric,high,4.0,0.7,32,128.0,89.6,38.400000000000006,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.7,0.7,True,20,increasing,0.5,0.0,0.8999999999999998,0.3848491894269106,0.6183384120006775,4.999896148196169,5.069244990454538,5.218503379450272,5.384745337623079,5.2592347425814605,0.6162340750745681,0.620442748926787,20,0.2593385943852924,0.24313085780600263,0.27554633096458214,20.0,active_but_increasing_curve,inconclusive,0.38484918942691243,0.3800616783726794,0.38963670048114546,0.12551059504162004,0.10823516717190368,0.1427860229113364,20.0,,,,,,,
H4B0116,S085,sobol_symmetric,high,4.0,0.1,16,64.0,6.4,57.6,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.1,0.1,True,20,irregular,0.5,0.0,0.8999999999999998,0.3787270183538718,0.6078986212864189,5.00032407757198,5.068005751041836,5.213702393089672,5.379051095925852,5.221531521693556,0.6054477744825824,0.6103494680902555,20,0.2212074441215765,0.204436334022503,0.23797855422065,20.0,active_but_irregular_curve,inconclusive,0.3787270183538714,0.3726088638380347,0.3848451728697081,0.15751957423229487,0.14052933495340275,0.174509813511187,20.0,,,,,,,
H4B0123,S092,sobol_symmetric,high,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,0.5,0.5,4,4,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.5,0.5,True,20,flat,0.0,0.7,-0.9999999999999999,0.2032291107780293,0.15960984481678792,3.462705625449851,3.403341592603583,3.3303629597218505,3.289654368955259,3.259476514671822,0.15766038887240696,0.16155930076116887,20,-0.2032291107780293,-0.21238886934094606,-0.19406935221511254,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0124,S093,sobol_symmetric,high,4.0,0.3,32,128.0,38.4,89.6,14,14,0.5,0.5,6,6,0.0,0.0,0.0,0.0,4,4,0.7,0.7,0.7,0.7,True,20,flat,0.0,0.7,-0.9999999999999999,0.12818238297986806,0.10465067754564654,4.400189034376473,4.37051131517857,4.3121735910849495,4.292115663800611,4.272006651396605,0.10276602624360119,0.10653532884769189,20,-0.1281823829798671,-0.14089606412002711,-0.11546870183970707,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0127,S096,sobol_symmetric,high,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.0,0.0,0.0,0.0,6,6,0.3,0.3,0.7,0.7,True,20,decreasing,0.0,0.7,-0.9999999999999999,1.4379299901047848,0.34371267894345653,5.3492677848260595,5.0878086059913725,4.5701782875769315,4.091593814063112,3.9113377947212746,0.34129709015415705,0.346128267732756,20,-1.4379299901047846,-1.4561766244144032,-1.419683355795166,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0128,S097,sobol_symmetric,high,3.1,0.5,32,99.2,49.6,49.6,28,28,0.1,0.1,4,4,0.0,0.0,0.0,0.0,6,6,0.3,0.3,0.3,0.3,True,20,decreasing,0.0,0.7,-0.9999999999999999,9.953645869523328,0.5556712029680557,14.560033835252549,13.181521978614196,10.425144815786314,7.233535994064828,4.606387965729222,0.5542055277982617,0.5571368781378497,20,-9.953645869523324,-9.999910720684458,-9.90738101836219,20.0,active_but_decreasing_curve,inconclusive,,,,,,,,,,,,,,
H4B0131,S100,sobol_symmetric,high,4.0,0.9,64,256.0,230.4,25.599999999999994,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.1,0.1,True,20,flat,0.0,0.7,-0.7071067811865475,0.004440852995337252,0.584249323237714,6.0,6.0,6.0,6.0,5.995559147004663,0.5816534342212055,0.5868452122542224,20,-0.00444085299533592,-0.005131253872385417,-0.0037504521182864232,20.0,active_but_flat_curve,inconclusive,,,,,,,,,,,,,,
H4B0132,S101,sobol_symmetric,high,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.3,0.3,0.5,0.5,True,20,irregular,0.0,0.7,-0.7071067811865475,0.9963219459748895,0.6770231302536249,6.0,6.0,6.0,6.0,5.0036780540251105,0.6763674355077086,0.6776788249995412,20,-0.9963219459748881,-1.0038896110487585,-0.9887542809010177,20.0,active_but_irregular_curve,inconclusive,,,,,,,,,,,,,,
