background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,balk_step_class1_focal,balk_high_class1_focal,is_primary_step,n_paired_seeds,estimated_post_threshold_offer_share,estimated_post_threshold_offer_share_ci_low,estimated_post_threshold_offer_share_ci_high,delta_class1_accepted_delay,delta_class1_accepted_delay_ci_low,delta_class1_accepted_delay_ci_high,delta_class1_offered_delay,delta_class1_offered_delay_ci_low,delta_class1_offered_delay_ci_high,selection_gap,selection_gap_ci_low,selection_gap_ci_high,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,accepted_delay_component,selection_gap_component,served_rate_component,strong_selection_evidence,failure_component,classification
H5B0010,A010,anchor,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.3,0.3,True,20,0.7455176802328102,0.7404971883218597,0.7505381721437606,-0.136165318267975,-0.15049193769384564,-0.1218386988421044,0.47679308421942246,0.4621620851126289,0.491424083326216,0.6129584024873974,0.6085286601335052,0.6173881448412897,-0.003123900044151606,-0.00519423714489063,-0.001053562943412582,inconclusive,supported,inconclusive,False,accepted_delay;served_rate,inconclusive
H5B0010,A010,anchor,3.1,0.9,16,49.6,44.64,4.959999999999999,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.5,0.5,False,20,0.8152061864298574,0.8099664357068093,0.8204459371529056,-1.265361928208938,-1.3108803670181908,-1.219843489399685,-0.31441157198823105,-0.36305561991232627,-0.26576752406413584,0.9509503562207069,0.9443196638933055,0.9575810485481083,-0.004745728344690686,-0.0066547550843164705,-0.002836701605064902,supported,supported,inconclusive,False,served_rate,inconclusive
H5B0011,A011,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.1,0.1,True,20,0.7117590399501256,0.6918561224487829,0.7316619574514682,-0.24277131547674075,-0.3081627343171924,-0.1773798966362891,-0.09746453321242177,-0.16270752310228487,-0.032221543322558666,0.14530678226431898,0.14019278637785468,0.15042077815078328,-0.013279510409881906,-0.01935262530968134,-0.007206395510082471,inconclusive,inconclusive,supported,False,accepted_delay;selection_gap,inconclusive
H5B0011,A011,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.3,0.3,True,20,0.7139540304836794,0.700153335895676,0.7277547250716829,-0.8394973738736894,-0.8987200597710754,-0.7802746879763034,-0.3418456534072412,-0.4037055476316151,-0.27998575918286733,0.4976517204664481,0.48835058831963446,0.5069528526132618,-0.04094781530911468,-0.04688356932921458,-0.035012061289014774,supported,supported,supported,False,,supported
H5B0011,A011,anchor,3.1,0.1,32,99.2,9.920000000000002,89.28,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.5,0.5,False,20,0.7100586380919951,0.7004475586155676,0.7196697175684226,-1.5423701075027145,-1.6007250044519907,-1.4840152105534383,-0.5945320494431592,-0.6530213763673436,-0.5360427225189748,0.9478380580595556,0.9304302235217048,0.9652458925974063,-0.06997636107294715,-0.07627512623754842,-0.06367759590834587,supported,supported,supported,False,,supported
H5B0012,A012,anchor,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.1,0.1,True,20,0.7046130721488848,0.6948040279544947,0.7144221163432749,-0.12233877337575913,-0.13715427911498979,-0.10752326763652847,0.04564335101396795,0.03108661059173367,0.06020009143620223,0.1679821243897271,0.165327566872802,0.17063668190665218,-0.009460003769458094,-0.010973762857136147,-0.007946244681780042,inconclusive,inconclusive,supported,False,accepted_delay;selection_gap,inconclusive
H5B0012,A012,anchor,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.3,0.3,True,20,0.7340840450618618,0.7292521896650334,0.7389159004586902,-0.7731525915084546,-0.8077137127151334,-0.7385914703017759,-0.2245025936855475,-0.25762217620722144,-0.19138301116387357,0.5486499978229071,0.5433932520458651,0.5539067435999492,-0.025447651476894283,-0.02715227303954764,-0.023743029914240925,supported,supported,supported,True,,supported
H5B0012,A012,anchor,3.1,0.3,64,198.4,59.52,138.88,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.5,0.5,False,20,0.7330279926302656,0.7298574428866028,0.7361985423739285,-1.9204301204165666,-1.9440605687432133,-1.8967996720899198,-0.9733675538831627,-0.999214104434655,-0.9475210033316703,0.947062566533404,0.9413256562010249,0.9527994768657831,-0.04662540411127552,-0.048122292877663855,-0.04512851534488718,supported,supported,supported,False,,supported
H5B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.1,0.1,True,20,0.684664297229715,0.6699161353296128,0.6994124591298172,-0.07028682235448133,-0.10157299742490686,-0.0390006472840558,0.10718925967029155,0.07627811196302557,0.13810040737755755,0.17747608202477289,0.1730373635295412,0.18191480052000458,-0.0024736920723348447,-0.004396725067473597,-0.0005506590771960928,inconclusive,inconclusive,inconclusive,False,accepted_delay;selection_gap;served_rate,inconclusive
H5B0013,A013,anchor,4.0,0.5,16,64.0,32.0,32.0,14,14,0.1,0.1,9,9,0.0,0.0,0.0,0.5,6,6,0.0,0.0,0.3,0.3,0.3,0.3,True,20,0.7617439879220962,0.7522521334961947,0.7712358423479977,-0.224988690595373,-0.250739631622448,-0.19923774956829796,0.3669987637522422,0.34193303987325857,0.39206448763122587,0.5919874543476152,0.5836361194660504,0.60033878922918,-0.01067149782977388,-0.012648711643003067,-0.008694284016544693,inconclusive,supported,supported,False,accepted_delay,inconclusive
