background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h5_steps,n_active_primary_comparisons,n_supported_primary_comparisons,n_reversed_primary_comparisons,n_strong_selection_primary_comparisons,failure_component,classification
H5B0051,S019,sobol_symmetric,2.0,0.5,16,32.0,16.0,16.0,14,14,0.1,0.1,12,12,0.0,0.0,0.0,0.0,12,12,0.3,0.3,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0052,S020,sobol_symmetric,4.0,0.5,64,256.0,128.0,128.0,28,28,0.5,0.5,4,4,0.3,0.3,0.3,0.7,6,6,0.0,0.0,0.0,0.0,0.0;0.1;0.3,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0053,S021,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,28,28,0.5,0.5,6,6,0.0,0.0,0.0,0.3,12,12,0.3,0.3,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0054,S022,sobol_symmetric,1.25,0.7,16,20.0,14.0,6.000000000000001,14,14,0.1,0.1,9,9,0.7,0.7,0.7,0.7,6,6,0.0,0.0,0.3,0.3,0.0,0,0,0,,no_valid_low_to_moderate_step_increase,inactive
H5B0055,S023,sobol_symmetric,0.8,0.3,64,51.2,15.36,35.84,21,21,0.0,0.0,12,12,0.1,0.1,0.1,0.1,4,4,0.0,0.0,0.7,0.7,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0056,S024,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.3,0.3,4,4,0.3,0.3,0.3,0.3,4,4,0.7,0.7,0.7,0.7,0.0;0.1;0.3,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0057,S025,sobol_symmetric,2.0,0.3,64,128.0,38.4,89.6,14,14,0.0,0.0,4,4,0.0,0.0,0.0,0.5,12,12,0.3,0.3,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0058,S026,sobol_symmetric,0.8,0.5,16,12.8,6.4,6.4,28,28,0.3,0.3,12,12,0.7,0.7,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.0,0,0,0,,no_valid_low_to_moderate_step_increase,inactive
H5B0059,S027,sobol_symmetric,1.25,0.1,64,80.0,8.0,72.0,7,7,0.5,0.5,4,4,0.1,0.1,0.1,0.3,4,4,0.3,0.3,0.3,0.3,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0060,S028,sobol_symmetric,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,6,6,0.3,0.3,0.3,0.5,9,9,0.5,0.5,0.7,0.7,0.0;0.1;0.3,2,0,2,0.0,one_or_more_primary_comparisons_reversed,reversed
H5B0061,S029,sobol_symmetric,4.0,0.1,16,64.0,6.4,57.6,21,21,0.1,0.1,4,4,0.0,0.0,0.0,0.7,4,4,0.0,0.0,0.3,0.3,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0062,S030,sobol_symmetric,1.25,0.9,64,80.0,72.0,7.999999999999998,7,7,0.5,0.5,4,4,0.1,0.1,0.1,0.7,4,4,0.5,0.5,0.7,0.7,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0063,S031,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,28,28,0.3,0.3,9,9,0.0,0.0,0.0,0.1,12,12,0.3,0.3,0.3,0.3,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0064,S032,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,14,14,0.0,0.0,6,6,0.5,0.5,0.5,0.7,6,6,0.0,0.0,0.1,0.1,0.0;0.1,1,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0065,S033,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.5,0.5,4,4,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0066,S034,sobol_symmetric,1.25,0.9,16,20.0,18.0,2.0,21,21,0.1,0.1,9,9,0.5,0.5,0.5,0.5,12,12,0.0,0.0,0.5,0.5,0.0;0.1,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0067,S035,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,14,14,0.0,0.0,12,12,0.0,0.0,0.0,0.5,9,9,0.0,0.0,0.0,0.0,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0068,S036,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.1,0.1,0.1,0.5,4,4,0.3,0.3,0.5,0.5,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0069,S037,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.1,0.1,0.1,0.1,9,9,0.0,0.0,0.3,0.3,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0070,S038,sobol_symmetric,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.3,0.3,0.3,0.3,4,4,0.3,0.3,0.7,0.7,0.0;0.1;0.3,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0071,S039,sobol_symmetric,0.8,0.1,16,12.8,1.2800000000000002,11.52,21,21,0.1,0.1,12,12,0.0,0.0,0.0,0.3,6,6,0.7,0.7,0.7,0.7,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0072,S040,sobol_symmetric,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.5,0.5,4,4,0.5,0.5,0.5,0.7,4,4,0.0,0.0,0.7,0.7,0.0;0.1,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0073,S041,sobol_symmetric,2.0,0.3,16,32.0,9.6,22.4,14,14,0.1,0.1,4,4,0.1,0.1,0.1,0.3,9,9,0.0,0.0,0.1,0.1,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0074,S042,sobol_symmetric,0.8,0.7,64,51.2,35.84,15.360000000000005,28,28,0.5,0.5,12,12,0.3,0.3,0.3,0.5,4,4,0.5,0.5,0.5,0.5,0.0;0.1;0.3,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0075,S043,sobol_symmetric,1.25,0.3,16,20.0,6.0,14.0,7,7,0.3,0.3,4,4,0.0,0.0,0.0,0.5,4,4,0.5,0.5,0.7,0.7,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0076,S044,sobol_symmetric,4.0,0.7,64,256.0,179.2,76.80000000000001,21,21,0.0,0.0,6,6,0.7,0.7,0.7,0.7,12,12,0.3,0.3,0.3,0.3,0.0,0,0,0,,no_valid_low_to_moderate_step_increase,inactive
H5B0077,S045,sobol_symmetric,4.0,0.1,32,128.0,12.8,115.2,21,21,0.0,0.0,4,4,0.0,0.0,0.0,0.1,6,6,0.5,0.5,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0078,S046,sobol_symmetric,2.0,0.9,32,64.0,57.6,6.399999999999999,7,7,0.3,0.3,4,4,0.5,0.5,0.5,0.5,4,4,0.0,0.0,0.5,0.5,0.0;0.1,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0079,S047,sobol_symmetric,0.8,0.5,64,51.2,25.6,25.6,28,28,0.5,0.5,9,9,0.0,0.0,0.0,0.7,9,9,0.0,0.0,0.1,0.1,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0080,S048,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,14,14,0.1,0.1,6,6,0.1,0.1,0.1,0.7,4,4,0.3,0.3,0.3,0.3,0.0;0.1;0.3;0.5,2,1,0,0.0,,supported
H5B0081,S049,sobol_symmetric,3.1,0.5,64,198.4,99.2,99.2,21,21,0.3,0.3,12,12,0.3,0.3,0.3,0.7,9,9,0.3,0.3,0.7,0.7,0.0;0.1;0.3,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0082,S050,sobol_symmetric,0.8,0.5,32,25.6,12.8,12.8,7,7,0.0,0.0,4,4,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.1,0.1,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0083,S051,sobol_symmetric,2.0,0.1,64,128.0,12.8,115.2,28,28,0.1,0.1,6,6,0.1,0.1,0.1,0.7,6,6,0.0,0.0,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0084,S052,sobol_symmetric,4.0,0.9,16,64.0,57.6,6.399999999999999,14,14,0.5,0.5,9,9,0.0,0.0,0.0,0.7,12,12,0.7,0.7,0.7,0.7,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0085,S053,sobol_symmetric,4.0,0.1,32,128.0,12.8,115.2,14,14,0.5,0.5,12,12,0.3,0.3,0.3,0.5,6,6,0.0,0.0,0.5,0.5,0.0;0.1;0.3,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0086,S054,sobol_symmetric,1.25,0.7,32,40.0,28.0,12.000000000000002,28,28,0.1,0.1,4,4,0.1,0.1,0.1,0.3,12,12,0.5,0.5,0.5,0.5,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0087,S055,sobol_symmetric,0.8,0.3,16,12.8,3.84,8.959999999999999,7,7,0.0,0.0,4,4,0.5,0.5,0.5,0.7,4,4,0.3,0.3,0.3,0.3,0.0;0.1,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0088,S056,sobol_symmetric,2.0,0.7,64,128.0,89.6,38.400000000000006,21,21,0.3,0.3,9,9,0.0,0.0,0.0,0.1,4,4,0.0,0.0,0.0,0.0,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0089,S057,sobol_symmetric,3.1,0.1,16,49.6,4.960000000000001,44.64,28,28,0.0,0.0,9,9,0.3,0.3,0.3,0.5,6,6,0.0,0.0,0.5,0.5,0.0;0.1;0.3,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0090,S058,sobol_symmetric,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,14,14,0.3,0.3,6,6,0.1,0.1,0.1,0.5,12,12,0.5,0.5,0.5,0.5,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0091,S059,sobol_symmetric,1.25,0.3,32,40.0,12.0,28.0,21,21,0.5,0.5,4,4,0.7,0.7,0.7,0.7,9,9,0.3,0.3,0.5,0.5,0.0,0,0,0,,no_valid_low_to_moderate_step_increase,inactive
H5B0092,S060,sobol_symmetric,4.0,0.5,32,128.0,64.0,64.0,7,7,0.1,0.1,4,4,0.0,0.0,0.0,0.5,4,4,0.0,0.0,0.0,0.0,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0093,S061,sobol_symmetric,4.0,0.3,64,256.0,76.8,179.2,7,7,0.1,0.1,4,4,0.5,0.5,0.5,0.5,4,4,0.3,0.3,0.5,0.5,0.0;0.1,1,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
H5B0094,S062,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,21,21,0.5,0.5,6,6,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.3,0.3,0.0;0.1;0.3;0.5,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0095,S063,sobol_symmetric,1.25,0.1,32,40.0,4.0,36.0,14,14,0.3,0.3,4,4,0.3,0.3,0.3,0.3,6,6,0.0,0.0,0.7,0.7,0.0;0.1;0.3,0,0,0,0.0,no_active_low_to_moderate_comparison,inactive
H5B0096,S064;X101,sobol_symmetric,3.1,0.9,16,49.6,44.64,4.959999999999999,28,28,0.0,0.0,12,12,0.1,0.1,0.1,0.1,12,12,0.7,0.7,0.7,0.7,0.0;0.1;0.3;0.5,2,0,0,0.0,no_primary_comparison_met_all_support_criteria,inconclusive
