class1_no_show_threshold,class1_high_no_show,mean,std,n,se,ci95,metric
6,0.9,0.21753577975455102,0.001981996277986848,50,0.00028029660169019954,0.0005493813393127911,overall_percent_serviced
9,0.0,0.2939626728497289,0.0018902382404866484,50,0.00026732005558124743,0.0005239473089392449,overall_percent_serviced
9,0.1,0.28778311221424285,0.001926197010211404,50,0.00027240539356434743,0.000533914571386121,overall_percent_serviced
9,0.2,0.2816943150239498,0.001954047808328612,50,0.0002763440912063745,0.000541634418764494,overall_percent_serviced
9,0.3,0.2756412856792754,0.0020284988011497838,50,0.0002868730515843588,0.0005622711811053432,overall_percent_serviced
9,0.4,0.26940914165314767,0.0021188298596956268,50,0.00029964779239426376,0.0005873096730927569,overall_percent_serviced
9,0.5,0.2631768555044347,0.0021447795821352327,50,0.00030331763733565457,0.000594502569177883,overall_percent_serviced
9,0.6,0.25696970251938395,0.002120027579559908,50,0.00029981717556186276,0.000587641664101251,overall_percent_serviced
9,0.7,0.25075421813155213,0.002184151485956365,50,0.000308885665371684,0.0006054159041285006,overall_percent_serviced
9,0.8,0.24443172059143933,0.0021541497956516064,50,0.0003046427856393733,0.0005970998598531717,overall_percent_serviced
9,0.9,0.23833682849002394,0.0019992621453639842,50,0.00028273836407128765,0.0005541671935797238,overall_percent_serviced
12,0.0,0.2939626728497289,0.0018902382404866484,50,0.00026732005558124743,0.0005239473089392449,overall_percent_serviced
12,0.1,0.2939042619836242,0.001913275480233908,50,0.00027057801327026894,0.0005303329060097271,overall_percent_serviced
12,0.2,0.2938479801363326,0.0019274937687873961,50,0.0002725887829208766,0.0005342740145249181,overall_percent_serviced
12,0.3,0.2937988280436206,0.001950383821963119,50,0.0002758259252853315,0.0005406188135592497,overall_percent_serviced
12,0.4,0.29374745622302983,0.001967689113041371,50,0.0002782732630196993,0.0005454155955186106,overall_percent_serviced
12,0.5,0.29369504520433704,0.0019951679926677964,50,0.00028215936344435017,0.0005530323523509263,overall_percent_serviced
12,0.6,0.2936437104569143,0.0020161038707382853,50,0.00028512014371509764,0.0005588354816815914,overall_percent_serviced
12,0.7,0.29359238013415195,0.0020372059215921045,50,0.0002881044243662334,0.0005646846717578175,overall_percent_serviced
12,0.8,0.2935366851658815,0.002063883445640967,50,0.000291877195998277,0.0005720793041566229,overall_percent_serviced
