stage,background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component,classification
2,H8B0125,S094,sobol_symmetric,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,9,9,0.1,0.0,0.5,0.1,9,9,0.0,0.0,0.7,0.7,0.4,0.4,0.1,0.5,0.0,0.1,100,0.7821291711220844,0.2178708288779156,0.1803124565228381,True,0.0028795943267496,0.0008240826036085,0.0049351060498907,0.0086991858032436,-0.0082757525450316,-0.0106699291585761,-0.0058815759314871,0.0119461126943577,0.0032469268911141,0.0010845447093645,0.0054093090728636,0.58,,supported
2,H8B0126,S095,sobol_symmetric,1.25,0.1,64,80.0,8.0,72.0,7,7,0.0,0.0,4,4,0.5,0.0,0.5,0.5,4,4,0.0,0.0,0.3,0.3,0.0,0.0,0.5,0.5,0.0,0.5,100,0.6591709565232279,0.340829043476772,0.3749862266288846,True,0.0654178708142371,0.0628517842736887,0.0679839573547854,0.0654178708142371,-0.0116906316208327,-0.0141731853650272,-0.0092080778766382,0.0142175951176989,-0.0512002756965381,-0.0550542651453282,-0.047346286247748,0.0,within_class_effect_larger,reversed
2,H8B0127,S096,sobol_symmetric,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,0.3,0.3,4,4,0.5,0.0,0.5,0.4,6,6,0.3,0.3,0.7,0.7,0.0,0.1,0.5,0.5,0.0,0.4,100,0.9199625589475068,0.0800374410524932,0.015978393904367,True,0.00664750759207,0.0059921630066751,0.0073028521774648,0.0066676688066239,6.7001204081132415e-06,-0.0005111499672434,0.0005245502080597,0.0018778034138991,-0.0047898653927248,-0.0055517762904734,-0.0040279544949761,0.11,within_class_effect_larger,reversed
2,H8B0135,S104,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.1,12,12,0.5,0.5,0.7,0.7,0.1,0.4,0.4,0.5,0.0,0.1,100,0.8755771342190998,0.1244228657809002,0.04537309309415,True,0.010357534404074,0.0090491232981361,0.011665945510012,0.0107923316501379,-0.0004388946574067,-0.0015604828706297,0.0006826935558162,0.0041625952213812,-0.0066297364287567,-0.0081121919555886,-0.0051472809019248,0.17,within_class_effect_larger,reversed
2,H8B0138,S107,sobol_symmetric,1.25,0.5,32,40.0,20.0,20.0,28,28,0.0,0.0,12,12,0.3,0.0,0.5,0.3,6,6,0.0,0.0,0.5,0.5,0.2,0.2,0.3,0.5,0.0,0.3,100,0.8091134000379911,0.1908865999620089,0.1269034870884293,True,-0.0233854500090201,-0.0292727797164873,-0.0174981203015529,0.030123583063825,-0.0031233125668285,-0.0044346333040549,-0.001811991829602,0.0057785988910798,-0.0243449841727452,-0.0290028836929399,-0.0196870846525505,0.13,within_class_effect_larger,reversed
2,H8B0140,S109,sobol_symmetric,4.0,0.3,16,64.0,19.2,44.8,14,14,0.3,0.3,6,6,0.3,0.0,0.5,0.1,6,6,0.0,0.0,0.7,0.7,0.2,0.4,0.3,0.5,0.0,0.1,100,0.4868318786544229,0.513168121345577,0.5051012836646833,True,0.0182735679788339,0.0170344463454087,0.019512689612259,0.0183390959746742,3.4546917429342795e-06,-0.0010199346227581,0.001026844006244,0.0040159064993509,-0.0143231894753232,-0.0156207028828214,-0.0130256760678251,0.02,within_class_effect_larger,reversed
2,H8B0147,S116,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,21,21,0.1,0.1,12,12,0.1,0.0,0.5,0.4,12,12,0.0,0.0,0.5,0.5,0.4,0.1,0.1,0.5,0.0,0.4,100,0.3112305505455919,0.6887694494544081,0.6771365428838476,True,0.0053040849750615,0.004779200394732,0.0058289695553911,0.005345848965316,-0.0019475711708547,-0.0024420800421284,-0.0014530622995809,0.0025815947133256,-0.0027642542519903,-0.0035064586250114,-0.0020220498789692,0.24,within_class_effect_larger,reversed
2,H8B0151,S120,sobol_symmetric,2.0,0.9,32,64.0,57.6,6.399999999999999,14,14,0.0,0.0,12,12,0.5,0.0,0.5,0.5,4,4,0.3,0.3,0.7,0.7,0.0,0.0,0.5,0.5,0.0,0.5,100,0.3159650637523042,0.6840349362476956,0.5578551706205173,True,-0.0069406313516925,-0.0084773943525526,-0.0054038683508325,0.0079469852815041,-0.0015075355143462,-0.0020337330165905,-0.0009813380121019,0.0022675886534636,-0.0056793966280404,-0.0071096450499654,-0.0042491482061154,0.15,within_class_effect_larger,reversed
2,H8B0152,S121;X012,sobol_symmetric,3.1,0.3,32,99.2,29.76,69.44,7,7,0.3,0.3,4,4,0.5,0.0,0.5,0.4,4,4,0.5,0.5,0.7,0.7,0.0,0.1,0.5,0.5,0.0,0.4,100,0.4783853865214517,0.5216146134785483,0.5203744064130469,True,0.0117830219589917,0.0110428983033891,0.0125231456145943,0.0117830219589917,-0.0021108712320695,-0.0029117760623488,-0.0013099664017902,0.0036067135941473,-0.0081763083648444,-0.0092176682540231,-0.0071349484756656,0.08,within_class_effect_larger,reversed
2,H8B0157,S126,sobol_symmetric,2.0,0.9,64,128.0,115.2,12.799999999999995,14,14,0.1,0.1,4,4,0.4,0.0,0.5,0.4,4,4,0.3,0.3,0.3,0.3,0.1,0.1,0.4,0.5,0.0,0.4,100,0.8404621068768047,0.1595378931231952,0.025608398469505,True,0.0092988306665277,0.0086886203665654,0.0099090409664899,0.0092988306665277,0.0001347491596953,-0.0004022411065085,0.0006717394258992,0.0021400884753681,-0.0071587421911595,-0.0077640443134045,-0.0065534400689145,0.0,within_class_effect_larger,reversed
