background_id,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,classification
H1B0116,S084,sobol_symmetric,4.0,high,0.7,32,7,7,0.1,100,0.006810512571184225,0.006382246432510828,0.007238778709857623,reversed,0.1891655183948188,0.18836453540659273,0.18996650138304486,-1.2517217423977969,-1.2535476751578372,-1.2498958096377566,supported,0.24539297945205488,0.24415009618052202,0.24663586272358773,0.0,1.0,reversed
H1B0124,S092,sobol_symmetric,3.1,high,0.7,64,14,14,0.5,100,0.0753333731894189,0.0748337150037477,0.07583303137509011,reversed,0.32120668842441374,0.32063801181208357,0.3217753650367439,-9.034032975833023,-9.038310584479039,-9.029755367187008,supported,0.45870034246575336,0.4580557763436762,0.4593449085878305,0.0,1.0,reversed
H1B0128,S096,sobol_symmetric,3.1,high,0.9,16,21,21,0.3,100,0.11058187859747302,0.10997687840295753,0.11118687879198852,reversed,0.3207772569015273,0.3185317288619173,0.32302278494113734,-16.189843700956704,-16.19617961437371,-16.1835077875397,supported,0.3988544520547945,0.3974022025130239,0.40030670159656506,0.0,1.0,reversed
H1B0144,S112,sobol_symmetric,3.1,high,0.9,32,21,21,0.5,100,0.0740737080679234,0.07351904727867137,0.07462836885717544,reversed,0.3208312546329185,0.31939045097667684,0.32227205828916017,-16.608127600041758,-16.618806209313234,-16.597448990770282,supported,0.29594006849315074,0.2951959503103427,0.2966841866759588,0.0,1.0,reversed
H1B0164,S132,sobol_symmetric,4.0,high,0.7,64,14,14,0.1,100,0.024841162718436772,0.024447370311505418,0.025234955125368125,reversed,0.43260312551005325,0.43197775752784995,0.43322849349225656,-6.7569325562843945,-6.778326574487342,-6.735538538081447,supported,0.5803912671232877,0.5787536852718554,0.58202884897472,0.0,1.0,reversed
H1B0174,S142,sobol_symmetric,2.0,boundary,0.9,64,21,21,0.1,100,0.1713687313696539,0.17076637963053387,0.1719710831087739,reversed,0.38304340400784953,0.3814115874492784,0.3846752205664207,-7.628992403484814,-7.632377485214228,-7.6256073217554,supported,0.3852016267123289,0.3843574638040381,0.38604578962061964,0.0,1.0,reversed
H1B0198,S166,sobol_symmetric,1.25,low,0.9,32,14,14,0.5,100,0.27577331659922566,0.27421000535038964,0.2773366278480617,reversed,0.5450650948928659,0.5423078857681672,0.5478223040175646,-4.639935575777678,-4.64685717714703,-4.6330139744083265,supported,0.3785787671232877,0.37726983343558956,0.37988770081098583,0.0,1.0,reversed
H1B0200,S168,sobol_symmetric,2.0,boundary,0.5,64,7,7,0.0,100,0.03763279730754486,0.03673585659530286,0.03852973801978686,reversed,0.5610688663669464,0.5593294451228203,0.5628082876110725,-1.7523045299454507,-1.7721982075408105,-1.732410852350091,supported,0.5984452054794521,0.5968730986094524,0.6000173123494519,0.0,1.0,reversed
H1B0204,S172,sobol_symmetric,4.0,high,0.7,64,21,21,0.5,100,0.14191134871381025,0.14157038140822362,0.1422523160193969,reversed,0.24962727791953426,0.24915498483837314,0.2500995710006954,-15.173670449415983,-15.177699242849519,-15.169641655982447,supported,0.6896990582191781,0.689134797966963,0.6902633184713932,0.0,1.0,reversed
H1B0208,S176,sobol_symmetric,3.1,high,0.9,32,14,14,0.3,100,0.032652961949473626,0.03205846182040486,0.03324746207854239,reversed,0.30861517027324026,0.3072769610562366,0.30995337949024393,-9.051763341357955,-9.057082941008854,-9.046443741707055,supported,0.18186815068493156,0.18050103625459915,0.18323526511526397,0.0,1.0,reversed
H1B0211,S179,sobol_symmetric,2.0,boundary,0.5,64,28,28,0.3,100,0.04054796579029388,0.03909810596922936,0.0419978256113584,reversed,0.5274936119246486,0.5265817652122335,0.5284054586370637,-7.763930708356542,-7.8142384240979075,-7.713622992615176,supported,0.5676318493150685,0.5661392081011469,0.5691244905289901,0.0,1.0,reversed
H1B0244,S212,sobol_symmetric,4.0,high,0.7,16,7,7,0.3,100,0.03033001336958629,0.02970136892793179,0.030958657811240794,reversed,0.1801203045892161,0.17921297373281195,0.18102763544562026,-2.141909620812987,-2.1479262147626166,-2.135893026863357,supported,0.30125342465753424,0.2996604389988621,0.3028464103162064,0.0,1.0,reversed
H1B0252,S220,sobol_symmetric,3.1,high,0.7,64,14,14,0.0,100,0.0866548026934741,0.08608988270298171,0.0872197226839665,reversed,0.3404089461686137,0.33964735633153725,0.3411705360056902,-10.769038338155552,-10.773357001384312,-10.764719674926791,supported,0.4999533390410958,0.4993545834592309,0.5005520946229607,0.0,1.0,reversed
H1B0276,X021,asymmetric_stress,3.1,high,0.9,16,28,21,0.3,100,0.11285625441084011,0.1121533632775706,0.11355914554410963,reversed,0.3210191522788748,0.3187745300711636,0.323263774486586,-23.552604678719895,-23.55722333531887,-23.54798602212092,supported,0.39989726027397265,0.39820947618185276,0.40158504436609255,0.0,1.0,reversed
H1B0278,X023,asymmetric_stress,3.1,high,0.9,32,21,21,0.1,100,0.04120064757151573,0.04071699066203303,0.041684304480998434,reversed,0.27839716092580774,0.2767912616706598,0.28000306018095567,-16.70472176471626,-16.712461155208064,-16.696982374224458,supported,0.19594691780821916,0.1947005832420957,0.19719325237434263,0.0,1.0,reversed
H1B0291,X036,asymmetric_stress,4.0,high,0.9,64,14,14,0.1,100,0.011889295697630366,0.011569206089400508,0.012209385305860224,reversed,0.5798889339839094,0.5788847109340256,0.5808931570337932,-7.741451859997795,-7.746166637695,-7.736737082300591,supported,0.26923073630136984,0.2685168488091978,0.2699446237935419,0.0,1.0,reversed
