analysis_family,scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,balk_high_class_1,balk_high_class_2,cancel_prob_class_1,cancel_prob_class_2,no_show_threshold_1,no_show_threshold_2,no_show_high_class_1,no_show_high_class_2,w1,w2,objective_name,direction,fcfs_mean,exact_best_q_values,exact_best_q_scalar,exact_best_value,near_tie_q_values,near_tie_q_ranges,best_delta_vs_fcfs
balk_probability_grid,balk_probability_grid__bt09_09__bh30_70__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.7,0.1,0.1,6,6,0.3,0.3,0.9,1.0,Obj_service_norm,maximize,0.5866272425291698,24,24.0,0.5959864012895817,"21,22,23,24,25","21-25 [21,22,23,24,25]",0.0093591587604119
balk_probability_grid,balk_probability_grid__bt09_09__bh30_70__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.7,0.1,0.1,6,6,0.3,0.3,1.0,1.0,Obj_util_norm,maximize,0.4573844178082192,24,24.0,0.4792422945205479,"22,23,24,25","22-25 [22,23,24,25]",0.0218578767123287
balk_probability_grid,balk_probability_grid__bt09_09__bh30_70__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.7,0.1,0.1,6,6,0.3,0.3,1.0,1.0,Obj_service_norm,maximize,0.5866365409934952,24,24.0,0.6141697151593084,"22,23,24,25","22-25 [22,23,24,25]",0.0275331741658132
balk_probability_grid,balk_probability_grid__bt09_09__bh30_70__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.7,0.1,0.1,6,6,0.3,0.3,1.1,1.0,Obj_util_norm,maximize,0.4573858447488584,25,25.0,0.4924928652968036,"23,24,25","23-25 [23,24,25]",0.0351070205479451
balk_probability_grid,balk_probability_grid__bt09_09__bh30_70__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.7,0.1,0.1,6,6,0.3,0.3,1.1,1.0,Obj_service_norm,maximize,0.5866449538897895,24,24.0,0.630621284850966,"23,24,25","23-25 [23,24,25]",0.0439763309611764
balk_probability_grid,balk_probability_grid__bt09_09__bh40_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.4,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,Obj_util_norm,maximize,0.4573828406633022,23,23.0,0.4648519736842106,"19,20,21,22,23,24,25","19-25 [19,20,21,22,23,24,25]",0.0074691330209084
balk_probability_grid,balk_probability_grid__bt09_09__bh40_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.4,0.3,0.1,0.1,6,6,0.3,0.3,0.9,1.0,Obj_service_norm,maximize,0.5866272425291698,24,24.0,0.5950904415958589,"19,20,21,22,23,24,25","19-25 [19,20,21,22,23,24,25]",0.0084631990666891
balk_probability_grid,balk_probability_grid__bt09_09__bh40_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.4,0.3,0.1,0.1,6,6,0.3,0.3,1.0,1.0,Obj_util_norm,maximize,0.4573844178082192,24,24.0,0.4791010273972603,"22,23,24,25","22-25 [22,23,24,25]",0.0217166095890411
balk_probability_grid,balk_probability_grid__bt09_09__bh40_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.4,0.3,0.1,0.1,6,6,0.3,0.3,1.0,1.0,Obj_service_norm,maximize,0.5866365409934952,24,24.0,0.613322675480616,"22,23,24,25","22-25 [22,23,24,25]",0.0266861344871208
balk_probability_grid,balk_probability_grid__bt09_09__bh40_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.4,0.3,0.1,0.1,6,6,0.3,0.3,1.1,1.0,Obj_util_norm,maximize,0.4573858447488584,24,24.0,0.4919942514677103,"23,24,25","23-25 [23,24,25]",0.0346084067188519
balk_probability_grid,balk_probability_grid__bt09_09__bh40_30__c10_10__nt06_06__nh30_30,25,25,9,9,0.4,0.3,0.1,0.1,6,6,0.3,0.3,1.1,1.0,Obj_service_norm,maximize,0.5866449538897895,25,25.0,0.6302187847465109,"23,24,25","23-25 [23,24,25]",0.0435738308567213
