seed,average_utilization,overall_percent_serviced,mean_offered_booking_delay,mean_accepted_booking_delay,served_rate,booked_rate,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,decomposition_sum,scenario,b_high
1003,0.8342465753424657,0.26471068087883404,9.480940130963518,9.480940130963518,0.26471068087883404,0.6976288884054819,0.0,0.3023711115945182,0.3797857298237981,0.05218077006743528,0.0009517076354144007,1.0,B_no_balking,0.0
1004,0.844263698630137,0.27089693869131115,9.482595060760486,9.482595060760486,0.27089693869131115,0.7016530516819319,0.0,0.2983469483180681,0.3802018868443491,0.04959155045795858,0.0009626756883131172,1.0,B_no_balking,0.0
1005,0.8363013698630137,0.268703087624756,9.452837467690289,9.452837467690289,0.268703087624756,0.7126831816557148,0.0,0.2873168183442853,0.3912732671633994,0.051964477193368344,0.0007423496741909764,1.0,B_no_balking,0.0
1006,0.8386986301369863,0.2687177516741684,9.463639200998752,9.463639200998752,0.2687177516741684,0.7034800746514436,0.0,0.29651992534855637,0.38231419475244266,0.05143264902843342,0.0010154791963991657,1.0,B_no_balking,0.0
1007,0.8363869863013699,0.2678915231860938,9.465811632621238,9.465811632621238,0.2678915231860938,0.7055393586005831,0.0,0.2944606413994169,0.3841245393035921,0.05256064690026954,0.0009626492106276473,1.0,B_no_balking,0.0
1008,0.8399828767123287,0.26688322323524594,9.450800559614487,9.450800559614487,0.26688322323524594,0.7024075994977343,0.0,0.29759240050226565,0.38401484959327403,0.05079980346126549,0.0007097232079489,1.0,B_no_balking,0.0
1009,0.8376712328767123,0.2675847690113025,9.477940320515309,9.477940320515309,0.2675847690113025,0.7069845275979371,0.0,0.293015472402063,0.38683748491166464,0.051437506858334245,0.0011247668166355755,1.0,B_no_balking,0.0
1010,0.842208904109589,0.2689882094872498,9.453486098619639,9.453486098619639,0.2689882094872498,0.7012064710721141,0.0,0.2987935289278859,0.38077872223745546,0.05039758705785577,0.0010419522895530574,1.0,B_no_balking,0.0
1011,0.8360445205479452,0.26843089788732394,9.436954488778055,9.436954488778055,0.26843089788732394,0.7059859154929577,0.0,0.29401408450704225,0.38460057218309857,0.05207416373239437,0.0008802816901408451,1.0,B_no_balking,0.0
1012,0.839041095890411,0.26892928848428177,9.456894866481605,9.456894866481605,0.26892928848428177,0.703457190791826,0.0,0.29654280920817405,0.3820237080227729,0.05165158557716109,0.0008526087076102203,1.0,B_no_balking,0.0
1013,0.8415239726027397,0.2671271995430934,9.441554897067997,9.441554897067997,0.2671271995430934,0.6975441268459844,0.0,0.3024558731540156,0.3795860643476842,0.050014958252876066,0.0008159047023307678,1.0,B_no_balking,0.0
1014,0.8413527397260274,0.2690585423477377,9.470101731769821,9.470101731769821,0.2690585423477377,0.7075080354935304,0.0,0.2924919645064696,0.3864179555506717,0.05087772313947419,0.001153814455646823,0.9999999999999999,B_no_balking,0.0
1015,0.8378424657534247,0.26601132774207603,9.466074503052122,9.466074503052122,0.26601132774207603,0.6958936934974403,0.0,0.30410630650255965,0.3773009476091929,0.05168282322187125,0.0008985949243001852,1.0,B_no_balking,0.0
1016,0.8400684931506849,0.26939974737767036,9.484189955051788,9.484189955051788,0.26939974737767036,0.7025372068757207,0.0,0.2974627931242792,0.38181668405733427,0.05033225328134439,0.0009885221593717393,1.0,B_no_balking,0.0
1017,0.844263698630137,0.26717391304347826,9.439411582052477,9.439411582052477,0.26717391304347826,0.7001086956521739,0.0,0.29989130434782607,0.38307065217391306,0.048967391304347824,0.0008967391304347826,0.9999999999999999,B_no_balking,0.0
1018,0.8438356164383561,0.2691602091947099,9.454485513710585,9.454485513710585,0.2691602091947099,0.7059773828756059,0.0,0.2940226171243942,0.3859697160537773,0.05013553845732592,0.000711919169792722,1.0,B_no_balking,0.0
1019,0.8404965753424658,0.2669553848668083,9.447227607599844,9.447227607599844,0.2669553848668083,0.702456828457809,0.0,0.297543171542191,0.38473062047175466,0.05000817126981533,0.0007626518494307349,0.9999999999999999,B_no_balking,0.0
1020,0.8410958904109589,0.2675756168201317,9.453091022056539,9.453091022056539,0.2675756168201317,0.7036257821251947,0.0,0.29637421787480533,0.3842454711877374,0.05082106068471816,0.0009836334326074484,1.0,B_no_balking,0.0
1021,0.8438356164383561,0.26928866628349346,9.461430629648378,9.461430629648378,0.26928866628349346,0.7028765361140762,0.0,0.29712346388592387,0.3831732216657087,0.04964830172154255,0.0007663464433314175,1.0,B_no_balking,0.0
1022,0.838013698630137,0.26901164230864505,9.474670936999571,9.474670936999571,0.26901164230864505,0.7046761896898137,0.0,0.29532381031018634,0.3826548867420802,0.0518261635427848,0.0011834970963036358,1.0,B_no_balking,0.0
1023,0.8410958904109589,0.2676298214529099,9.443018779890354,9.443018779890354,0.2676298214529099,0.7010767343600927,0.0,0.29892326563990734,0.38296306392258417,0.04972059424833038,0.0007632547362682295,1.0,B_no_balking,0.0
1024,0.8369006849315068,0.2673348669076569,9.458840511860174,9.458840511860174,0.2673348669076569,0.7019388761091029,0.0,0.2980611238908971,0.38196954759557455,0.05184028918830102,0.0007941724175703801,0.9999999999999999,B_no_balking,0.0
1025,0.8421232876712329,0.2684760030611129,9.423274298722847,9.423274298722847,0.2684760030611129,0.7083469990160708,0.0,0.29165300098392916,0.38892533070952223,0.049989067453809995,0.0009565977916256696,1.0,B_no_balking,0.0
1026,0.8419520547945205,0.26819325891880064,9.452005425305174,9.452005425305174,0.26819325891880064,0.705980520901729,0.0,0.294019479098271,0.38627161304442986,0.050366601006784854,0.001149047931713723,1.0,B_no_balking,0.0
1027,0.8460616438356164,0.2725463641137614,9.481045700705186,9.481045700705186,0.2725463641137614,0.7094054890688483,0.0,0.2905945109311517,0.38614189768110335,0.04974986871562422,0.0009673585583593599,1.0,B_no_balking,0.0
1028,0.8405821917808219,0.2680094009619589,9.421673610840699,9.421673610840699,0.2680094009619589,0.7018200699606472,0.0,0.2981799300393529,0.3823240052470485,0.05085811106252733,0.0006285526891123743,0.9999999999999999,B_no_balking,0.0
1029,0.8439212328767123,0.26911089238845143,9.45455252615612,9.45455252615612,0.26911089238845143,0.7029472878390202,0.0,0.2970527121609799,0.38355752405949256,0.04945866141732284,0.0008202099737532808,1.0,B_no_balking,0.0
1030,0.8410958904109589,0.268223889588696,9.461382982858476,9.461382982858476,0.268223889588696,0.7045018894791609,0.0,0.295498110520839,0.38463223615751135,0.050632564762582835,0.001013198970370776,0.9999999999999999,B_no_balking,0.0
1001,0.8410958904109589,0.2691473889300513,9.920838070488875,9.420131629887727,0.2691473889300513,0.7088169918498395,0.1359732169808732,0.15520979116928735,0.38846354381054304,0.05016327762684888,0.001042781482396202,1.0,C_half_balking,0.25
1002,0.841181506849315,0.2698412698412698,9.967363009241183,9.450851030605872,0.2698412698412698,0.7046848779951033,0.14073890677010262,0.1545762152347941,0.3836758273500041,0.05053506093367445,0.0006327198701548788,1.0,C_half_balking,0.25
1003,0.8408390410958904,0.2714009394860459,9.929608575605002,9.429391014459046,0.2714009394860459,0.7128212213318597,0.13782812931749103,0.14935064935064934,0.3893617021276596,0.05111909367228516,0.0009394860458690246,1.0000000000000002,C_half_balking,0.25
1004,0.8322773972602739,0.2657846440408689,9.973400948797645,9.470537465672813,0.2657846440408689,0.6982222587448982,0.13901443558769552,0.16276330566740624,0.37759881666529704,0.0537705097652505,0.001068288273481798,1.0,C_half_balking,0.25
1005,0.8379280821917808,0.26828733521528214,9.976221245799948,9.463995647612016,0.26828733521528214,0.7052648888645271,0.1430372461424617,0.15169786499301122,0.3842190369172582,0.05171704990818648,0.0010414668238002576,1.0,C_half_balking,0.25
1006,0.8420376712328768,0.2703052321580932,9.933176945883426,9.433593598259721,0.2703052321580932,0.7085294360498721,0.1362397820163488,0.1552307819337792,0.38659070266699697,0.05091789832934247,0.0007156028954394077,1.0000000000000002,C_half_balking,0.25
