class1_cancel_prob,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
0.0,56,2,18173,8802,6510,15312,2861,5543,713,2522,11.074528516246307,11.784417450365726,0.13877730699389204,0.21592465753424658,0.4251567398119122,97478.0,180443.0
0.0,57,1,18347,8575,6606,15181,3166,0,2217,6301,11.13259475218659,11.828535669586984,0.34343489398811794,0.5394691780821917,0.43514919965746657,95462.0,179569.0
0.0,57,2,17957,8404,6451,14855,3102,5292,701,2397,11.223940980485484,11.881857960282733,0.13348554881104863,0.20522260273972603,0.43426455738808484,94326.0,176505.0
0.0,58,1,18089,8470,6627,15097,2992,0,2161,6264,11.118181818181819,11.826190633900776,0.34628779921499253,0.5363013698630137,0.43896138305623633,94171.0,178540.0
0.0,58,2,18506,8744,6694,15438,3068,5537,652,2539,11.071820677035682,11.790970332944681,0.13719874635253432,0.21738013698630138,0.433605389299132,96812.0,182029.0
0.0,59,1,18203,8495,6752,15247,2956,0,2214,6230,11.105356091818717,11.832557224372007,0.3422512772619898,0.5333904109589042,0.44284121466518006,94340.0,180411.0
0.0,59,2,18581,8716,6872,15588,2993,5531,672,2501,11.045089490592014,11.791827046445984,0.1345998600721167,0.21412671232876712,0.44085193738773415,96269.0,183811.0
0.0,60,1,18111,8414,6618,15032,3079,0,2166,6203,11.142619443784168,11.845596061734966,0.3424990337364033,0.5310787671232877,0.44026077700904737,93754.0,178063.0
0.0,60,2,18517,8584,6727,15311,3206,5343,655,2570,11.130591798695248,11.83534713604598,0.13879138089323326,0.22003424657534246,0.439357324799164,95545.0,181211.0
0.0,61,1,18286,8469,6734,15203,3083,0,2166,6259,11.16920533711182,11.868578570019075,0.3422837143169638,0.5358732876712329,0.4429388936394133,94592.0,180438.0
0.0,61,2,18369,8627,6641,15268,3101,5417,631,2558,11.085661295931379,11.803248624574273,0.13925635581686538,0.2190068493150685,0.4349620120513492,95636.0,180212.0
0.0,62,1,18209,8459,6767,15226,2983,0,2131,6282,11.079796666272609,11.805070274530408,0.344994233620737,0.5378424657534246,0.4444371469854197,93724.0,179744.0
0.0,62,2,18412,8709,6734,15443,2969,5488,704,2498,11.145022390630382,11.832480735608366,0.13567238757332176,0.21386986301369862,0.43605517062746874,97062.0,182729.0
0.0,63,1,18232,8466,6560,15026,3206,0,2174,6243,11.06508386487125,11.79582057766538,0.34241992101799035,0.5345034246575342,0.436576600559031,93677.0,177244.0
0.0,63,2,18290,8616,6524,15140,3150,5409,718,2474,11.163068709377901,11.840158520475562,0.13526517222525972,0.21181506849315068,0.4309114927344782,96181.0,179260.0
0.0,64,1,18179,8593,6547,15140,3039,0,2168,6378,11.139299429768416,11.832364597093791,0.35084438087903624,0.5460616438356164,0.43243064729194186,95720.0,179142.0
0.0,64,2,18261,8476,6659,15135,3126,5364,643,2450,11.103468617272299,11.82405021473406,0.13416570834017852,0.20976027397260275,0.43997357119259994,94113.0,178957.0
0.0,65,1,18414,8456,6827,15283,3131,0,2171,6236,11.171712393566699,11.886082575410587,0.33865537091343545,0.5339041095890411,0.4467054897598639,94468.0,181655.0
0.0,65,2,18168,8615,6453,15068,3100,5376,711,2510,11.04840394660476,11.776612689142553,0.13815499779832674,0.2148972602739726,0.4282585611892753,95182.0,177450.0
0.0,66,1,18330,8466,6842,15308,3022,0,2171,6252,11.10855185447673,11.845440292657434,0.34108019639934534,0.5352739726027397,0.4469558400836164,94045.0,181330.0
0.0,66,2,18206,8555,6624,15179,3027,5324,698,2511,11.150438340151958,11.848408986099216,0.13792156431945513,0.21498287671232877,0.4363923842150339,95392.0,179847.0
0.0,67,1,18254,8551,6889,15440,2814,0,2173,6332,11.151678166296339,11.855116580310881,0.3468828749863044,0.5421232876712329,0.4461787564766839,95358.0,183043.0
0.0,67,2,18111,8524,6869,15393,2718,5398,714,2394,11.11532144533083,11.834860001299292,0.13218486002981614,0.20496575342465753,0.4462417982199701,94747.0,182174.0
0.0,68,1,18369,8572,6760,15332,3037,0,2300,6221,11.185487634157722,11.867336290112183,0.338668408732103,0.5326198630136987,0.4409079050352204,95882.0,181950.0
0.0,68,2,18187,8356,6811,15167,3020,5253,649,2442,11.129846816658688,11.846772598404431,0.1342717325562215,0.20907534246575343,0.4490670534713523,93001.0,179680.0
0.0,69,1,18443,8640,6557,15197,3246,0,2281,6316,11.202314814814814,11.864907547542279,0.34246055413978205,0.5407534246575343,0.43146673685595843,96788.0,180311.0
0.0,69,2,18145,8279,6663,14942,3203,5225,647,2386,11.130692112573982,11.86072814884219,0.13149627996693303,0.20428082191780822,0.44592424039619866,92151.0,177223.0
0.0,70,1,18271,8604,6452,15056,3215,0,2211,6342,11.140516039051604,11.835879383634431,0.34710743801652894,0.5429794520547945,0.42853347502656747,95853.0,178201.0
0.0,70,2,18249,8491,6636,15127,3122,5402,653,2416,11.103874690849134,11.827064189859192,0.13239081593511973,0.20684931506849316,0.43868579361406757,94283.0,178908.0
0.0,71,1,18191,8502,6602,15104,3087,0,2242,6211,11.135379910609268,11.836069915254237,0.34143257654884285,0.531763698630137,0.4371027542372881,94673.0,178772.0
0.0,71,2,18252,8494,6656,15150,3102,5312,689,2477,11.12385213091594,11.836039603960396,0.13571115494192418,0.21207191780821918,0.4393399339933993,94486.0,179316.0
0.0,72,1,18594,8605,6927,15532,3062,0,2220,6333,11.169436374201046,11.866276075199588,0.340593739916102,0.542208904109589,0.4459824877671903,96113.0,184307.0
0.0,72,2,18082,8342,6831,15173,2909,5248,707,2371,11.146367777511388,11.851117115929611,0.13112487556686206,0.20299657534246576,0.4502076056152376,92983.0,179817.0
0.0,73,1,18213,8583,6776,15359,2854,0,2210,6335,11.136782010951881,11.854873364151311,0.34782847416680396,0.5423801369863014,0.44117455563513247,95587.0,182079.0
0.0,73,2,18179,8424,6841,15265,2914,5333,674,2399,11.16963437796771,11.87376351130036,0.13196545464547005,0.20539383561643837,0.44814936128398297,94093.0,181253.0
0.0,74,1,18340,8615,6701,15316,3024,0,2169,6393,11.135229251305862,11.844084617393575,0.3485823336968375,0.5473458904109589,0.4375163227996866,95930.0,181404.0
0.0,74,2,18084,8381,6711,15092,2992,5304,649,2418,11.141510559599093,11.857739199575935,0.13370935633709358,0.20702054794520547,0.444672674264511,93377.0,178957.0
0.0,75,1,18255,8549,6635,15184,3071,0,2251,6251,11.139782430693648,11.836933614330874,0.3424267324020816,0.5351883561643835,0.4369731296101159,95234.0,179732.0
0.0,75,2,18250,8498,6628,15126,3124,5355,675,2451,11.132619439868204,11.83591167526114,0.1343013698630137,0.2098458904109589,0.43818590506412797,94605.0,179030.0
0.0,76,1,18204,8549,6672,15221,2983,0,2188,6310,11.16844075330448,11.866106037711058,0.34662711491979786,0.5402397260273972,0.43834176466723607,95479.0,180614.0
0.0,76,2,18109,8470,6691,15161,2948,5327,710,2418,11.14391971664699,11.848031132511048,0.13352476669059585,0.20702054794520547,0.44132972759052835,94389.0,179628.0
0.0,77,1,18374,8553,6608,15161,3213,0,2161,6335,11.152694960832456,11.848954554448914,0.34478066833569176,0.5423801369863014,0.4358551546731746,95389.0,179642.0
0.0,77,2,17860,8363,6423,14786,3074,5234,638,2478,11.121965801745786,11.833491140267821,0.1387458006718925,0.21215753424657535,0.4343974029487353,93013.0,174970.0
0.0,78,1,18199,8498,6636,15134,3065,0,2115,6336,11.13485526006119,11.830712303422757,0.3481509973075444,0.5424657534246575,0.43848288621646625,94624.0,179046.0
0.0,78,2,18139,8541,6594,15135,3004,5354,694,2473,11.136635054443273,11.82398414271556,0.13633607144826065,0.21172945205479451,0.4356788899900892,95118.0,178956.0
0.0,79,1,18216,8524,6827,15351,2865,0,2256,6214,11.17022524636321,11.86359194840727,0.3411286780851998,0.5320205479452055,0.4447267279004625,95215.0,182118.0
0.0,79,2,18113,8527,6641,15168,2945,5372,652,2494,11.107892576521637,11.82001582278481,0.13769116104455364,0.21352739726027398,0.43782964135021096,94717.0,179286.0
0.0,80,1,18103,8492,6694,15186,2917,0,2238,6201,11.164507772020725,11.861517186882654,0.34253991051206983,0.5309075342465753,0.4408007375214013,94809.0,180129.0
0.0,80,2,18137,8442,6696,15138,2999,5242,645,2540,11.113124851930822,11.828841326463206,0.14004521144621493,0.21746575342465754,0.4423305588585018,93817.0,179065.0
