class1_cancel_prob,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.0,14,0.7530821917808219,0.24157117672983694,8770,9848.0,11.139911894273128,11.84210698833093,0.4419496525501508,36304,17025,30508,13483,5796,5320,2862,73
0.0,15,0.748458904109589,0.23814083274060294,8705,9809.0,11.138708735027754,11.84003149502969,0.4385026737967914,36554,17115,30481,13366,6073,5409,2923,78
0.0,16,0.7499143835616439,0.23694374931998693,8711,9818.0,11.13356807511737,11.838137763477576,0.4405410729529188,36764,17040,30458,13418,6306,5369,2895,65
0.0,17,0.7517123287671232,0.23577741142131295,8724,9832.0,11.161748313288355,11.86155303649015,0.4431740224102447,37001,17045,30611,13566,6390,5364,2896,61
0.0,18,0.7569349315068493,0.23905879789754622,8778,9876.0,11.09965034965035,11.815836970432843,0.4368785482230171,36719,17160,30473,13313,6246,5486,2831,65
0.0,19,0.7541952054794521,0.240691452874194,8772,9870.0,11.17590844738084,11.863764184338505,0.43917689482912625,36445,16952,30227,13275,6218,5267,2852,61
0.0,20,0.7501712328767123,0.2384600703438122,8746,9805.0,11.14344721779666,11.84691875353354,0.43639628853636636,36677,16947,30069,13122,6608,5244,2889,68
0.0,21,0.7497431506849315,0.23995704727553072,8715,9790.0,11.142236826663536,11.840844323679502,0.4352839817085294,36319,17042,30178,13136,6141,5341,2911,75
0.0,22,0.7517123287671232,0.24237302225054727,8747,9826.0,11.118686720898928,11.83068783068783,0.44192958390489256,36089,17087,30618,13531,5471,5400,2870,70
0.0,23,0.7494006849315068,0.23841495163190923,8700,9797.0,11.096849339001805,11.816593602857607,0.4424094820587758,36491,17171,30795,13624,5696,5499,2910,62
0.0,24,0.7488013698630137,0.23850519562416034,8699,9805.0,11.122818320253016,11.839454354669465,0.44012329485834206,36473,17074,30496,13422,5977,5404,2898,73
0.0,25,0.7450342465753425,0.23862509639748816,8664,9772.0,11.141152964682377,11.836861398236518,0.4380304481357947,36308,17017,30281,13264,6027,5340,2945,68
0.0,26,0.7445205479452055,0.23689394768523586,8658,9740.0,11.146055562067753,11.83637920247621,0.43817708847838255,36548,17062,30369,13307,6179,5356,2978,70
0.0,27,0.7502568493150685,0.23851807327668642,8730,9783.0,11.121076760315034,11.829793598564164,0.4345065975338186,36601,17014,30087,13073,6514,5335,2892,57
0.0,28,0.7487157534246576,0.240269419753768,8704,9787.0,11.145883599129053,11.850124233891005,0.43703826403842966,36226,16993,30185,13192,6041,5307,2913,69
0.0,29,0.7458047945205479,0.23706035308608184,8661,9755.0,11.123444528830987,11.842922165100363,0.4395035855790956,36535,17117,30539,13422,5996,5428,2963,65
0.0,30,0.7597602739726027,0.24245745759460718,8848,9918.0,11.121817332398972,11.828711309719393,0.437339817309588,36493,17124,30434,13310,6059,5438,2772,66
0.0,31,0.7509417808219178,0.2373448726322665,8721,9812.0,11.168588492697062,11.871398569272166,0.44506792675723567,36744,16911,30474,13563,6270,5224,2900,66
0.0,32,0.751027397260274,0.24083625230989877,8732,9824.0,11.15067359962184,11.855147764503425,0.4399179269947381,36257,16924,30217,13293,6040,5252,2877,63
0.0,33,0.757277397260274,0.23978482938491633,8826,9889.0,11.072956121438144,11.808109428431852,0.44110079791564893,36808,17161,30705,13544,6103,5471,2801,63
0.0,34,0.7399828767123288,0.23605126656969563,8601,9677.0,11.090350158098138,11.81612304082896,0.44351396265762977,36437,17078,30689,13611,5748,5393,3020,64
0.0,35,0.7555650684931506,0.24068901303538176,8789,9868.0,11.13013979060654,11.821472089576815,0.43695043635764863,36516,17097,30365,13268,6151,5424,2824,60
0.0,36,0.7498287671232877,0.2372243874519637,8704,9788.0,11.095566732951223,11.818623428627696,0.43880263892079957,36691,17098,30467,13369,6224,5418,2911,65
0.0,37,0.7538527397260274,0.23915889379806907,8769,9867.0,11.165337115168706,11.854180535215018,0.4367261350019971,36666,16923,30044,13121,6622,5240,2844,70
0.0,38,0.7473458904109589,0.24022192166496453,8703,9786.0,11.118295974650863,11.83261958097246,0.4385953353538016,36229,17042,30356,13314,5873,5346,2924,69
0.0,39,0.7560787671232877,0.24046856611106548,8786,9902.0,11.097304865243261,11.80928022177486,0.4342760964984654,36537,17142,30301,13159,6236,5475,2816,65
0.0,40,0.7426369863013699,0.23598908594815826,8649,9723.0,11.146103896103897,11.84855999735476,0.439870383229177,36650,16940,30243,13303,6407,5265,2968,58
0.0,41,0.7477739726027397,0.2389672523302813,8691,9797.0,11.130286853991905,11.837208541809739,0.4425259164786291,36369,17047,30579,13532,5790,5383,2906,67
0.0,42,0.7504280821917808,0.2411670531080932,8737,9803.0,11.168734929130153,11.856737775726202,0.43938145009726665,36228,17003,30329,13326,5899,5308,2889,69
0.0,43,0.7541095890410959,0.23951163552933463,8769,9871.0,11.132552007031936,11.839213247807304,0.4415172142950648,36612,17065,30556,13491,6056,5359,2867,70
0.0,44,0.7566780821917808,0.2391925347552847,8792,9869.0,11.1182789421449,11.832378410052737,0.44237906113679276,36757,17129,30718,13589,6039,5435,2834,68
0.0,45,0.758304794520548,0.23976097574285793,8787,9854.0,11.159062812739153,11.847557934634438,0.4352162782192373,36649,16987,30077,13090,6572,5312,2823,65
0.0,46,0.7482020547945205,0.23797925617799184,8696,9795.0,11.15891267173772,11.85322318436681,0.43734448093958395,36541,16959,30141,13182,6400,5272,2924,67
0.0,47,0.7530821917808219,0.24095589449920157,8752,9840.0,11.07865168539326,11.802418165732822,0.4371702873619712,36322,17177,30519,13342,5803,5499,2865,61
0.0,48,0.7499143835616439,0.23877769541223953,8697,9817.0,11.142006251105737,11.844550700741962,0.4408244023083265,36423,16957,30325,13368,6098,5297,2900,63
0.0,49,0.7516267123287671,0.2380290518627531,8734,9819.0,11.151767884412076,11.848365926854203,0.4385120205784388,36693,17026,30323,13297,6370,5338,2889,65
0.0,50,0.7570205479452055,0.2408517393327312,8800,9881.0,11.106524789522918,11.808938291035478,0.4391763394320939,36537,17104,30498,13394,6039,5432,2812,60
0.0,51,0.7550513698630137,0.24070417900625204,8778,9860.0,11.153624042427813,11.848998713338393,0.44013724390485304,36468,16970,30311,13341,6157,5272,2847,73
0.0,52,0.7518835616438356,0.2403213823845032,8734,9843.0,11.166225982725189,11.849185635468631,0.43774158379860584,36343,17019,30269,13250,6074,5337,2878,70
0.0,53,0.7458047945205479,0.2361175413273782,8670,9768.0,11.108743871118374,11.81855433535486,0.43838714964759873,36719,17132,30505,13373,6214,5439,2952,71
0.0,54,0.7556506849315069,0.24256071616058353,8779,9901.0,11.150064912073645,11.841487410371853,0.4348507587126897,36193,16946,29985,13039,6208,5253,2843,71
0.0,55,0.7530821917808219,0.2402900620776795,8748,9853.0,11.136115513294595,11.838037213897579,0.43892639552115925,36406,17037,30365,13328,6041,5367,2857,65
0.0,56,0.7549657534246575,0.24247948951686418,8778,9840.0,11.065490013934046,11.790858725761773,0.43200105526975335,36201,17224,30324,13100,5877,5543,2834,69
0.0,57,0.7487157534246576,0.23958792419568092,8698,9794.0,11.177807880322751,11.854907444400054,0.4347116793181516,36304,16979,30036,13057,6268,5292,2918,71
0.0,58,0.7563356164383561,0.24055198797649952,8803,9858.0,11.094632276054375,11.808383821843785,0.4362534796135582,36595,17214,30535,13321,6060,5537,2813,61
0.0,59,0.7503424657534247,0.23735863418877773,8731,9824.0,11.074835860786706,11.811966920706988,0.44183557645532673,36784,17211,30835,13624,5949,5531,2886,63
0.0,60,0.7576198630136987,0.23951621710167084,8773,9888.0,11.136545475938346,11.840424480110734,0.439804897340408,36628,16998,30343,13345,6285,5343,2821,61
0.0,61,0.7577054794520548,0.24054017187286864,8817,9915.0,11.127047262517548,11.835843917167143,0.4389419447999737,36655,17096,30471,13375,6184,5417,2797,65
0.0,62,0.7550513698630137,0.23975314710138992,8780,9864.0,11.112884436160298,11.818872477094134,0.44021650526590367,36621,17168,30669,13501,5952,5488,2835,65
0.0,63,0.7506849315068493,0.23867805706149717,8717,9816.0,11.114506498068142,11.81807332758735,0.4337333421733077,36522,17082,30166,13084,6356,5409,2892,64
0.0,64,0.7574486301369863,0.24226125137211854,8828,9902.0,11.121506825238736,11.82820809248555,0.43620148637489675,36440,17069,30275,13206,6165,5364,2811,66
0.0,65,0.7524828767123287,0.23907932863156744,8746,9833.0,11.109483920098413,11.831735362920497,0.4375473625251227,36582,17071,30351,13280,6231,5376,2882,67
0.0,66,0.7541952054794521,0.2398456317057149,8763,9846.0,11.12960460607485,11.846918358644668,0.44169646078656477,36536,17021,30487,13466,6049,5324,2869,65
0.0,67,0.7513698630136987,0.23995600164993813,8726,9801.0,11.133528550512445,11.84500372977005,0.4462102292997762,36365,17075,30833,13758,5532,5398,2887,64
0.0,68,0.7462328767123287,0.23697888171572382,8663,9758.0,11.158022211720226,11.857110069182596,0.44496540870192464,36556,16928,30499,13571,6057,5253,2949,63
0.0,69,0.7482876712328768,0.23783754236361648,8702,9768.0,11.16726756900526,11.862835528716944,0.43863432761538207,36588,16919,30139,13220,6449,5225,2928,64
0.0,70,0.7537671232876713,0.23981380065717414,8758,9851.0,11.12231646680316,11.831461418679389,0.43362157505880794,36520,17095,30183,13088,6337,5402,2864,71
0.0,71,0.7460616438356165,0.2383996926707461,8688,9753.0,11.129618733819722,11.83605473656376,0.43822304488662656,36443,16996,30254,13258,6189,5312,2931,65
0.0,72,0.7472602739726028,0.23732140909586652,8704,9771.0,11.158081076296689,11.858785214134505,0.4480703468490474,36676,16947,30705,13758,5971,5248,2927,68
0.0,73,0.7516267123287671,0.23999780171466256,8734,9832.0,11.153054624566355,11.864289446185998,0.4446512539184953,36392,17007,30624,13617,5768,5333,2884,56
0.0,74,0.756763698630137,0.24190094443224247,8811,9870.0,11.13832666509767,11.850861615364378,0.44106813996316757,36424,16996,30408,13412,6016,5304,2818,63
0.0,75,0.7485445205479452,0.238378304341871,8702,9784.0,11.13621165014372,11.83642362256681,0.4375783569778951,36505,17047,30310,13263,6195,5355,2926,64
0.0,76,0.750513698630137,0.24035469391127146,8728,9813.0,11.156237146718373,11.857086432756237,0.4398327957343164,36313,17019,30382,13363,5931,5327,2898,66
0.0,77,0.7569349315068493,0.24322459568361207,8813,9896.0,11.137502955781509,11.841319664741043,0.4351354058837279,36234,16916,29947,13031,6287,5234,2799,70
0.0,78,0.7565924657534246,0.24241840497550773,8809,9896.0,11.135747403016609,11.827348111929696,0.4370808417853249,36338,17039,30269,13230,6069,5354,2809,67
0.0,79,0.751027397260274,0.23969831264279226,8708,9803.0,11.13905342795144,11.841934532586258,0.44129886300337495,36329,17051,30519,13468,5810,5372,2908,63
0.0,80,0.752568493150685,0.24119757174392936,8741,9842.0,11.138892169599622,11.845205118058304,0.4415644374093128,36240,16934,30324,13390,5916,5242,2883,68
