class1_low_balk,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.4,10,0.8384417808219178,0.26788990825688075,9782,10937.0,7.800053461641272,8.380747637957004,0.38529371491168013,36515,22446,36515,14069,0,10765,1887,12
0.4,11,0.8389554794520548,0.26714998228448394,9802,10922.0,7.831943267472459,8.4301599847374,0.38892371426235317,36691,22421,36691,14270,0,10715,1889,15
0.4,12,0.8423801369863013,0.270129442738043,9850,10993.0,7.721643981852148,8.299802544975867,0.383446687143484,36464,22482,36464,13982,0,10797,1829,6
0.4,13,0.8448630136986301,0.2679672852756569,9862,10990.0,7.819778474030272,8.409830720321713,0.38426215254191237,36803,22661,36803,14142,0,10971,1819,9
0.4,14,0.8425513698630137,0.2658077089649199,9820,10976.0,7.883297313985798,8.477750108271978,0.3862873538328281,36944,22673,36944,14271,0,11005,1840,8
0.4,15,0.8333904109589041,0.26602064000437986,9718,10879.0,7.8146653063035085,8.38665790698311,0.38290766746051297,36531,22543,36531,13988,0,10882,1943,0
0.4,16,0.8420376712328768,0.2687728687674076,9843,10967.0,7.8189131212012875,8.407733056632626,0.38900114685161924,36622,22376,36622,14246,0,10681,1837,15
0.4,17,0.8375856164383562,0.26806552347559304,9786,10939.0,7.72101110070884,8.299594587191146,0.3855530597709966,36506,22431,36506,14075,0,10749,1896,0
0.4,18,0.8381849315068494,0.2669197574698203,9773,10918.0,7.721282279608192,8.308106188889496,0.38657344185284315,36614,22460,36614,14154,0,10780,1899,8
0.4,19,0.834931506849315,0.27075531885384596,9761,10900.0,7.745175655616031,8.31466533521955,0.3833458156500513,36051,22231,36051,13820,0,10559,1911,0
0.4,20,0.8452054794520548,0.2711069675614906,9887,11020.0,7.758631442954515,8.341248731799611,0.38449093750856894,36469,22447,36469,14022,0,10763,1797,0
